symbol,date,open,high,low,close,volume,marketCap
ABBC,"Oct 29, 2021",$0.1118,$0.1156,$0.1107,$0.1142,"$31,620,450","$97,944,756"
ABBC,"Oct 28, 2021",$0.1059,$0.1154,$0.1037,$0.1118,"$34,108,733","$95,895,766"
ABBC,"Oct 27, 2021",$0.1155,$0.1173,$0.1054,$0.106,"$28,976,877","$90,929,707"
ABBC,"Oct 26, 2021",$0.1187,$0.1218,$0.1143,$0.1155,"$38,446,928","$98,839,938"
ABBC,"Oct 25, 2021",$0.127,$0.1283,$0.1178,$0.1187,"$32,380,943","$101,551,725"
ABBC,"Oct 24, 2021",$0.1306,$0.133,$0.1236,$0.1271,"$35,384,196","$108,704,165"
ABBC,"Oct 23, 2021",$0.1236,$0.1349,$0.1222,$0.1305,"$40,679,686","$111,658,207"
ABBC,"Oct 22, 2021",$0.1141,$0.1286,$0.1136,$0.1236,"$34,289,071","$105,719,522"
ABBC,"Oct 21, 2021",$0.1162,$0.118,$0.111,$0.1141,"$32,946,712","$97,435,326"
ABBC,"Oct 20, 2021",$0.1132,$0.1177,$0.1102,$0.1162,"$32,289,062","$99,221,800"
ABBC,"Oct 19, 2021",$0.1092,$0.1134,$0.1085,$0.1132,"$33,268,103","$96,603,008"
ABBC,"Oct 18, 2021",$0.1127,$0.1137,$0.1079,$0.1093,"$35,217,711","$93,265,458"
ABBC,"Oct 17, 2021",$0.1107,$0.1131,$0.1086,$0.1127,"$33,955,362","$96,198,572"
ABBC,"Oct 16, 2021",$0.1113,$0.1137,$0.109,$0.1107,"$35,341,019","$94,516,234"
ABBC,"Oct 15, 2021",$0.1123,$0.1151,$0.1109,$0.1113,"$37,346,932","$95,031,771"
ABBC,"Oct 14, 2021",$0.1122,$0.1135,$0.1117,$0.1124,"$39,631,602","$95,926,985"
ABBC,"Oct 13, 2021",$0.1153,$0.1155,$0.1099,$0.1122,"$38,081,799","$95,375,707"
ABBC,"Oct 12, 2021",$0.1175,$0.1176,$0.113,$0.1153,"$40,917,563","$98,027,523"
ABBC,"Oct 11, 2021",$0.1159,$0.1191,$0.1155,$0.1175,"$43,617,572","$99,552,794"
ABBC,"Oct 10, 2021",$0.1176,$0.1189,$0.1159,$0.116,"$43,442,953","$98,308,262"
ABBC,"Oct 09, 2021",$0.115,$0.1178,$0.1146,$0.1176,"$38,643,430","$99,644,074"
ABBC,"Oct 08, 2021",$0.1141,$0.1174,$0.1136,$0.115,"$35,864,778","$97,410,816"
ABBC,"Oct 07, 2021",$0.1164,$0.1166,$0.1123,$0.1141,"$35,864,424","$96,713,133"
ABBC,"Oct 06, 2021",$0.112,$0.1178,$0.1088,$0.1164,"$35,582,148","$98,357,634"
ABBC,"Oct 05, 2021",$0.1169,$0.1182,$0.1114,$0.112,"$32,202,757","$94,632,962"
ABBC,"Oct 04, 2021",$0.1172,$0.1184,$0.1143,$0.1169,"$35,997,117","$98,731,750"
ABBC,"Oct 03, 2021",$0.1169,$0.1183,$0.115,$0.1172,"$36,057,503","$99,024,780"
ABBC,"Oct 02, 2021",$0.1144,$0.1185,$0.1131,$0.1169,"$36,101,150","$98,678,334"
ABBC,"Oct 01, 2021",$0.1006,$0.1154,$0.09954,$0.1144,"$38,901,858","$96,195,013"
ABBC,"Sep 30, 2021",$0.102,$0.1066,$0.09896,$0.1006,"$25,891,804","$84,551,623"
ABBC,"Sep 29, 2021",$0.1011,$0.1048,$0.0993,$0.102,"$22,429,868","$85,767,029"
ABBC,"Sep 28, 2021",$0.1038,$0.1043,$0.1002,$0.101,"$18,319,504","$84,924,890"
ABBC,"Sep 27, 2021",$0.116,$0.1177,$0.1026,$0.1038,"$25,403,934","$87,255,420"
ABBC,"Sep 26, 2021",$0.1119,$0.1183,$0.1118,$0.1161,"$31,017,447","$97,603,849"
ABBC,"Sep 25, 2021",$0.1112,$0.1174,$0.1086,$0.1119,"$28,796,738","$94,093,773"
ABBC,"Sep 24, 2021",$0.1235,$0.1236,$0.1076,$0.1112,"$22,607,630","$93,506,646"
ABBC,"Sep 23, 2021",$0.1168,$0.1238,$0.1154,$0.1235,"$33,872,856","$103,866,614"
ABBC,"Sep 22, 2021",$0.1116,$0.1176,$0.111,$0.1168,"$25,734,894","$98,213,656"
ABBC,"Sep 21, 2021",$0.1188,$0.1196,$0.1103,$0.1114,"$29,639,009","$93,396,954"
ABBC,"Sep 20, 2021",$0.1307,$0.1309,$0.1187,$0.1189,"$29,698,756","$105,576,009"
ABBC,"Sep 19, 2021",$0.1365,$0.1367,$0.1303,$0.1307,"$26,104,367","$116,096,090"
ABBC,"Sep 18, 2021",$0.1352,$0.1387,$0.1343,$0.1365,"$31,118,570","$121,230,439"
ABBC,"Sep 17, 2021",$0.1383,$0.1384,$0.1346,$0.1351,"$29,853,819","$120,041,131"
ABBC,"Sep 16, 2021",$0.1383,$0.1396,$0.1349,$0.1383,"$30,272,278","$122,811,130"
ABBC,"Sep 15, 2021",$0.1416,$0.1422,$0.1374,$0.1382,"$34,147,064","$122,424,803"
ABBC,"Sep 14, 2021",$0.1382,$0.1423,$0.1365,$0.1415,"$26,865,480","$125,348,170"
ABBC,"Sep 13, 2021",$0.1421,$0.1428,$0.1358,$0.1382,"$28,637,299","$122,390,425"
ABBC,"Sep 12, 2021",$0.1396,$0.1423,$0.1384,$0.1421,"$31,049,858","$125,898,493"
ABBC,"Sep 11, 2021",$0.1397,$0.1414,$0.1381,$0.1396,"$30,636,491","$123,355,838"
ABBC,"Sep 10, 2021",$0.1441,$0.1449,$0.1383,$0.1396,"$32,205,213","$123,380,743"
ABBC,"Sep 09, 2021",$0.1428,$0.1462,$0.1418,$0.1441,"$31,982,822","$127,303,633"
ABBC,"Sep 08, 2021",$0.1353,$0.1462,$0.1339,$0.1441,"$33,641,242","$127,282,031"
ABBC,"Sep 07, 2021",$0.1471,$0.148,$0.1328,$0.1353,"$31,880,341","$119,532,612"
ABBC,"Sep 06, 2021",$0.1478,$0.1488,$0.1451,$0.1471,"$37,824,273","$129,702,439"
ABBC,"Sep 05, 2021",$0.1495,$0.1497,$0.145,$0.1478,"$36,363,894","$129,896,698"
ABBC,"Sep 04, 2021",$0.1502,$0.1504,$0.1382,$0.1495,"$42,149,130","$131,350,870"
