symbol,date,open,high,low,close,volume,marketCap
AGRS,"Oct 29, 2021",$0.7517,$0.7864,$0.5481,$0.578,"$23,901","$10,403,433"
AGRS,"Oct 28, 2021",$0.618,$0.7942,$0.5097,$0.751,"$83,663","$13,517,461"
AGRS,"Oct 27, 2021",$0.9251,$0.9311,$0.6182,$0.6182,"$65,936","$11,126,755"
AGRS,"Oct 26, 2021",$0.8778,$0.9821,$0.8334,$0.9248,"$5,875","$16,646,966"
AGRS,"Oct 25, 2021",$0.8155,$1.25,$0.6708,$0.8778,"$8,254","$15,800,359"
AGRS,"Oct 24, 2021",$0.7973,$0.8256,$0.777,$0.8163,"$6,783","$14,693,600"
AGRS,"Oct 23, 2021",$0.7356,$0.7973,$0.7319,$0.7973,"$2,675","$14,352,174"
AGRS,"Oct 22, 2021",$0.84,$0.8645,$0.7143,$0.7351,"$6,550","$13,231,315"
AGRS,"Oct 21, 2021",$0.8528,$0.8991,$0.8397,$0.8401,"$2,374","$15,121,451"
AGRS,"Oct 20, 2021",$0.8312,$0.906,$0.8187,$0.8528,"$4,714","$15,350,757"
AGRS,"Oct 19, 2021",$0.7348,$0.8331,$0.7327,$0.8311,"$2,952","$14,959,718"
AGRS,"Oct 18, 2021",$0.7161,$0.7357,$0.6769,$0.7348,"$2,338","$13,225,786"
AGRS,"Oct 17, 2021",$0.6967,$0.7165,$0.696,$0.7161,"$2,305","$12,890,226"
AGRS,"Oct 16, 2021",$0.7263,$0.7335,$0.6961,$0.6967,"$2,098","$12,540,317"
AGRS,"Oct 15, 2021",$0.7327,$0.9261,$0.6832,$0.7265,"$2,699","$13,076,534"
AGRS,"Oct 14, 2021",$0.7092,$0.8013,$0.6897,$0.7334,"$7,685","$13,201,522"
AGRS,"Oct 13, 2021",$0.6861,$0.7517,$0.6744,$0.7093,"$24,349","$12,767,277"
AGRS,"Oct 12, 2021",$0.7616,$0.8668,$0.6108,$0.6859,"$89,447","$12,345,903"
AGRS,"Oct 11, 2021",$0.9341,$0.9601,$0.7232,$0.7619,"$91,730","$13,713,857"
AGRS,"Oct 10, 2021",$0.9769,$1.05,$0.7272,$0.9348,"$183,938","$16,826,544"
AGRS,"Oct 09, 2021",$0.9997,$1.00,$0.9742,$0.977,"$2,743","$17,585,166"
AGRS,"Oct 08, 2021",$0.9642,$1.02,$0.9618,$0.9995,"$8,421","$17,991,537"
AGRS,"Oct 07, 2021",$0.9318,$0.9842,$0.9194,$0.9647,"$10,558","$17,364,215"
AGRS,"Oct 06, 2021",$0.9539,$0.9559,$0.8654,$0.9317,"$27,800","$16,769,845"
AGRS,"Oct 05, 2021",$0.8781,$0.9766,$0.8604,$0.9547,"$8,505","$17,184,641"
AGRS,"Oct 04, 2021",$0.858,$0.8788,$0.8277,$0.8781,"$2,664","$15,805,791"
AGRS,"Oct 03, 2021",$0.8365,$0.8678,$0.8319,$0.8578,"$2,412","$15,441,205"
AGRS,"Oct 02, 2021",$0.8401,$0.8458,$0.8321,$0.8367,"$2,322","$15,061,253"
AGRS,"Oct 01, 2021",$0.7917,$0.8467,$0.7836,$0.8404,"$2,138","$15,127,150"
AGRS,"Sep 30, 2021",$0.7413,$1.02,$0.74,$0.7915,"$12,708","$14,246,816"
AGRS,"Sep 29, 2021",$0.7312,$0.7413,$0.7112,$0.741,"$2,453","$13,337,121"
AGRS,"Sep 28, 2021",$0.7465,$0.7476,$0.7231,$0.7309,"$2,190","$13,155,372"
AGRS,"Sep 27, 2021",$0.7782,$0.8061,$0.7461,$0.7465,"$2,146","$13,437,334"
AGRS,"Sep 26, 2021",$0.716,$0.7915,$0.7064,$0.7787,"$4,029","$14,016,439"
AGRS,"Sep 25, 2021",$0.7419,$0.7482,$0.7157,$0.716,"$2,549","$12,887,666"
AGRS,"Sep 24, 2021",$0.7615,$0.7665,$0.7227,$0.742,"$2,459","$13,355,122"
AGRS,"Sep 23, 2021",$0.7493,$0.7718,$0.7429,$0.7615,"$2,340","$13,707,122"
AGRS,"Sep 22, 2021",$0.7329,$0.755,$0.7194,$0.7494,$97,$0
AGRS,"Sep 21, 2021",$0.7353,$0.7745,$0.7087,$0.7304,$7,$0
AGRS,"Sep 20, 2021",$0.826,$0.8449,$0.732,$0.7359,$826,$0
AGRS,"Sep 19, 2021",$0.829,$0.8349,$0.8109,$0.8261,$64,$0
AGRS,"Sep 18, 2021",$0.8556,$0.8665,$0.8214,$0.8285,"$6,285",$0
AGRS,"Sep 17, 2021",$0.8323,$0.8986,$0.8297,$0.8556,$210,$0
AGRS,"Sep 16, 2021",$0.8406,$0.8406,$0.8259,$0.8324,$0,$0
AGRS,"Sep 15, 2021",$0.766,$0.8488,$0.7647,$0.8405,$34,$0
AGRS,"Sep 14, 2021",$0.8099,$0.817,$0.7519,$0.7658,"$4,034",$0
AGRS,"Sep 13, 2021",$0.8703,$0.8735,$0.7856,$0.8099,"$5,140",$0
AGRS,"Sep 12, 2021",$0.765,$1.13,$0.7645,$0.8709,"$2,995",$0
AGRS,"Sep 11, 2021",$0.8614,$0.8661,$0.7645,$0.7651,$554,$0
AGRS,"Sep 10, 2021",$0.8002,$0.8806,$0.7985,$0.8629,$504,$0
AGRS,"Sep 09, 2021",$0.6814,$0.8064,$0.6521,$0.8003,$998,$0
AGRS,"Sep 08, 2021",$0.7547,$0.7588,$0.6508,$0.6712,"$2,496",$0
AGRS,"Sep 07, 2021",$0.8744,$0.9506,$0.7105,$0.7548,"$1,025",$0
AGRS,"Sep 06, 2021",$0.9295,$0.9362,$0.8675,$0.8746,"$1,433",$0
AGRS,"Sep 05, 2021",$0.8558,$0.9865,$0.8535,$0.9294,"$8,395",$0
AGRS,"Sep 04, 2021",$0.9702,$0.9704,$0.8307,$0.8556,"$12,139",$0
AGRS,"Sep 03, 2021",$0.9971,$1.00,$0.9699,$0.9703,"$81,925",$0
AGRS,"Sep 02, 2021",$1.01,$1.03,$0.9665,$0.9981,"$181,905",$0
AGRS,"Sep 01, 2021",$0.9938,$1.01,$0.9651,$1.01,"$185,205",$0
AGRS,"Aug 31, 2021",$1.01,$1.09,$0.977,$0.9946,"$139,031",$0
AGRS,"Aug 30, 2021",$0.9969,$1.02,$0.9699,$1.01,"$119,900",$0
AGRS,"Aug 29, 2021",$1.02,$1.04,$0.9826,$0.9972,"$98,438",$0
AGRS,"Aug 28, 2021",$1.01,$1.08,$1.00,$1.02,"$94,163",$0
AGRS,"Aug 27, 2021",$1.13,$1.17,$0.988,$1.00,"$182,846",$0
AGRS,"Aug 26, 2021",$1.14,$1.17,$1.12,$1.13,"$155,540",$0
AGRS,"Aug 25, 2021",$1.16,$1.16,$1.12,$1.14,"$174,446",$0
AGRS,"Aug 24, 2021",$1.18,$1.19,$1.15,$1.16,"$198,794",$0
AGRS,"Aug 23, 2021",$1.16,$1.19,$1.12,$1.18,"$208,864",$0
AGRS,"Aug 22, 2021",$1.13,$1.17,$1.13,$1.16,"$169,851",$0
AGRS,"Aug 21, 2021",$1.16,$1.18,$1.10,$1.13,"$155,028",$0
AGRS,"Aug 20, 2021",$1.25,$1.27,$1.16,$1.16,"$242,804",$0
AGRS,"Aug 19, 2021",$1.17,$1.26,$1.17,$1.25,"$196,289",$0
AGRS,"Aug 18, 2021",$1.26,$1.26,$1.16,$1.17,"$191,786",$0
AGRS,"Aug 17, 2021",$1.29,$1.33,$1.24,$1.26,"$258,477",$0
AGRS,"Aug 16, 2021",$1.36,$1.37,$1.27,$1.29,"$160,572",$0
AGRS,"Aug 15, 2021",$1.36,$1.37,$1.33,$1.36,"$15,932",$0
AGRS,"Aug 14, 2021",$1.40,$1.40,$1.35,$1.36,"$1,161",$0
AGRS,"Aug 13, 2021",$1.31,$1.42,$1.31,$1.40,"$26,390",$0
AGRS,"Aug 12, 2021",$0.9879,$1.47,$0.9761,$1.31,"$169,762",$0
AGRS,"Aug 11, 2021",$0.9036,$1.01,$0.9024,$0.988,"$19,830",$0
AGRS,"Aug 10, 2021",$0.8667,$0.9117,$0.8458,$0.9033,"$6,434",$0
AGRS,"Aug 09, 2021",$0.7911,$0.8717,$0.7742,$0.8662,"$9,613",$0
AGRS,"Aug 08, 2021",$0.799,$0.8088,$0.7822,$0.7908,"$3,840",$0
AGRS,"Aug 07, 2021",$0.7971,$0.818,$0.784,$0.8003,"$11,062",$0
AGRS,"Aug 06, 2021",$0.8986,$0.9069,$0.5463,$0.7972,"$75,016",$0
AGRS,"Aug 05, 2021",$0.8183,$0.9253,$0.8082,$0.8987,"$16,909",$0
AGRS,"Aug 04, 2021",$0.7809,$0.8444,$0.7781,$0.8186,"$16,414",$0
AGRS,"Aug 03, 2021",$0.8252,$0.8305,$0.7783,$0.7807,"$2,722",$0
AGRS,"Aug 02, 2021",$0.8081,$0.8407,$0.799,$0.8248,"$5,043",$0
AGRS,"Aug 01, 2021",$0.7475,$0.8169,$0.7278,$0.809,"$5,571",$0
AGRS,"Jul 31, 2021",$0.703,$0.749,$0.6938,$0.7479,"$3,729",$0
AGRS,"Jul 30, 2021",$0.6807,$0.7023,$0.6634,$0.7022,"$1,035",$0
AGRS,"Jul 29, 2021",$0.715,$0.7295,$0.6727,$0.6807,$30,$0
AGRS,"Jul 28, 2021",$0.6822,$0.7166,$0.6786,$0.7124,"$2,857",$0
AGRS,"Jul 27, 2021",$0.6885,$0.694,$0.6627,$0.6818,"$4,239",$0
AGRS,"Jul 26, 2021",$0.655,$0.7095,$0.654,$0.6888,"$4,137",$0
AGRS,"Jul 25, 2021",$0.6549,$0.66,$0.6424,$0.655,$141,$0
AGRS,"Jul 24, 2021",$0.6276,$0.6633,$0.6245,$0.6546,"$2,047",$0
AGRS,"Jul 23, 2021",$0.6155,$0.631,$0.6129,$0.6274,$265,$0
AGRS,"Jul 22, 2021",$0.6207,$0.6476,$0.613,$0.6155,$31,$0
AGRS,"Jul 21, 2021",$0.5994,$0.6232,$0.5865,$0.6207,"$5,755",$0
AGRS,"Jul 20, 2021",$0.6373,$0.6407,$0.5811,$0.5989,"$9,234",$0
AGRS,"Jul 19, 2021",$0.6748,$0.6757,$0.6326,$0.6373,"$1,153",$0
AGRS,"Jul 18, 2021",$0.6755,$0.6846,$0.6694,$0.6747,$800,$0
AGRS,"Jul 17, 2021",$0.6763,$0.6815,$0.6701,$0.6754,$329,$0
AGRS,"Jul 16, 2021",$0.6827,$0.6866,$0.6758,$0.6764,$719,$0
AGRS,"Jul 15, 2021",$0.6793,$0.6903,$0.6691,$0.6817,"$2,232",$0
AGRS,"Jul 14, 2021",$0.6608,$0.6833,$0.653,$0.6793,"$1,969",$0
AGRS,"Jul 13, 2021",$0.667,$0.6767,$0.6573,$0.6606,"$2,243",$0
AGRS,"Jul 12, 2021",$0.7047,$0.719,$0.655,$0.6671,"$4,880",$0
AGRS,"Jul 11, 2021",$0.7048,$0.7113,$0.6917,$0.7048,"$1,177",$0
AGRS,"Jul 10, 2021",$0.6797,$0.7148,$0.6699,$0.7046,"$1,278",$0
AGRS,"Jul 09, 2021",$0.6784,$0.6866,$0.6716,$0.6798,"$2,563",$0
AGRS,"Jul 08, 2021",$0.6868,$0.6868,$0.6539,$0.678,"$1,720",$0
AGRS,"Jul 07, 2021",$0.6655,$0.7314,$0.6629,$0.6866,"$13,558",$0
AGRS,"Jul 06, 2021",$0.672,$0.6831,$0.6622,$0.6651,$856,$0
AGRS,"Jul 05, 2021",$0.6854,$0.6854,$0.6595,$0.6727,"$1,107",$0
AGRS,"Jul 04, 2021",$0.6823,$0.6923,$0.6798,$0.6854,"$5,562",$0
AGRS,"Jul 03, 2021",$0.6755,$0.6873,$0.6708,$0.6823,"$1,087",$0
AGRS,"Jul 02, 2021",$0.6732,$0.6772,$0.6576,$0.6756,$937,$0
AGRS,"Jul 01, 2021",$0.6819,$0.6819,$0.6603,$0.673,"$1,766",$0
AGRS,"Jun 30, 2021",$0.6818,$0.6851,$0.6595,$0.6819,"$1,703",$0
AGRS,"Jun 29, 2021",$0.666,$0.7111,$0.6659,$0.6821,"$2,958",$0
AGRS,"Jun 28, 2021",$0.6731,$0.6903,$0.6653,$0.6662,"$6,301",$0
AGRS,"Jun 27, 2021",$0.6569,$0.6847,$0.6437,$0.6729,"$5,039",$0
AGRS,"Jun 26, 2021",$0.6527,$0.665,$0.6396,$0.656,"$2,715",$0
AGRS,"Jun 25, 2021",$0.6907,$0.6995,$0.6497,$0.6529,"$3,422",$0
AGRS,"Jun 24, 2021",$0.6962,$0.7043,$0.6723,$0.6909,"$2,263",$0
AGRS,"Jun 23, 2021",$0.7027,$0.716,$0.6882,$0.6993,"$3,264",$0
AGRS,"Jun 22, 2021",$0.72,$0.7379,$0.6619,$0.7024,"$5,390",$0
AGRS,"Jun 21, 2021",$0.7805,$0.7805,$0.7141,$0.7194,"$8,992",$0
AGRS,"Jun 20, 2021",$0.7528,$0.7837,$0.7335,$0.7807,"$6,810",$0
AGRS,"Jun 19, 2021",$0.7874,$0.7939,$0.7488,$0.7526,"$1,437",$0
AGRS,"Jun 18, 2021",$0.7907,$0.8133,$0.7685,$0.787,"$4,002",$0
AGRS,"Jun 17, 2021",$0.8074,$0.8253,$0.7857,$0.7906,"$2,200",$0
AGRS,"Jun 16, 2021",$0.8671,$0.8725,$0.8058,$0.8074,"$9,678",$0
AGRS,"Jun 15, 2021",$0.9184,$0.9252,$0.8303,$0.9205,"$21,328",$0
AGRS,"Jun 14, 2021",$0.8697,$0.9966,$0.8663,$0.89,"$2,472",$0
AGRS,"Jun 13, 2021",$0.8304,$0.8711,$0.8132,$0.8695,"$2,424",$0
AGRS,"Jun 12, 2021",$0.8639,$0.8652,$0.8193,$0.8299,"$4,228",$0
AGRS,"Jun 11, 2021",$0.8792,$0.8853,$0.8523,$0.863,"$3,268",$0
AGRS,"Jun 10, 2021",$0.8926,$0.9008,$0.8705,$0.8791,"$3,221",$0
AGRS,"Jun 09, 2021",$0.8388,$0.8949,$0.8259,$0.8921,"$28,060",$0
AGRS,"Jun 08, 2021",$0.8506,$0.8593,$0.819,$0.8388,"$26,433",$0
AGRS,"Jun 07, 2021",$0.6523,$0.8912,$0.6481,$0.8501,"$33,554",$0
AGRS,"Jun 06, 2021",$0.7693,$0.7834,$0.6422,$0.6522,$0,$0
AGRS,"Jun 05, 2021",$0.7775,$0.8275,$0.7523,$0.7718,$664,$0
AGRS,"Jun 04, 2021",$0.7735,$0.8062,$0.7321,$0.7801,"$5,274",$0
AGRS,"Jun 03, 2021",$0.8079,$0.848,$0.7432,$0.7734,"$4,128",$0
AGRS,"Jun 02, 2021",$0.7197,$0.8245,$0.707,$0.8083,"$3,342",$0
AGRS,"Jun 01, 2021",$0.7317,$0.7432,$0.6962,$0.7193,$304,$0
AGRS,"May 31, 2021",$0.7029,$0.7348,$0.6716,$0.7315,$75,$0
AGRS,"May 30, 2021",$0.6546,$0.7165,$0.6339,$0.7025,$484,$0
AGRS,"May 29, 2021",$0.6686,$0.7034,$0.6355,$0.654,$44,$0
AGRS,"May 28, 2021",$0.7364,$0.7411,$0.6541,$0.6681,$386,$0
AGRS,"May 27, 2021",$0.7448,$0.758,$0.725,$0.7364,$846,$0
AGRS,"May 26, 2021",$0.772,$0.8258,$0.7323,$0.7451,$867,$0
AGRS,"May 25, 2021",$0.7446,$0.9128,$0.73,$0.7707,"$11,660",$0
AGRS,"May 24, 2021",$0.6658,$0.7542,$0.663,$0.7441,"$2,033",$0
AGRS,"May 23, 2021",$0.7006,$0.7188,$0.6063,$0.6661,"$2,477",$0
AGRS,"May 22, 2021",$0.6891,$0.8188,$0.6639,$0.7004,"$26,528",$0
AGRS,"May 21, 2021",$0.779,$0.8205,$0.57,$0.6882,"$19,975",$0
AGRS,"May 20, 2021",$0.7448,$0.9033,$0.618,$0.781,"$31,962",$0
AGRS,"May 19, 2021",$0.9621,$0.972,$0.607,$0.7461,"$21,676",$0
AGRS,"May 18, 2021",$1.04,$1.06,$0.9539,$0.9634,$775,$0
AGRS,"May 17, 2021",$1.09,$1.09,$0.9781,$1.04,"$2,401",$0
AGRS,"May 16, 2021",$1.11,$1.15,$1.07,$1.09,"$28,694",$0
AGRS,"May 15, 2021",$1.17,$1.18,$1.11,$1.11,"$14,742",$0
AGRS,"May 14, 2021",$1.21,$1.21,$1.16,$1.17,"$52,480",$0
AGRS,"May 13, 2021",$1.21,$1.21,$1.19,$1.21,"$64,705",$0
AGRS,"May 12, 2021",$1.25,$1.26,$1.20,$1.21,"$40,651",$0
AGRS,"May 11, 2021",$1.25,$1.26,$1.24,$1.25,"$15,815",$0
AGRS,"May 10, 2021",$1.25,$1.28,$1.24,$1.25,"$26,152",$0
AGRS,"May 09, 2021",$1.32,$1.33,$1.24,$1.25,"$30,906",$0
AGRS,"May 08, 2021",$1.25,$1.33,$1.25,$1.32,"$9,596",$0
AGRS,"May 07, 2021",$1.27,$1.27,$1.24,$1.25,"$8,498",$0
AGRS,"May 06, 2021",$1.24,$1.30,$1.24,$1.27,"$19,506",$0
AGRS,"May 05, 2021",$1.21,$1.27,$1.21,$1.24,"$22,038",$0
AGRS,"May 04, 2021",$1.32,$1.35,$1.21,$1.21,"$43,335",$0
AGRS,"May 03, 2021",$1.23,$1.32,$1.21,$1.32,"$21,566",$0
AGRS,"May 02, 2021",$1.25,$1.38,$1.16,$1.22,"$28,179",$0
AGRS,"May 01, 2021",$1.25,$1.28,$1.22,$1.25,"$9,102",$0
AGRS,"Apr 30, 2021",$1.21,$1.26,$1.20,$1.25,"$27,287",$0
AGRS,"Apr 29, 2021",$1.23,$1.23,$1.19,$1.21,"$6,397",$0
AGRS,"Apr 28, 2021",$1.21,$1.25,$1.20,$1.23,"$20,197",$0
AGRS,"Apr 27, 2021",$1.20,$1.21,$1.19,$1.21,"$9,690",$0
AGRS,"Apr 26, 2021",$1.19,$1.21,$1.19,$1.20,"$14,852",$0
AGRS,"Apr 25, 2021",$1.19,$1.20,$1.18,$1.19,"$23,551",$0
AGRS,"Apr 24, 2021",$1.22,$1.22,$1.19,$1.19,"$38,290",$0
AGRS,"Apr 23, 2021",$1.24,$1.24,$1.20,$1.22,"$34,786",$0
AGRS,"Apr 22, 2021",$1.22,$1.26,$1.22,$1.24,"$23,285",$0
AGRS,"Apr 21, 2021",$1.24,$1.28,$1.22,$1.22,"$8,525",$0
AGRS,"Apr 20, 2021",$1.30,$1.31,$1.24,$1.24,"$27,953",$0
AGRS,"Apr 19, 2021",$1.20,$1.33,$1.18,$1.29,"$65,489",$0
AGRS,"Apr 18, 2021",$1.22,$1.23,$1.18,$1.20,"$36,076",$0
AGRS,"Apr 17, 2021",$1.22,$1.23,$1.21,$1.22,"$6,088",$0
