,symbol,date,open,high,low,close,volume,marketCap
0,AGVC,"Oct 20, 2021",$0.08068,$0.08523,$0.07981,$0.085,$13,$0
1,AGVC,"Oct 19, 2021",$0.07795,$0.08082,$0.07772,$0.08067,$12,$0
2,AGVC,"Oct 18, 2021",$0.0781,$0.07902,$0.07618,$0.07795,$12,$0
3,AGVC,"Oct 17, 2021",$0.07276,$0.07826,$0.0691,$0.07812,$12,$0
4,AGVC,"Oct 16, 2021",$0.01668,$0.07868,$0.0165,$0.07279,$13,$0
5,AGVC,"Oct 15, 2021",$0.07625,$0.07825,$0.01659,$0.01669,$55,$0
6,AGVC,"Oct 14, 2021",$0.0739,$0.07686,$0.07359,$0.07628,$11,$0
7,AGVC,"Oct 13, 2021",$0.06241,$0.07391,$0.06229,$0.07389,$11,$0
8,AGVC,"Oct 12, 2021",$0.01506,$0.06276,$0.01485,$0.06243,$12,$0
9,AGVC,"Oct 11, 2021",$0.05478,$0.05484,$0.01488,$0.01505,$58,$0
10,AGVC,"Oct 10, 2021",$0.03286,$0.07257,$0.03209,$0.05484,$14,$0
11,AGVC,"Oct 09, 2021",$0.01241,$0.03301,$0.0109,$0.03286,$22,$0
12,AGVC,"Oct 08, 2021",$0.07204,$0.07402,$0.01097,$0.0124,$58,$0
13,AGVC,"Oct 07, 2021",$0.05456,$0.07318,$0.0531,$0.07203,$11,$0
14,AGVC,"Oct 06, 2021",$0.07011,$0.0703,$0.04771,$0.05461,$15,$0
15,AGVC,"Oct 05, 2021",$0.0672,$0.07052,$0.067,$0.0701,$11,$0
16,AGVC,"Oct 04, 2021",$0.06737,$0.0681,$0.06501,$0.06721,$10,$0
17,AGVC,"Oct 03, 2021",$0.06564,$0.06866,$0.06561,$0.06734,$10,$0
18,AGVC,"Oct 02, 2021",$0.009874,$0.06621,$0.009708,$0.06567,$10,$0
19,AGVC,"Oct 01, 2021",$0.05975,$0.06508,$0.009843,$0.009881,$61,$0
20,AGVC,"Sep 30, 2021",$0.05677,$0.06045,$0.05654,$0.05975,$9,$0
21,AGVC,"Sep 29, 2021",$0.04133,$0.05816,$0.04112,$0.05671,$9,$0
22,AGVC,"Sep 28, 2021",$0.05817,$0.0589,$0.04114,$0.04126,$12,$0
23,AGVC,"Sep 27, 2021",$0.06038,$0.06226,$0.05815,$0.05815,$9,$0
24,AGVC,"Sep 26, 2021",$0.05825,$0.0614,$0.05498,$0.06043,$9,$0
25,AGVC,"Sep 25, 2021",$0.05839,$0.05897,$0.05638,$0.05828,$9,$0
26,AGVC,"Sep 24, 2021",$0.06236,$0.06246,$0.05505,$0.05839,$9,$0
27,AGVC,"Sep 23, 2021",$0.06076,$0.06264,$0.06001,$0.06239,$9,$0
28,AGVC,"Sep 22, 2021",$0.03993,$0.06104,$0.03987,$0.06073,$9,$0
29,AGVC,"Sep 21, 2021",$0.05909,$0.05909,$0.03906,$0.03977,$12,$0
30,AGVC,"Sep 20, 2021",$0.06574,$0.06596,$0.05844,$0.05877,$9,$0
31,AGVC,"Sep 19, 2021",$0.02618,$0.06668,$0.02579,$0.06574,$10,$0
32,AGVC,"Sep 18, 2021",$0.06642,$0.06684,$0.02576,$0.02617,$26,$0
33,AGVC,"Sep 17, 2021",$0.06941,$0.06978,$0.06566,$0.06636,$10,$0
34,AGVC,"Sep 16, 2021",$0.07016,$0.07112,$0.06797,$0.06939,$10,$0
35,AGVC,"Sep 15, 2021",$0.06713,$0.07003,$0.0661,$0.06993,$10,$0
36,AGVC,"Sep 14, 2021",$0.06426,$0.06714,$0.06405,$0.06707,$10,$0
37,AGVC,"Sep 13, 2021",$0.06647,$0.06677,$0.06138,$0.06428,$10,$0
38,AGVC,"Sep 12, 2021",$0.06412,$0.06725,$0.06346,$0.0665,$10,$0
39,AGVC,"Sep 11, 2021",$0.06317,$0.06544,$0.06311,$0.06409,$10,$0
40,AGVC,"Sep 10, 2021",$0.06689,$0.06836,$0.06218,$0.06313,$9,$0
41,AGVC,"Sep 09, 2021",$0.06703,$0.06905,$0.06349,$0.06692,$10,$0
42,AGVC,"Sep 08, 2021",$0.06171,$0.06894,$0.05867,$0.06775,$10,$0
43,AGVC,"Sep 07, 2021",$0.07638,$0.07664,$0.05507,$0.06173,$11,$0
