,symbol,date,open,high,low,close,volume,marketCap
0,ALN,"Oct 19, 2021",$0.06897,$0.06908,$0.06474,$0.06622,"$24,626","$2,369,200"
1,ALN,"Oct 18, 2021",$0.07409,$0.07435,$0.06567,$0.06897,"$184,770","$2,467,833"
2,ALN,"Oct 17, 2021",$0.07512,$0.07879,$0.07303,$0.0741,"$29,233","$2,872,146"
3,ALN,"Oct 16, 2021",$0.06151,$0.08033,$0.06147,$0.07513,"$60,339","$2,912,158"
4,ALN,"Oct 15, 2021",$0.06135,$0.06758,$0.06096,$0.06152,"$22,212","$2,384,540"
5,ALN,"Oct 14, 2021",$0.05625,$0.0624,$0.05609,$0.06136,"$11,037","$2,378,415"
6,ALN,"Oct 13, 2021",$0.05384,$0.05828,$0.05114,$0.05625,"$28,714","$2,180,362"
7,ALN,"Oct 12, 2021",$0.05208,$0.05468,$0.05176,$0.05384,"$10,768","$2,087,068"
8,ALN,"Oct 11, 2021",$0.05064,$0.05247,$0.05062,$0.05207,"$6,868","$2,018,196"
9,ALN,"Oct 10, 2021",$0.05287,$0.05316,$0.05016,$0.05064,"$9,068","$1,962,957"
10,ALN,"Oct 09, 2021",$0.05546,$0.05594,$0.05211,$0.05284,"$11,027","$2,048,326"
11,ALN,"Oct 08, 2021",$0.0537,$0.05625,$0.05361,$0.05545,"$3,272","$2,149,239"
12,ALN,"Oct 07, 2021",$0.05436,$0.05473,$0.0533,$0.0537,"$7,977","$2,081,459"
13,ALN,"Oct 06, 2021",$0.05807,$0.05826,$0.05242,$0.05437,"$29,275","$2,107,637"
14,ALN,"Oct 05, 2021",$0.06367,$0.06403,$0.05434,$0.05808,"$38,217","$2,251,095"
15,ALN,"Oct 04, 2021",$0.05833,$0.06506,$0.0579,$0.06367,"$25,627","$2,468,091"
16,ALN,"Oct 03, 2021",$0.05061,$0.06195,$0.05019,$0.05832,"$38,730","$2,260,776"
17,ALN,"Oct 02, 2021",$0.0495,$0.05193,$0.04937,$0.05063,"$4,852","$1,962,396"
18,ALN,"Oct 01, 2021",$0.04627,$0.05265,$0.0455,$0.04951,"$13,759","$1,918,987"
19,ALN,"Sep 30, 2021",$0.04665,$0.04822,$0.04498,$0.04627,"$8,215","$1,793,461"
20,ALN,"Sep 29, 2021",$0.04837,$0.0499,$0.04516,$0.04665,"$33,620","$1,808,100"
21,ALN,"Sep 28, 2021",$0.05001,$0.05004,$0.0481,$0.04834,"$6,802","$1,873,861"
22,ALN,"Sep 27, 2021",$0.04913,$0.05102,$0.049,$0.05,"$12,178","$1,938,078"
23,ALN,"Sep 26, 2021",$0.04976,$0.04987,$0.04685,$0.04914,"$22,785","$1,904,767"
