symbol,date,open,high,low,close,volume,marketCap
AMLT,"Oct 29, 2021",$0.0278,$0.02839,$0.02528,$0.02764,"$5,575","$8,383,167"
AMLT,"Oct 28, 2021",$0.02761,$0.02784,$0.02508,$0.0278,"$10,717","$8,429,688"
AMLT,"Oct 27, 2021",$0.02768,$0.03024,$0.02509,$0.02761,"$46,119","$8,372,383"
AMLT,"Oct 26, 2021",$0.0277,$0.03033,$0.02514,$0.02768,"$36,231","$8,394,447"
AMLT,"Oct 25, 2021",$0.02783,$0.03033,$0.02759,$0.0277,"$14,832","$8,400,663"
AMLT,"Oct 24, 2021",$0.02772,$0.0303,$0.02769,$0.02783,"$165,565","$8,440,472"
AMLT,"Oct 23, 2021",$0.03019,$0.0302,$0.02753,$0.02772,"$156,998","$8,406,203"
AMLT,"Oct 22, 2021",$0.03015,$0.03026,$0.02766,$0.03019,"$177,013","$9,156,803"
AMLT,"Oct 21, 2021",$0.02789,$0.03026,$0.02763,$0.03015,"$177,534","$9,143,883"
AMLT,"Oct 20, 2021",$0.03037,$0.03046,$0.0278,$0.02789,"$164,049","$8,146,821"
AMLT,"Oct 19, 2021",$0.03033,$0.03057,$0.02776,$0.03036,"$184,733","$8,869,428"
AMLT,"Oct 18, 2021",$0.02792,$0.03036,$0.02762,$0.03033,"$188,121","$8,860,775"
AMLT,"Oct 17, 2021",$0.02785,$0.03015,$0.02756,$0.02792,"$156,874","$8,156,703"
AMLT,"Oct 16, 2021",$0.0279,$0.03036,$0.02781,$0.02785,"$160,666","$8,136,624"
AMLT,"Oct 15, 2021",$0.02788,$0.03042,$0.02779,$0.0279,"$159,105","$8,149,899"
AMLT,"Oct 14, 2021",$0.02811,$0.03291,$0.02788,$0.02789,"$152,222","$8,146,338"
AMLT,"Oct 13, 2021",$0.02762,$0.03034,$0.02762,$0.02811,"$153,474","$8,210,824"
AMLT,"Oct 12, 2021",$0.03001,$0.03009,$0.02756,$0.02762,"$148,091","$8,068,355"
AMLT,"Oct 11, 2021",$0.02755,$0.03002,$0.02752,$0.03001,"$162,954","$8,765,528"
AMLT,"Oct 10, 2021",$0.0299,$0.02995,$0.02752,$0.02756,"$149,021","$8,050,162"
AMLT,"Oct 09, 2021",$0.03024,$0.03025,$0.0276,$0.0299,"$162,176","$8,733,401"
AMLT,"Oct 08, 2021",$0.03022,$0.03029,$0.02756,$0.03024,"$167,017","$8,833,553"
AMLT,"Oct 07, 2021",$0.03046,$0.03053,$0.02769,$0.03022,"$189,766","$8,827,449"
AMLT,"Oct 06, 2021",$0.02767,$0.03301,$0.0275,$0.03046,"$212,756","$8,897,828"
