symbol,date,open,high,low,close,volume,marketCap
ANON,"Oct 29, 2021",$0.004244,$0.004405,$0.004223,$0.004357,$0,"$33,089"
ANON,"Oct 28, 2021",$0.004679,$0.00478,$0.004074,$0.004243,$83,"$32,221"
ANON,"Oct 27, 2021",$0.004829,$0.004915,$0.004657,$0.004682,$0,"$35,553"
ANON,"Oct 26, 2021",$0.005043,$0.005058,$0.004799,$0.004827,$7,"$36,658"
ANON,"Oct 25, 2021",$0.004874,$0.005098,$0.004855,$0.005042,$3,"$38,287"
ANON,"Oct 24, 2021",$0.004911,$0.00492,$0.004771,$0.004876,$0,"$37,029"
ANON,"Oct 23, 2021",$0.004855,$0.00494,$0.004786,$0.00491,$0,"$37,284"
ANON,"Oct 22, 2021",$0.004977,$0.005097,$0.00481,$0.004856,$1,"$36,874"
ANON,"Oct 21, 2021",$0.005279,$0.006555,$0.004969,$0.004978,$19,"$37,799"
ANON,"Oct 20, 2021",$0.005784,$0.006024,$0.00525,$0.00528,$74,"$40,096"
ANON,"Oct 19, 2021",$0.005582,$0.005799,$0.005546,$0.005783,$4,"$43,914"
ANON,"Oct 18, 2021",$0.00554,$0.006261,$0.005401,$0.005582,$8,"$42,391"
ANON,"Oct 17, 2021",$0.00548,$0.005548,$0.005325,$0.005541,$17,"$42,080"
ANON,"Oct 16, 2021",$0.005543,$0.006788,$0.005419,$0.00548,$15,"$41,612"
ANON,"Oct 15, 2021",$0.005159,$0.005648,$0.005118,$0.005546,$10,"$42,119"
ANON,"Oct 14, 2021",$0.005166,$0.005806,$0.005126,$0.00516,$0,"$39,185"
ANON,"Oct 13, 2021",$0.005044,$0.005715,$0.004893,$0.005167,$7,"$39,239"
ANON,"Oct 12, 2021",$0.005174,$0.005187,$0.004903,$0.005046,$12,"$38,316"
ANON,"Oct 11, 2021",$0.004382,$0.005172,$0.004006,$0.005172,$192,"$39,273"
ANON,"Oct 10, 2021",$0.004397,$0.004512,$0.004341,$0.004385,$10,"$33,297"
ANON,"Oct 09, 2021",$0.004317,$0.004432,$0.004299,$0.004397,$0,"$33,388"
ANON,"Oct 08, 2021",$0.004843,$0.005033,$0.004304,$0.004316,$44,"$32,777"
ANON,"Oct 07, 2021",$0.004983,$0.004983,$0.004817,$0.004842,$0,"$36,772"
ANON,"Oct 06, 2021",$0.005151,$0.005517,$0.004908,$0.004986,$81,"$37,860"
ANON,"Oct 05, 2021",$0.004911,$0.005184,$0.004907,$0.005149,$17,"$39,101"
ANON,"Oct 04, 2021",$0.00482,$0.004946,$0.004705,$0.004911,$0,"$37,293"
ANON,"Oct 03, 2021",$0.004771,$0.004913,$0.004716,$0.004819,$0,"$36,597"
ANON,"Oct 02, 2021",$0.004812,$0.00668,$0.004747,$0.004773,$33,"$36,246"
ANON,"Oct 01, 2021",$0.004379,$0.004844,$0.004332,$0.004814,$32,"$36,558"
ANON,"Sep 30, 2021",$0.004156,$0.004409,$0.004144,$0.004378,$0,"$33,245"
ANON,"Sep 29, 2021",$0.004103,$0.004255,$0.004083,$0.004153,$0,"$31,540"
ANON,"Sep 28, 2021",$0.005491,$0.008068,$0.004093,$0.004098,$478,"$31,116"
ANON,"Sep 27, 2021",$0.005617,$0.005761,$0.005485,$0.005491,$0,"$41,695"
