symbol,date,open,high,low,close,volume,marketCap
APIX,"Oct 29, 2021",$0.06196,$0.1349,$0.06065,$0.1241,"$2,258,166","$15,274,930"
APIX,"Oct 28, 2021",$0.06245,$0.06556,$0.06078,$0.06197,"$765,935","$7,627,368"
APIX,"Oct 27, 2021",$0.06501,$0.06669,$0.05984,$0.06256,"$953,177","$7,700,057"
APIX,"Oct 26, 2021",$0.07004,$0.07103,$0.06495,$0.06502,"$910,387","$8,001,909"
APIX,"Oct 25, 2021",$0.07247,$0.0782,$0.06612,$0.07005,"$1,123,278","$8,621,535"
APIX,"Oct 24, 2021",$0.06559,$0.08269,$0.06531,$0.07247,"$4,619,450","$8,918,739"
APIX,"Oct 23, 2021",$0.06408,$0.07133,$0.06381,$0.06559,"$1,275,563","$8,072,049"
APIX,"Oct 22, 2021",$0.06324,$0.06662,$0.06242,$0.06408,"$471,538","$7,886,177"
APIX,"Oct 21, 2021",$0.07161,$0.07471,$0.06287,$0.06346,"$1,025,967","$7,810,214"
APIX,"Oct 20, 2021",$0.08158,$0.08722,$0.06981,$0.07161,"$639,800","$8,812,832"
APIX,"Oct 19, 2021",$0.09183,$0.1027,$0.0812,$0.08161,"$566,890","$10,044,350"
APIX,"Oct 18, 2021",$0.05927,$0.09279,$0.05855,$0.09183,"$642,982","$11,302,535"
APIX,"Oct 17, 2021",$0.07579,$0.07809,$0.0589,$0.05927,"$1,460,143","$7,294,134"
APIX,"Oct 16, 2021",$0.09646,$0.09675,$0.07403,$0.07577,"$470,270","$9,325,940"
APIX,"Oct 15, 2021",$0.1406,$0.1629,$0.09486,$0.09647,"$915,358","$11,872,859"
APIX,"Oct 14, 2021",$0.06026,$0.1399,$0.05956,$0.1399,"$908,998","$17,215,212"
APIX,"Oct 13, 2021",$0.1411,$0.1694,$0.06004,$0.06023,"$1,942,095","$7,412,215"
APIX,"Oct 12, 2021",$0.1723,$0.2333,$0.1412,$0.1412,"$1,204,533","$17,372,891"
APIX,"Oct 11, 2021",$0.06878,$0.1778,$0.06818,$0.1721,"$1,193,608","$21,183,369"
APIX,"Oct 10, 2021",$0.07572,$0.08223,$0.06867,$0.06882,"$1,767,055","$8,469,390"
APIX,"Oct 09, 2021",$0.07882,$0.08718,$0.06667,$0.07536,"$9,826,925","$9,274,932"
APIX,"Oct 08, 2021",$0.05987,$0.09365,$0.05832,$0.07882,"$14,395,234","$9,700,356"
APIX,"Oct 07, 2021",$0.06032,$0.06097,$0.05748,$0.05987,"$442,992","$7,368,703"
APIX,"Oct 06, 2021",$0.05953,$0.06173,$0.05709,$0.05996,"$355,338","$7,379,416"
APIX,"Oct 05, 2021",$0.05655,$0.06114,$0.05558,$0.05953,"$451,381","$7,326,680"
APIX,"Oct 04, 2021",$0.05618,$0.06256,$0.05554,$0.05655,"$1,048,981","$6,960,179"
APIX,"Oct 03, 2021",$0.05427,$0.06171,$0.05323,$0.05618,"$1,184,825","$6,914,744"
APIX,"Oct 02, 2021",$0.05498,$0.05743,$0.05308,$0.05427,"$478,518","$6,679,517"
APIX,"Oct 01, 2021",$0.05483,$0.05687,$0.05367,$0.05498,"$471,346","$6,766,499"
APIX,"Sep 30, 2021",$0.05546,$0.05694,$0.05183,$0.05458,"$431,824","$6,716,899"
APIX,"Sep 29, 2021",$0.04578,$0.058,$0.04445,$0.05552,"$1,129,226","$6,833,661"
APIX,"Sep 28, 2021",$0.04969,$0.05,$0.04424,$0.04577,"$572,919","$5,633,219"
APIX,"Sep 27, 2021",$0.04635,$0.05352,$0.0456,$0.04971,"$626,163","$6,117,621"
APIX,"Sep 26, 2021",$0.05088,$0.05512,$0.04565,$0.04632,"$344,333","$5,700,652"
APIX,"Sep 25, 2021",$0.04973,$0.05252,$0.0469,$0.05086,"$174,441","$6,259,377"
APIX,"Sep 24, 2021",$0.05409,$0.05457,$0.04669,$0.04972,"$637,745","$6,119,071"
APIX,"Sep 23, 2021",$0.05361,$0.0544,$0.05118,$0.05404,"$336,039","$6,650,339"
APIX,"Sep 22, 2021",$0.04651,$0.05501,$0.04545,$0.05361,"$443,110","$6,598,600"
APIX,"Sep 21, 2021",$0.05257,$0.05268,$0.04503,$0.0465,"$365,865","$5,722,961"
APIX,"Sep 20, 2021",$0.06341,$0.06498,$0.05226,$0.05263,"$845,124","$6,477,055"
APIX,"Sep 19, 2021",$0.05711,$0.06831,$0.05422,$0.06342,"$1,034,759","$7,805,007"
APIX,"Sep 18, 2021",$0.05576,$0.05811,$0.05473,$0.05742,"$420,747","$7,067,521"
