symbol,date,open,high,low,close,volume,marketCap
ARES,"Oct 29, 2021",$0.0167,$0.01896,$0.01582,$0.01625,"$721,336","$2,538,461"
ARES,"Oct 28, 2021",$0.01639,$0.01747,$0.01635,$0.01671,"$506,710","$2,608,869"
ARES,"Oct 27, 2021",$0.01815,$0.01878,$0.01576,$0.01638,"$669,696","$2,558,489"
ARES,"Oct 26, 2021",$0.01955,$0.02086,$0.0181,$0.01815,"$657,050","$2,834,760"
ARES,"Oct 25, 2021",$0.02093,$0.02154,$0.01912,$0.01955,"$682,627","$3,052,978"
ARES,"Oct 24, 2021",$0.01981,$0.02187,$0.01881,$0.02087,"$999,486","$3,258,772"
ARES,"Oct 23, 2021",$0.01745,$0.02406,$0.01711,$0.01981,"$947,056","$3,093,769"
ARES,"Oct 22, 2021",$0.01827,$0.01951,$0.01687,$0.01745,"$637,112","$2,724,847"
ARES,"Oct 21, 2021",$0.0186,$0.02011,$0.01706,$0.01828,"$572,539","$2,854,160"
ARES,"Oct 20, 2021",$0.01889,$0.01916,$0.01695,$0.0186,"$520,123","$2,904,146"
ARES,"Oct 19, 2021",$0.02017,$0.02098,$0.01866,$0.01889,"$485,691","$2,950,167"
ARES,"Oct 18, 2021",$0.02098,$0.02192,$0.02003,$0.02018,"$566,470","$3,150,655"
ARES,"Oct 17, 2021",$0.02126,$0.02156,$0.02071,$0.02098,"$455,450","$3,261,946"
ARES,"Oct 16, 2021",$0.02072,$0.02209,$0.02033,$0.02126,"$415,895","$3,305,457"
ARES,"Oct 15, 2021",$0.02256,$0.02274,$0.02046,$0.02084,"$506,746","$3,239,995"
ARES,"Oct 14, 2021",$0.02175,$0.02356,$0.02175,$0.02256,"$571,088","$3,508,157"
ARES,"Oct 13, 2021",$0.02266,$0.02363,$0.02128,$0.02175,"$538,599","$3,382,002"
ARES,"Oct 12, 2021",$0.02365,$0.02365,$0.0221,$0.02265,"$485,877","$3,522,529"
