symbol,date,open,high,low,close,volume,marketCap
B20,"Oct 22, 2021",$0.7788,$0.7827,$0.7233,$0.7689,"$121,820",$0
B20,"Oct 21, 2021",$0.8116,$0.8379,$0.7642,$0.779,"$136,901",$0
B20,"Oct 20, 2021",$0.8339,$1.07,$0.7493,$0.8122,"$225,721",$0
B20,"Oct 19, 2021",$0.8623,$0.8835,$0.8314,$0.8355,"$160,570",$0
B20,"Oct 18, 2021",$0.8413,$0.8723,$0.8356,$0.8623,"$135,863",$0
B20,"Oct 17, 2021",$0.8338,$0.8618,$0.8173,$0.8412,"$109,559",$0
B20,"Oct 16, 2021",$0.8818,$0.8915,$0.8057,$0.8338,"$135,139",$0
B20,"Oct 15, 2021",$0.8939,$0.9607,$0.8618,$0.8815,"$154,944",$0
B20,"Oct 14, 2021",$0.8932,$0.9424,$0.8542,$0.894,"$109,677",$0
B20,"Oct 13, 2021",$0.9591,$0.9609,$0.8467,$0.8931,"$129,849",$0
B20,"Oct 12, 2021",$0.8053,$1.09,$0.7636,$0.9589,"$189,177",$0
B20,"Oct 11, 2021",$0.7832,$0.8208,$0.7596,$0.8053,"$126,907",$0
B20,"Oct 10, 2021",$0.7277,$0.7994,$0.7135,$0.7834,"$157,633",$0
B20,"Oct 09, 2021",$0.7693,$0.7767,$0.7145,$0.7279,"$123,478",$0
B20,"Oct 08, 2021",$0.8117,$0.8145,$0.7612,$0.7693,"$113,036",$0
B20,"Oct 07, 2021",$0.7951,$0.8495,$0.7811,$0.8118,"$117,771",$0
B20,"Oct 06, 2021",$0.7796,$0.8004,$0.7238,$0.7951,"$129,110",$0
B20,"Oct 05, 2021",$0.7645,$0.8812,$0.7628,$0.78,"$128,247",$0
B20,"Oct 04, 2021",$0.7629,$0.771,$0.7441,$0.7646,"$110,349",$0
B20,"Oct 03, 2021",$0.7688,$0.8123,$0.7452,$0.7629,"$107,099",$0
B20,"Oct 02, 2021",$0.7649,$0.7744,$0.7444,$0.7692,"$110,939",$0
B20,"Oct 01, 2021",$0.7248,$0.7781,$0.7052,$0.7648,"$172,457",$0
B20,"Sep 30, 2021",$0.7206,$0.7377,$0.7143,$0.7248,"$128,630",$0
B20,"Sep 29, 2021",$0.7695,$0.7773,$0.706,$0.7208,"$139,185",$0
B20,"Sep 28, 2021",$0.8091,$0.8133,$0.7318,$0.7701,"$229,836",$0
B20,"Sep 27, 2021",$0.8002,$0.8566,$0.7951,$0.8091,"$87,909",$0
B20,"Sep 26, 2021",$0.7934,$0.8235,$0.6371,$0.8004,"$135,182",$0
B20,"Sep 25, 2021",$0.7481,$0.8275,$0.7428,$0.7935,"$109,202",$0
B20,"Sep 24, 2021",$0.8027,$0.8179,$0.7465,$0.748,"$136,850",$0
B20,"Sep 23, 2021",$0.803,$0.8385,$0.7951,$0.8027,"$109,793",$0
B20,"Sep 22, 2021",$0.797,$0.8676,$0.6221,$0.8027,"$207,317",$0
B20,"Sep 21, 2021",$0.8265,$0.8849,$0.7801,$0.7971,"$104,024",$0
B20,"Sep 20, 2021",$0.9182,$0.92,$0.824,$0.8267,"$122,303",$0
B20,"Sep 19, 2021",$0.9108,$0.9209,$0.8576,$0.9181,"$127,932",$0
