symbol,date,open,high,low,close,volume,marketCap
BABI,"Oct 22, 2021",$0.1421,$0.2233,$0.1418,$0.158,"$2,059,388",$0
BABI,"Oct 21, 2021",$0.1996,$0.2058,$0.1312,$0.1422,"$3,382,263",$0
BABI,"Oct 20, 2021",$0.1102,$0.2213,$0.1,$0.1994,"$2,904,531",$0
BABI,"Oct 19, 2021",$0.09766,$0.1102,$0.09332,$0.1102,"$443,592",$0
BABI,"Oct 18, 2021",$0.09341,$0.1081,$0.08924,$0.09762,"$261,181",$0
BABI,"Oct 17, 2021",$0.09751,$0.1033,$0.08971,$0.09342,"$188,836",$0
BABI,"Oct 16, 2021",$0.0942,$0.1082,$0.09262,$0.09763,"$196,580",$0
BABI,"Oct 15, 2021",$0.09134,$0.09746,$0.08504,$0.09424,"$203,869",$0
BABI,"Oct 14, 2021",$0.08932,$0.09753,$0.08823,$0.09133,"$165,295",$0
BABI,"Oct 13, 2021",$0.09204,$0.09678,$0.0876,$0.08927,"$115,905",$0
BABI,"Oct 12, 2021",$0.08469,$0.09238,$0.08141,$0.09191,"$169,584",$0
BABI,"Oct 11, 2021",$0.1025,$0.1029,$0.082,$0.08478,"$144,827",$0
BABI,"Oct 10, 2021",$0.09998,$0.1035,$0.09656,$0.1026,"$101,333",$0
BABI,"Oct 09, 2021",$0.1015,$0.1077,$0.09713,$0.09996,"$231,546",$0
BABI,"Oct 08, 2021",$0.1196,$0.1362,$0.09438,$0.1015,"$396,185",$0
BABI,"Oct 07, 2021",$0.1054,$0.1304,$0.1001,$0.1196,"$268,352",$0
BABI,"Oct 06, 2021",$0.1166,$0.1167,$0.09941,$0.1053,"$161,434",$0
BABI,"Oct 05, 2021",$0.1119,$0.1193,$0.1101,$0.1166,"$277,578",$0
BABI,"Oct 04, 2021",$0.1118,$0.1273,$0.1016,$0.1119,"$285,244",$0
BABI,"Oct 03, 2021",$0.09747,$0.1171,$0.09506,$0.1119,"$139,118",$0
BABI,"Oct 02, 2021",$0.09615,$0.1011,$0.09278,$0.09742,"$137,516",$0
BABI,"Oct 01, 2021",$0.09274,$0.09859,$0.08642,$0.09612,"$187,722",$0
BABI,"Sep 30, 2021",$0.1005,$0.103,$0.08992,$0.09271,"$194,306",$0
BABI,"Sep 29, 2021",$0.09731,$0.1075,$0.09619,$0.1005,"$181,636",$0
