symbol,date,open,high,low,close,volume,marketCap
BAL,"Oct 22, 2021",$22.20,$22.88,$21.74,$22.01,"$28,781,003","$152,835,131"
BAL,"Oct 21, 2021",$22.97,$23.73,$22.18,$22.18,"$44,153,571","$153,991,750"
BAL,"Oct 20, 2021",$21.89,$23.03,$21.62,$22.97,"$32,010,476","$159,487,296"
BAL,"Oct 19, 2021",$21.66,$22.13,$21.40,$21.92,"$32,525,830","$152,227,300"
BAL,"Oct 18, 2021",$22.57,$23.01,$21.39,$21.64,"$32,202,946","$150,255,586"
BAL,"Oct 17, 2021",$22.76,$23.47,$21.92,$22.57,"$33,900,569","$156,749,307"
BAL,"Oct 16, 2021",$22.73,$23.77,$22.73,$22.81,"$38,582,145","$158,374,451"
BAL,"Oct 15, 2021",$22.36,$23.46,$21.68,$22.74,"$62,781,169","$157,893,568"
BAL,"Oct 14, 2021",$21.37,$22.95,$21.10,$22.29,"$50,478,347","$154,790,362"
BAL,"Oct 13, 2021",$20.41,$21.40,$20.20,$21.37,"$30,723,234","$148,404,586"
BAL,"Oct 12, 2021",$20.72,$20.72,$19.47,$20.45,"$41,268,012","$141,969,532"
BAL,"Oct 11, 2021",$20.71,$21.61,$20.16,$20.72,"$30,993,389","$143,870,758"
BAL,"Oct 10, 2021",$21.94,$21.96,$20.62,$20.72,"$31,238,554","$143,895,511"
BAL,"Oct 09, 2021",$21.90,$22.43,$21.60,$21.90,"$34,979,256","$152,082,148"
BAL,"Oct 08, 2021",$21.97,$22.64,$21.77,$21.93,"$37,604,640","$152,263,714"
BAL,"Oct 07, 2021",$22.02,$22.99,$21.37,$21.94,"$44,654,345","$152,362,733"
BAL,"Oct 06, 2021",$22.15,$22.34,$20.65,$22.03,"$45,524,890","$152,988,680"
BAL,"Oct 05, 2021",$21.85,$22.28,$21.24,$22.15,"$40,704,456","$153,797,109"
BAL,"Oct 04, 2021",$22.74,$22.80,$21.11,$21.79,"$32,129,522","$151,292,492"
BAL,"Oct 03, 2021",$22.39,$23.27,$21.86,$22.75,"$33,375,533","$157,986,262"
BAL,"Oct 02, 2021",$21.71,$23.17,$21.39,$22.40,"$42,874,808","$155,549,874"
BAL,"Oct 01, 2021",$19.79,$21.73,$19.60,$21.73,"$34,039,107","$150,873,440"
BAL,"Sep 30, 2021",$19.02,$19.92,$18.94,$19.78,"$29,339,699","$137,324,667"
BAL,"Sep 29, 2021",$18.84,$19.77,$18.53,$19.02,"$30,705,966","$132,073,117"
BAL,"Sep 28, 2021",$19.84,$20.15,$18.78,$18.82,"$36,868,931","$130,715,407"
BAL,"Sep 27, 2021",$20.84,$21.77,$19.83,$19.84,"$42,440,242","$137,736,957"
BAL,"Sep 26, 2021",$20.37,$21.27,$18.67,$20.75,"$54,576,352","$144,050,893"
BAL,"Sep 25, 2021",$20.21,$20.75,$19.45,$20.36,"$31,428,451","$141,410,519"
BAL,"Sep 24, 2021",$21.94,$22.01,$19.05,$20.21,"$49,762,720","$140,366,928"
BAL,"Sep 23, 2021",$21.68,$22.30,$21.26,$21.95,"$37,966,973","$152,425,031"
BAL,"Sep 22, 2021",$19.69,$21.74,$19.39,$21.69,"$44,268,397","$150,592,351"
BAL,"Sep 21, 2021",$21.24,$22.43,$19.21,$19.71,"$46,027,260","$136,833,981"
BAL,"Sep 20, 2021",$24.77,$24.82,$20.69,$21.14,"$58,630,509","$146,813,576"
BAL,"Sep 19, 2021",$25.74,$25.75,$24.45,$24.77,"$33,015,401","$171,977,619"
BAL,"Sep 18, 2021",$25.84,$26.65,$25.23,$25.70,"$35,120,496","$178,467,652"
BAL,"Sep 17, 2021",$27.98,$28.15,$25.38,$25.87,"$56,982,576","$179,625,991"
BAL,"Sep 16, 2021",$28.24,$29.74,$27.20,$27.94,"$78,269,067","$194,009,554"
BAL,"Sep 15, 2021",$26.96,$28.48,$26.50,$28.26,"$70,922,644","$196,253,837"
BAL,"Sep 14, 2021",$25.11,$27.00,$24.99,$26.94,"$58,179,805","$187,032,624"
BAL,"Sep 13, 2021",$26.80,$27.00,$23.85,$25.14,"$53,128,070","$174,593,818"
BAL,"Sep 12, 2021",$24.87,$27.77,$24.44,$26.77,"$79,076,365","$185,889,725"
BAL,"Sep 11, 2021",$24.42,$25.78,$24.22,$24.85,"$36,719,973","$172,569,013"
BAL,"Sep 10, 2021",$26.05,$26.94,$23.82,$24.38,"$50,216,259","$169,275,391"
BAL,"Sep 09, 2021",$26.09,$27.46,$25.78,$26.03,"$63,614,224","$180,734,104"
BAL,"Sep 08, 2021",$26.40,$27.22,$24.32,$26.41,"$78,860,083","$183,394,489"
BAL,"Sep 07, 2021",$32.66,$33.12,$23.33,$26.41,"$132,785,264","$183,393,169"
