symbol,date,open,high,low,close,volume,marketCap
BCHBEAR,"Oct 22, 2021",$0.0001191,$0.0001251,$0.0001148,$0.0001225,$482,$0
BCHBEAR,"Oct 21, 2021",$0.0001096,$0.0001195,$0.0000944,$0.0001188,"$8,138",$0
BCHBEAR,"Oct 20, 2021",$0.0001291,$0.0001322,$0.000107,$0.0001097,"$7,508",$0
BCHBEAR,"Oct 19, 2021",$0.0001298,$0.0001358,$0.0001215,$0.000129,"$1,038",$0
BCHBEAR,"Oct 18, 2021",$0.0001319,$0.0001357,$0.0001298,$0.0001298,$597,$0
BCHBEAR,"Oct 17, 2021",$0.0001202,$0.00014,$0.0001199,$0.0001319,"$2,032",$0
BCHBEAR,"Oct 16, 2021",$0.0001203,$0.0001207,$0.0001102,$0.0001199,"$19,055",$0
BCHBEAR,"Oct 15, 2021",$0.0001422,$0.0001454,$0.0001157,$0.000121,"$9,171",$0
BCHBEAR,"Oct 14, 2021",$0.0001469,$0.0001473,$0.0001359,$0.0001424,$584,$0
BCHBEAR,"Oct 13, 2021",$0.0001487,$0.0001572,$0.0001457,$0.0001459,"$16,385",$0
BCHBEAR,"Oct 12, 2021",$0.000141,$0.0001602,$0.000141,$0.0001487,"$5,054",$0
BCHBEAR,"Oct 11, 2021",$0.0001503,$0.0001527,$0.0001281,$0.0001411,"$1,855",$0
BCHBEAR,"Oct 10, 2021",$0.0001303,$0.0001504,$0.0001287,$0.0001503,"$2,361",$0
BCHBEAR,"Oct 09, 2021",$0.0001457,$0.0001466,$0.0001268,$0.0001305,"$2,180",$0
BCHBEAR,"Oct 08, 2021",$0.0001357,$0.0001462,$0.0001335,$0.0001459,$968,$0
BCHBEAR,"Oct 07, 2021",$0.0001296,$0.0001405,$0.0001239,$0.0001353,"$5,383",$0
BCHBEAR,"Oct 06, 2021",$0.0001487,$0.00017,$0.0001272,$0.0001294,"$13,599",$0
BCHBEAR,"Oct 05, 2021",$0.0001917,$0.0001923,$0.0001461,$0.000149,"$10,433",$0
BCHBEAR,"Oct 04, 2021",$0.0001729,$0.0002056,$0.0001729,$0.0001915,"$6,478",$0
BCHBEAR,"Oct 03, 2021",$0.0001892,$0.0001957,$0.0001675,$0.000173,"$6,629",$0
BCHBEAR,"Oct 02, 2021",$0.0002041,$0.0002103,$0.0001869,$0.0001891,$969,$0
BCHBEAR,"Oct 01, 2021",$0.0002667,$0.0002674,$0.0002039,$0.0002041,"$3,876",$0
BCHBEAR,"Sep 30, 2021",$0.0003011,$0.0003021,$0.0002643,$0.0002667,"$1,475",$0
BCHBEAR,"Sep 29, 2021",$0.0003171,$0.0003278,$0.000279,$0.0003011,"$5,926",$0
BCHBEAR,"Sep 28, 2021",$0.0002932,$0.0003194,$0.0002807,$0.0003178,"$3,372",$0
BCHBEAR,"Sep 27, 2021",$0.0002683,$0.0002932,$0.0002551,$0.0002932,"$2,181",$0
BCHBEAR,"Sep 26, 2021",$0.0002521,$0.0002999,$0.0002516,$0.0002683,"$2,193",$0
BCHBEAR,"Sep 25, 2021",$0.0002631,$0.0002686,$0.000245,$0.0002521,$740,$0
BCHBEAR,"Sep 24, 2021",$0.0002279,$0.0002827,$0.0002184,$0.0002631,"$8,421",$0
BCHBEAR,"Sep 23, 2021",$0.0002235,$0.00023,$0.0002211,$0.0002279,$421,$0
BCHBEAR,"Sep 22, 2021",$0.0002857,$0.0002953,$0.0002191,$0.0002232,"$3,602",$0
BCHBEAR,"Sep 21, 2021",$0.0002395,$0.0002905,$0.0002273,$0.0002864,"$6,892",$0
BCHBEAR,"Sep 20, 2021",$0.0001772,$0.0002424,$0.0001772,$0.0002399,"$9,719",$0
BCHBEAR,"Sep 19, 2021",$0.0001636,$0.0001789,$0.0001537,$0.0001772,"$4,314",$0
BCHBEAR,"Sep 18, 2021",$0.0001701,$0.0001702,$0.0001566,$0.000164,"$1,441",$0
BCHBEAR,"Sep 17, 2021",$0.0001584,$0.0001745,$0.0001521,$0.00017,"$1,874",$0
BCHBEAR,"Sep 16, 2021",$0.0001474,$0.0001615,$0.0001474,$0.0001586,$640,$0
BCHBEAR,"Sep 15, 2021",$0.0001618,$0.0001627,$0.0001471,$0.0001474,$958,$0
BCHBEAR,"Sep 14, 2021",$0.0001826,$0.000185,$0.0001097,$0.0001619,"$3,011",$0
BCHBEAR,"Sep 13, 2021",$0.0001593,$0.0001935,$0.0001544,$0.0001823,"$14,453",$0
BCHBEAR,"Sep 12, 2021",$0.0001651,$0.000176,$0.0001532,$0.0001593,"$5,046",$0
BCHBEAR,"Sep 11, 2021",$0.0001687,$0.0001737,$0.0001554,$0.0001651,"$3,531",$0
BCHBEAR,"Sep 10, 2021",$0.0001531,$0.0001732,$0.0001446,$0.0001687,"$10,298",$0
BCHBEAR,"Sep 09, 2021",$0.0001552,$0.0001559,$0.0001435,$0.0001531,"$26,833",$0
BCHBEAR,"Sep 08, 2021",$0.0001464,$0.00016,$0.00014,$0.0001543,"$45,222",$0
BCHBEAR,"Sep 07, 2021",$0.0001004,$0.0001826,$0.0001002,$0.0001464,"$69,196",$0
BCHBEAR,"Sep 06, 2021",$0.0001118,$0.000118,$0.00009394,$0.0001004,"$46,937",$0
BCHBEAR,"Sep 05, 2021",$0.0001417,$0.0001442,$0.0001118,$0.0001118,"$27,810",$0
BCHBEAR,"Sep 04, 2021",$0.0001402,$0.0001466,$0.0001287,$0.0001417,"$41,675",$0
BCHBEAR,"Sep 03, 2021",$0.0001784,$0.0001823,$0.0001364,$0.0001402,"$43,349",$0
BCHBEAR,"Sep 02, 2021",$0.0001895,$0.0001895,$0.0001694,$0.0001783,"$18,995",$0
BCHBEAR,"Sep 01, 2021",$0.0002034,$0.0002139,$0.0001885,$0.0001895,"$310,899",$0
BCHBEAR,"Aug 31, 2021",$0.000206,$0.0002145,$0.0001919,$0.0002035,"$105,613",$0
BCHBEAR,"Aug 30, 2021",$0.0001835,$0.0002071,$0.0001833,$0.0002062,"$130,010",$0
BCHBEAR,"Aug 29, 2021",$0.0002026,$0.0002026,$0.0001621,$0.0001835,"$390,550",$0
BCHBEAR,"Aug 28, 2021",$0.0002112,$0.0002311,$0.0001952,$0.0002026,"$224,911",$0
BCHBEAR,"Aug 27, 2021",$0.000242,$0.0002507,$0.0002096,$0.0002115,"$21,997",$0
