,symbol,date,open,high,low,close,volume,marketCap
0,BFT,"Oct 19, 2021",$0.01411,$0.01418,$0.0129,$0.01336,"$28,529","$9,752,470"
1,BFT,"Oct 18, 2021",$0.01527,$0.01543,$0.01352,$0.01411,"$37,752","$10,300,952"
2,BFT,"Oct 17, 2021",$0.01559,$0.01593,$0.01464,$0.01527,"$66,333","$11,142,867"
3,BFT,"Oct 16, 2021",$0.01466,$0.0157,$0.01458,$0.01559,"$34,607","$11,380,077"
4,BFT,"Oct 15, 2021",$0.01479,$0.01484,$0.01381,$0.01466,"$35,809","$10,700,793"
5,BFT,"Oct 14, 2021",$0.01489,$0.01501,$0.01422,$0.0148,"$35,631","$10,800,012"
6,BFT,"Oct 13, 2021",$0.01564,$0.01581,$0.01469,$0.01489,"$22,949","$10,870,025"
7,BFT,"Oct 12, 2021",$0.01717,$0.01741,$0.01513,$0.01564,"$33,793","$11,417,621"
8,BFT,"Oct 11, 2021",$0.01908,$0.01956,$0.01684,$0.01717,"$55,637","$12,531,169"
9,BFT,"Oct 10, 2021",$0.01745,$0.01985,$0.01731,$0.01909,"$21,970","$13,937,228"
10,BFT,"Oct 09, 2021",$0.01751,$0.01836,$0.01705,$0.01745,"$11,875","$12,739,612"
11,BFT,"Oct 08, 2021",$0.01735,$0.01814,$0.01712,$0.01751,"$18,476","$12,779,287"
12,BFT,"Oct 07, 2021",$0.01711,$0.01806,$0.01675,$0.01736,"$36,808","$12,674,093"
13,BFT,"Oct 06, 2021",$0.01612,$0.01729,$0.01513,$0.01711,"$15,734","$12,491,972"
14,BFT,"Oct 05, 2021",$0.01586,$0.01623,$0.01524,$0.01605,"$18,748","$11,714,772"
15,BFT,"Oct 04, 2021",$0.01677,$0.01729,$0.01532,$0.01586,"$35,359","$11,579,279"
16,BFT,"Oct 03, 2021",$0.01768,$0.01774,$0.01655,$0.01677,"$29,113","$12,238,428"
17,BFT,"Oct 02, 2021",$0.01842,$0.01859,$0.01747,$0.01769,"$42,735","$12,912,706"
