symbol,date,open,high,low,close,volume,marketCap
BITSZ,"Oct 29, 2021",$7.50,$8.68,$6.41,$8.65,"$21,043",$0
BITSZ,"Oct 28, 2021",$8.50,$8.51,$5.00,$7.50,$340,$0
BITSZ,"Oct 27, 2021",$9.80,$9.81,$5.00,$8.50,"$3,561",$0
BITSZ,"Oct 26, 2021",$8.98,$9.81,$7.49,$9.80,"$9,066",$0
BITSZ,"Oct 25, 2021",$8.99,$9.00,$7.37,$8.98,"$10,240",$0
BITSZ,"Oct 24, 2021",$8.51,$9.00,$8.50,$8.99,$517,$0
BITSZ,"Oct 23, 2021",$9.00,$9.01,$3.50,$8.51,$258,$0
BITSZ,"Oct 22, 2021",$9.00,$9.00,$7.00,$9.00,$442,$0
BITSZ,"Oct 21, 2021",$10.00,$10.00,$5.00,$9.00,"$1,130",$0
BITSZ,"Oct 20, 2021",$11.00,$11.01,$5.70,$10.00,"$49,779",$0
BITSZ,"Oct 19, 2021",$7.40,$11.01,$4.50,$11.00,"$1,377",$0
BITSZ,"Oct 18, 2021",$7.40,$7.40,$7.37,$7.40,"$9,794",$0
BITSZ,"Oct 17, 2021",$7.50,$7.50,$5.74,$7.40,"$161,525",$0
BITSZ,"Oct 16, 2021",$6.01,$8.03,$6.00,$7.50,"$185,212",$0
BITSZ,"Oct 15, 2021",$7.80,$7.80,$6.01,$6.01,"$282,490",$0
BITSZ,"Oct 14, 2021",$7.00,$7.90,$7.00,$7.80,"$24,480",$0
BITSZ,"Oct 13, 2021",$8.49,$8.55,$3.28,$7.00,"$25,701",$0
BITSZ,"Oct 12, 2021",$8.62,$8.62,$8.36,$8.49,$0,$0
BITSZ,"Oct 11, 2021",$8.39,$8.72,$8.33,$8.61,$0,$0
BITSZ,"Oct 10, 2021",$8.27,$8.64,$8.12,$8.40,"$523,646",$0
BITSZ,"Oct 09, 2021",$8.11,$8.36,$7.68,$8.27,"$633,511",$0
BITSZ,"Oct 08, 2021",$8.07,$8.31,$8.01,$8.11,"$664,858",$0
BITSZ,"Oct 07, 2021",$8.43,$8.43,$8.05,$8.07,"$690,932",$0
BITSZ,"Oct 06, 2021",$7.53,$8.45,$7.48,$8.43,"$597,406",$0
BITSZ,"Oct 05, 2021",$7.86,$7.90,$7.41,$7.53,"$759,093",$0
BITSZ,"Oct 04, 2021",$7.76,$7.90,$7.50,$7.86,"$514,088",$0
BITSZ,"Oct 03, 2021",$7.55,$7.89,$7.28,$7.76,"$538,211",$0
BITSZ,"Oct 02, 2021",$7.60,$7.62,$7.25,$7.56,"$580,206",$0
BITSZ,"Oct 01, 2021",$7.26,$7.90,$7.08,$7.61,"$506,869",$0
BITSZ,"Sep 30, 2021",$7.06,$7.34,$6.91,$7.26,"$436,574",$0
BITSZ,"Sep 29, 2021",$6.94,$7.50,$6.71,$7.05,"$452,605",$0
BITSZ,"Sep 28, 2021",$6.63,$7.46,$6.49,$6.93,"$454,483",$0
BITSZ,"Sep 27, 2021",$7.05,$7.20,$6.34,$6.63,"$567,650",$0
BITSZ,"Sep 26, 2021",$7.19,$7.22,$6.68,$7.05,"$639,050",$0
BITSZ,"Sep 25, 2021",$7.18,$7.26,$6.56,$7.19,"$468,324",$0
BITSZ,"Sep 24, 2021",$7.65,$7.66,$6.83,$7.18,"$630,000",$0
BITSZ,"Sep 23, 2021",$8.28,$8.29,$7.22,$7.66,"$539,118",$0
BITSZ,"Sep 22, 2021",$6.68,$9.19,$6.68,$8.28,"$742,376",$0
BITSZ,"Sep 21, 2021",$7.16,$7.64,$6.18,$6.67,"$584,097",$0
BITSZ,"Sep 20, 2021",$8.05,$8.07,$6.63,$7.16,"$578,389",$0
BITSZ,"Sep 19, 2021",$8.14,$8.26,$7.69,$8.06,"$549,764",$0
BITSZ,"Sep 18, 2021",$8.22,$8.43,$7.52,$8.14,"$614,819",$0
BITSZ,"Sep 17, 2021",$8.60,$8.61,$7.45,$8.22,"$911,961",$0
BITSZ,"Sep 16, 2021",$8.41,$8.60,$7.71,$8.60,"$1,160,888",$0
BITSZ,"Sep 15, 2021",$8.39,$8.78,$7.89,$8.39,"$945,424",$0
BITSZ,"Sep 14, 2021",$7.62,$9.03,$7.60,$8.39,"$698,006",$0
BITSZ,"Sep 13, 2021",$8.47,$8.49,$6.63,$7.62,"$478,317",$0
BITSZ,"Sep 12, 2021",$8.54,$8.57,$7.64,$8.48,"$805,230",$0
BITSZ,"Sep 11, 2021",$8.60,$8.67,$7.23,$8.54,"$604,157",$0
BITSZ,"Sep 10, 2021",$8.79,$9.22,$7.52,$8.60,"$655,503",$0
BITSZ,"Sep 09, 2021",$8.82,$8.92,$8.02,$8.79,"$752,884",$0
BITSZ,"Sep 08, 2021",$9.23,$9.35,$8.76,$8.87,"$829,893",$0
BITSZ,"Sep 07, 2021",$9.35,$9.81,$8.86,$9.23,"$801,767",$0
BITSZ,"Sep 06, 2021",$9.33,$9.36,$9.21,$9.34,"$807,409",$0
BITSZ,"Sep 05, 2021",$9.09,$9.38,$9.00,$9.33,"$859,474",$0
BITSZ,"Sep 04, 2021",$9.25,$9.81,$8.10,$9.09,"$1,388,893",$0
BITSZ,"Sep 03, 2021",$9.77,$9.81,$8.67,$9.24,"$1,048,193",$0
BITSZ,"Sep 02, 2021",$9.82,$9.98,$8.31,$9.77,"$1,529,714",$0
BITSZ,"Sep 01, 2021",$10.02,$10.03,$8.74,$9.82,"$1,112,019",$0
BITSZ,"Aug 31, 2021",$9.97,$10.23,$8.62,$10.02,"$801,557",$0
BITSZ,"Aug 30, 2021",$10.04,$10.04,$8.54,$9.97,"$856,576",$0
BITSZ,"Aug 29, 2021",$8.80,$10.92,$8.24,$10.03,"$658,645",$0
BITSZ,"Aug 28, 2021",$10.01,$10.01,$8.80,$8.80,"$974,826",$0
BITSZ,"Aug 27, 2021",$8.46,$11.86,$8.42,$10.01,"$703,251",$0
BITSZ,"Aug 26, 2021",$9.88,$9.92,$8.46,$8.46,"$705,313",$0
BITSZ,"Aug 25, 2021",$7.52,$11.62,$6.81,$9.88,"$853,583",$0
BITSZ,"Aug 24, 2021",$7.64,$7.95,$7.34,$7.53,"$719,817",$0
BITSZ,"Aug 23, 2021",$7.81,$8.25,$7.52,$7.64,"$822,039",$0
BITSZ,"Aug 22, 2021",$7.30,$7.83,$7.17,$7.81,"$797,314",$0
BITSZ,"Aug 21, 2021",$8.04,$8.04,$7.25,$7.30,"$929,457",$0
BITSZ,"Aug 20, 2021",$7.31,$9.97,$7.13,$8.04,"$908,886",$0
BITSZ,"Aug 19, 2021",$7.40,$7.45,$6.96,$7.31,"$693,581",$0
BITSZ,"Aug 18, 2021",$7.72,$7.91,$7.00,$7.41,"$646,481",$0
BITSZ,"Aug 17, 2021",$7.31,$7.72,$6.76,$7.72,"$1,121,866",$0
BITSZ,"Aug 16, 2021",$7.62,$7.83,$6.74,$7.32,"$728,406",$0
BITSZ,"Aug 15, 2021",$7.91,$8.12,$6.79,$7.62,"$1,003,507",$0
