,symbol,date,open,high,low,close,volume,marketCap
0,BLK,"Oct 19, 2021",$0.06451,$0.0667,$0.06162,$0.06425,"$2,893,833","$3,917,341"
1,BLK,"Oct 18, 2021",$0.06586,$0.06806,$0.06013,$0.06451,"$136,528","$3,932,599"
2,BLK,"Oct 17, 2021",$0.07063,$0.07112,$0.06211,$0.06588,"$383,505","$4,016,201"
3,BLK,"Oct 16, 2021",$0.07145,$0.07289,$0.06743,$0.07063,"$1,176,032","$4,305,423"
4,BLK,"Oct 15, 2021",$0.06707,$0.07382,$0.06326,$0.07149,"$481,424","$4,357,771"
5,BLK,"Oct 14, 2021",$0.06888,$0.07395,$0.0657,$0.06708,"$1,336,794","$4,089,016"
6,BLK,"Oct 13, 2021",$0.07285,$0.0745,$0.06374,$0.0689,"$1,231,918","$4,199,544"
7,BLK,"Oct 12, 2021",$0.06726,$0.07348,$0.06265,$0.07288,"$1,193,619","$4,442,300"
8,BLK,"Oct 11, 2021",$0.06573,$0.07178,$0.0637,$0.06723,"$1,375,470","$4,097,819"
9,BLK,"Oct 10, 2021",$0.07256,$0.07505,$0.06537,$0.06577,"$1,296,592","$4,008,683"
10,BLK,"Oct 09, 2021",$0.07286,$0.07637,$0.07003,$0.07255,"$1,170,180","$4,421,428"
11,BLK,"Oct 08, 2021",$0.07049,$0.07923,$0.06916,$0.07284,"$1,093,147","$4,439,084"
12,BLK,"Oct 07, 2021",$0.07585,$0.07616,$0.05759,$0.07048,"$1,235,878","$4,295,394"
13,BLK,"Oct 06, 2021",$0.07212,$0.07724,$0.07068,$0.07589,"$1,169,625","$4,624,922"
14,BLK,"Oct 05, 2021",$0.0722,$0.07552,$0.0706,$0.07209,"$214,384","$4,392,908"
15,BLK,"Oct 04, 2021",$0.07134,$0.07275,$0.06963,$0.07219,"$636,179","$4,399,151"
16,BLK,"Oct 03, 2021",$0.07252,$0.07342,$0.07004,$0.07133,"$1,108,329","$4,346,265"
17,BLK,"Oct 02, 2021",$0.07121,$0.07659,$0.07053,$0.07255,"$1,051,067","$4,420,727"
18,BLK,"Oct 01, 2021",$0.0635,$0.07889,$0.06281,$0.07125,"$310,480","$4,341,292"
19,BLK,"Sep 30, 2021",$0.05944,$0.06746,$0.05927,$0.06348,"$3,061","$3,867,706"
20,BLK,"Sep 29, 2021",$0.05909,$0.06375,$0.05862,$0.05939,"$4,287","$3,618,627"
21,BLK,"Sep 28, 2021",$0.05913,$0.06369,$0.05821,$0.05901,"$12,940","$3,594,922"
22,BLK,"Sep 27, 2021",$0.06308,$0.06647,$0.05907,$0.05913,"$14,617","$3,602,411"
23,BLK,"Sep 26, 2021",$0.0645,$0.06549,$0.06127,$0.06312,"$14,034","$3,845,573"
24,BLK,"Sep 25, 2021",$0.06426,$0.06473,$0.06097,$0.0645,"$17,503","$3,929,435"
25,BLK,"Sep 24, 2021",$0.06779,$0.06996,$0.05977,$0.06426,"$10,053","$3,914,751"
26,BLK,"Sep 23, 2021",$0.06972,$0.07126,$0.06646,$0.0678,"$17,782","$4,129,904"
27,BLK,"Sep 22, 2021",$0.06145,$0.0706,$0.06134,$0.06974,"$10,563","$4,247,847"
28,BLK,"Sep 21, 2021",$0.06726,$0.06934,$0.05958,$0.06124,"$928,791","$3,730,228"
29,BLK,"Sep 20, 2021",$0.07325,$0.07336,$0.06308,$0.06732,"$921,846","$4,100,397"
30,BLK,"Sep 19, 2021",$0.0729,$0.07476,$0.07038,$0.07327,"$1,118,829","$4,462,778"
31,BLK,"Sep 18, 2021",$0.07279,$0.07692,$0.07221,$0.07285,"$1,104,742","$4,437,210"
32,BLK,"Sep 17, 2021",$0.0755,$0.07599,$0.07028,$0.07273,"$1,099,550","$4,429,609"
33,BLK,"Sep 16, 2021",$0.07323,$0.07661,$0.07177,$0.07549,"$1,104,917","$4,597,419"
34,BLK,"Sep 15, 2021",$0.07299,$0.07691,$0.07169,$0.07322,"$1,063,167","$4,459,386"
35,BLK,"Sep 14, 2021",$0.06969,$0.07535,$0.06937,$0.07296,"$1,076,204","$4,443,381"
36,BLK,"Sep 13, 2021",$0.07232,$0.07259,$0.06633,$0.0697,"$1,022,446","$4,244,255"
37,BLK,"Sep 12, 2021",$0.06916,$0.07282,$0.06742,$0.07238,"$1,053,167","$4,407,312"
38,BLK,"Sep 11, 2021",$0.06867,$0.07096,$0.06752,$0.06913,"$1,033,638","$4,209,502"
39,BLK,"Sep 10, 2021",$0.07098,$0.07383,$0.06782,$0.06865,"$1,000,518","$4,180,318"
40,BLK,"Sep 09, 2021",$0.07189,$0.07483,$0.05339,$0.07142,"$1,058,845","$4,348,706"
41,BLK,"Sep 08, 2021",$0.07677,$0.07706,$0.06907,$0.07467,"$1,057,206","$4,546,295"
42,BLK,"Sep 07, 2021",$0.08474,$0.08799,$0.06882,$0.07679,"$1,054,393","$4,675,025"
43,BLK,"Sep 06, 2021",$0.08074,$0.08956,$0.0776,$0.08476,"$1,194,273","$5,160,638"
44,BLK,"Sep 05, 2021",$0.07941,$0.08078,$0.07553,$0.08073,"$1,169,387","$4,914,717"
45,BLK,"Sep 04, 2021",$0.07554,$0.07986,$0.07507,$0.07941,"$1,272,444","$4,834,460"
46,BLK,"Sep 03, 2021",$0.08139,$0.08286,$0.06893,$0.07556,"$1,173,622","$4,599,836"
47,BLK,"Sep 02, 2021",$0.07809,$0.08841,$0.07656,$0.08141,"$1,139,069","$4,955,893"
48,BLK,"Sep 01, 2021",$0.07169,$0.07818,$0.06802,$0.07818,"$801,719","$4,758,733"
49,BLK,"Aug 31, 2021",$0.06917,$0.07373,$0.06434,$0.07166,"$1,087,942","$4,361,971"
50,BLK,"Aug 30, 2021",$0.07324,$0.07973,$0.06902,$0.06908,"$1,090,246","$4,204,593"
51,BLK,"Aug 29, 2021",$0.0802,$0.08131,$0.07293,$0.07324,"$1,113,380","$4,457,717"
52,BLK,"Aug 28, 2021",$0.08193,$0.08221,$0.07352,$0.08021,"$1,104,311","$4,882,055"
53,BLK,"Aug 27, 2021",$0.07699,$0.08202,$0.07204,$0.08186,"$1,145,886","$4,982,034"
54,BLK,"Aug 26, 2021",$0.08862,$0.08932,$0.07589,$0.07698,"$1,027,873","$4,685,252"
55,BLK,"Aug 25, 2021",$0.08444,$0.1036,$0.06566,$0.08862,"$1,036,175","$5,393,383"
56,BLK,"Aug 24, 2021",$0.0659,$0.1213,$0.06578,$0.08453,"$1,161,547","$5,144,142"
57,BLK,"Aug 23, 2021",$0.06658,$0.06951,$0.06375,$0.06588,"$1,202,916","$4,009,223"
58,BLK,"Aug 22, 2021",$0.06749,$0.0684,$0.06515,$0.0666,"$1,190,868","$4,052,758"
59,BLK,"Aug 21, 2021",$0.07006,$0.07059,$0.06418,$0.06752,"$1,118,780","$4,108,778"
60,BLK,"Aug 20, 2021",$0.06447,$0.07195,$0.06332,$0.07007,"$1,157,207","$4,263,466"
