symbol,date,open,high,low,close,volume,marketCap
BLTG,"Oct 22, 2021",$0.01512,$0.01529,$0.01074,$0.01292,$948,"$295,959"
BLTG,"Oct 21, 2021",$0.01517,$0.01685,$0.01035,$0.01512,"$3,448","$346,181"
BLTG,"Oct 20, 2021",$0.01272,$0.01638,$0.01067,$0.01517,$684,"$347,448"
BLTG,"Oct 19, 2021",$0.01442,$0.01506,$0.01052,$0.01272,$345,"$291,201"
BLTG,"Oct 18, 2021",$0.01238,$0.01558,$0.01109,$0.01442,"$4,017","$330,142"
BLTG,"Oct 17, 2021",$0.01231,$0.01321,$0.008912,$0.01238,$652,"$283,537"
BLTG,"Oct 16, 2021",$0.01478,$0.01479,$0.01105,$0.0123,$689,"$281,761"
BLTG,"Oct 15, 2021",$0.01421,$0.01492,$0.01069,$0.01478,"$2,082","$338,552"
BLTG,"Oct 14, 2021",$0.01194,$0.01539,$0.01143,$0.01422,"$1,573","$325,533"
BLTG,"Oct 13, 2021",$0.01127,$0.01232,$0.01074,$0.01194,$6,"$273,524"
BLTG,"Oct 12, 2021",$0.01142,$0.0126,$0.009475,$0.01127,$634,"$258,184"
BLTG,"Oct 11, 2021",$0.009834,$0.01201,$0.009789,$0.01142,$857,"$261,482"
BLTG,"Oct 10, 2021",$0.009595,$0.01088,$0.009571,$0.009841,$24,"$225,355"
BLTG,"Oct 09, 2021",$0.01203,$0.01239,$0.008684,$0.009594,$105,"$219,692"
BLTG,"Oct 08, 2021",$0.01399,$0.01485,$0.01038,$0.01203,$130,"$275,520"
BLTG,"Oct 07, 2021",$0.01264,$0.01446,$0.008019,$0.01399,$459,"$320,401"
BLTG,"Oct 06, 2021",$0.01564,$0.01564,$0.01031,$0.01265,$158,"$289,614"
BLTG,"Oct 05, 2021",$0.008451,$0.01574,$0.008444,$0.01563,$626,"$357,972"
BLTG,"Oct 04, 2021",$0.008786,$0.008798,$0.007223,$0.008451,$28,"$193,520"
BLTG,"Oct 03, 2021",$0.006744,$0.00879,$0.00674,$0.008785,$9,"$201,171"
BLTG,"Oct 02, 2021",$0.01022,$0.01062,$0.006704,$0.006747,$119,"$154,501"
BLTG,"Oct 01, 2021",$0.005124,$0.01439,$0.004287,$0.01023,"$2,546","$234,184"
BLTG,"Sep 30, 2021",$0.006271,$0.006464,$0.004291,$0.005122,$29,"$117,298"
BLTG,"Sep 29, 2021",$0.006038,$0.006664,$0.005188,$0.006266,$11,"$143,495"
BLTG,"Sep 28, 2021",$0.005313,$0.006788,$0.005265,$0.00603,$5,"$138,072"
BLTG,"Sep 27, 2021",$0.007778,$0.007976,$0.004738,$0.005313,$21,"$121,664"
BLTG,"Sep 26, 2021",$0.007689,$0.007876,$0.006944,$0.007782,$3,"$178,211"
BLTG,"Sep 25, 2021",$0.007543,$0.007705,$0.007007,$0.007689,$3,"$176,073"
BLTG,"Sep 24, 2021",$0.007779,$0.007808,$0.006836,$0.007544,$4,"$172,743"
BLTG,"Sep 23, 2021",$0.007387,$0.00794,$0.00697,$0.007779,$5,"$178,145"
BLTG,"Sep 22, 2021",$0.004928,$0.00746,$0.004728,$0.007389,$4,"$169,200"
