symbol,date,open,high,low,close,volume,marketCap
BPRO,"Oct 22, 2021",$8.90,$9.06,$7.72,$7.81,"$62,898",$0
BPRO,"Oct 21, 2021",$8.34,$10.08,$6.74,$8.91,"$374,672",$0
BPRO,"Oct 20, 2021",$7.34,$8.35,$6.64,$8.35,"$151,495",$0
BPRO,"Oct 19, 2021",$8.44,$8.66,$6.69,$7.37,"$268,354",$0
BPRO,"Oct 18, 2021",$8.63,$8.76,$7.91,$8.43,"$82,765",$0
BPRO,"Oct 17, 2021",$7.30,$10.37,$7.23,$8.62,"$245,692",$0
BPRO,"Oct 16, 2021",$8.09,$8.09,$7.23,$7.30,"$61,515",$0
BPRO,"Oct 15, 2021",$9.25,$9.25,$7.54,$8.08,"$172,725",$0
BPRO,"Oct 14, 2021",$9.05,$9.66,$8.98,$9.26,"$84,255",$0
BPRO,"Oct 13, 2021",$11.18,$11.21,$9.04,$9.05,"$284,760",$0
BPRO,"Oct 12, 2021",$9.53,$11.20,$8.49,$11.18,"$583,578",$0
BPRO,"Oct 11, 2021",$6.67,$9.54,$6.63,$9.54,"$310,135",$0
BPRO,"Oct 10, 2021",$6.98,$7.02,$6.67,$6.68,"$8,810",$0
BPRO,"Oct 09, 2021",$6.98,$7.45,$6.93,$6.99,"$60,457",$0
BPRO,"Oct 08, 2021",$6.74,$7.09,$6.48,$6.98,"$87,101",$0
BPRO,"Oct 07, 2021",$6.64,$6.82,$6.32,$6.74,"$68,772",$0
BPRO,"Oct 06, 2021",$6.19,$6.98,$6.10,$6.63,"$157,445",$0
