symbol,date,open,high,low,close,volume,marketCap
BRTK,"Oct 22, 2021",$0.03014,$0.03018,$0.02999,$0.03,"$4,913",$0
BRTK,"Oct 21, 2021",$0.03132,$0.03134,$0.03008,$0.03014,"$14,105",$0
BRTK,"Oct 20, 2021",$0.03102,$0.03141,$0.03099,$0.03132,"$36,153",$0
BRTK,"Oct 19, 2021",$0.03053,$0.03104,$0.0305,$0.03102,"$11,181",$0
BRTK,"Oct 18, 2021",$0.03044,$0.03055,$0.03025,$0.03053,"$29,040",$0
BRTK,"Oct 17, 2021",$0.0305,$0.03053,$0.0299,$0.03044,"$6,092",$0
BRTK,"Oct 16, 2021",$0.03069,$0.03086,$0.03049,$0.0305,"$35,699",$0
BRTK,"Oct 15, 2021",$0.03055,$0.03073,$0.03048,$0.03069,"$39,622",$0
BRTK,"Oct 14, 2021",$0.03156,$0.03158,$0.03048,$0.03055,"$39,616",$0
BRTK,"Oct 13, 2021",$0.03158,$0.03222,$0.02965,$0.03156,"$1,348",$0
BRTK,"Oct 12, 2021",$0.03173,$0.03501,$0.03093,$0.03158,"$18,574",$0
BRTK,"Oct 11, 2021",$0.03179,$0.03187,$0.03071,$0.03173,"$12,176",$0
BRTK,"Oct 10, 2021",$0.03059,$0.03189,$0.03047,$0.03179,"$19,537",$0
BRTK,"Oct 09, 2021",$0.0306,$0.03072,$0.0304,$0.03059,"$13,692",$0
BRTK,"Oct 08, 2021",$0.03069,$0.03073,$0.03049,$0.0306,"$13,501",$0
BRTK,"Oct 07, 2021",$0.03093,$0.03103,$0.0303,$0.03069,"$18,408",$0
BRTK,"Oct 06, 2021",$0.03039,$0.03106,$0.0302,$0.03093,"$24,010",$0
BRTK,"Oct 05, 2021",$0.03035,$0.03041,$0.03026,$0.03039,"$18,889",$0
BRTK,"Oct 04, 2021",$0.03035,$0.03063,$0.03021,$0.03035,"$92,833",$0
BRTK,"Oct 03, 2021",$0.03012,$0.03105,$0.02953,$0.03035,"$63,466",$0
BRTK,"Oct 02, 2021",$0.03005,$0.03146,$0.02955,$0.03012,"$102,374",$0
BRTK,"Oct 01, 2021",$0.02983,$0.03141,$0.02849,$0.03004,"$165,621",$0
BRTK,"Sep 30, 2021",$0.0306,$0.03516,$0.02661,$0.02983,"$176,316",$0
