symbol,date,open,high,low,close,volume,marketCap
BSKT,"Oct 29, 2021",$0.1366,$0.1414,$0.1323,$0.1336,"$13,174",$0
BSKT,"Oct 28, 2021",$0.1353,$0.1411,$0.1299,$0.1364,"$12,905",$0
BSKT,"Oct 27, 2021",$0.1434,$0.149,$0.1333,$0.1351,"$2,289",$0
BSKT,"Oct 26, 2021",$0.1465,$0.1542,$0.141,$0.1434,"$1,048",$0
BSKT,"Oct 25, 2021",$0.1391,$0.1501,$0.1368,$0.1462,"$33,101",$0
BSKT,"Oct 24, 2021",$0.1403,$0.1438,$0.1299,$0.1393,"$15,225",$0
BSKT,"Oct 23, 2021",$0.1113,$0.1424,$0.1108,$0.1402,"$41,631",$0
BSKT,"Oct 22, 2021",$0.1071,$0.1152,$0.1071,$0.1112,"$8,316",$0
BSKT,"Oct 21, 2021",$0.1114,$0.114,$0.1068,$0.1072,"$7,960",$0
BSKT,"Oct 20, 2021",$0.1181,$0.1194,$0.1024,$0.1116,"$23,167",$0
BSKT,"Oct 19, 2021",$0.1184,$0.1193,$0.1136,$0.1186,"$9,471",$0
BSKT,"Oct 18, 2021",$0.122,$0.1238,$0.1171,$0.1184,"$1,282",$0
BSKT,"Oct 17, 2021",$0.1242,$0.1262,$0.1174,$0.1219,"$2,208",$0
BSKT,"Oct 16, 2021",$0.1397,$0.1412,$0.1231,$0.1242,"$19,474",$0
BSKT,"Oct 15, 2021",$0.1322,$0.1406,$0.1303,$0.1395,"$6,495",$0
BSKT,"Oct 14, 2021",$0.1055,$0.1324,$0.1053,$0.1324,"$30,684",$0
BSKT,"Oct 13, 2021",$0.09982,$0.1056,$0.09769,$0.1054,"$5,110",$0
BSKT,"Oct 12, 2021",$0.09699,$0.09998,$0.08375,$0.09978,"$48,932",$0
BSKT,"Oct 11, 2021",$0.09376,$0.09897,$0.09311,$0.09705,$523,$0
BSKT,"Oct 10, 2021",$0.1036,$0.1037,$0.09378,$0.09385,"$7,827",$0
BSKT,"Oct 09, 2021",$0.1039,$0.106,$0.1032,$0.1037,"$3,111",$0
BSKT,"Oct 08, 2021",$0.103,$0.1067,$0.1017,$0.104,"$2,408",$0
BSKT,"Oct 07, 2021",$0.1017,$0.1061,$0.09887,$0.1032,"$1,382",$0
BSKT,"Oct 06, 2021",$0.1002,$0.103,$0.09514,$0.1016,"$2,276",$0
BSKT,"Oct 05, 2021",$0.1046,$0.1069,$0.09574,$0.1003,"$16,248",$0
BSKT,"Oct 04, 2021",$0.1065,$0.1067,$0.102,$0.1045,"$1,308",$0
BSKT,"Oct 03, 2021",$0.1082,$0.1091,$0.1055,$0.1065,"$3,225",$0
BSKT,"Oct 02, 2021",$0.1072,$0.1102,$0.1043,$0.1083,"$3,634",$0
BSKT,"Oct 01, 2021",$0.1044,$0.1078,$0.09699,$0.1072,"$12,012",$0
BSKT,"Sep 30, 2021",$0.0986,$0.1056,$0.09851,$0.1044,$300,$0
BSKT,"Sep 29, 2021",$0.1029,$0.1069,$0.09793,$0.09871,"$11,456",$0
BSKT,"Sep 28, 2021",$0.1069,$0.108,$0.1025,$0.103,"$4,050",$0
BSKT,"Sep 27, 2021",$0.1107,$0.1158,$0.1069,$0.1069,"$4,006",$0
BSKT,"Sep 26, 2021",$0.1096,$0.1126,$0.1,$0.1108,"$4,181",$0
BSKT,"Sep 25, 2021",$0.1124,$0.1132,$0.1081,$0.1096,"$4,145",$0
BSKT,"Sep 24, 2021",$0.1163,$0.1166,$0.1037,$0.1123,"$8,832",$0
BSKT,"Sep 23, 2021",$0.1116,$0.1163,$0.1109,$0.1163,"$2,769",$0
BSKT,"Sep 22, 2021",$0.09735,$0.1116,$0.09733,$0.1115,"$8,742",$0
BSKT,"Sep 21, 2021",$0.1035,$0.1076,$0.09545,$0.09735,"$4,656",$0
BSKT,"Sep 20, 2021",$0.1141,$0.1142,$0.103,$0.1036,"$3,873",$0
BSKT,"Sep 19, 2021",$0.1193,$0.1201,$0.1134,$0.114,"$7,956",$0
BSKT,"Sep 18, 2021",$0.1164,$0.1217,$0.1156,$0.1192,"$3,654",$0
BSKT,"Sep 17, 2021",$0.1213,$0.122,$0.1151,$0.1163,"$5,717",$0
BSKT,"Sep 16, 2021",$0.1232,$0.1254,$0.1191,$0.1213,"$1,588",$0
BSKT,"Sep 15, 2021",$0.1151,$0.1232,$0.1149,$0.1232,"$2,160",$0
BSKT,"Sep 14, 2021",$0.1125,$0.1156,$0.1117,$0.115,"$4,652",$0
BSKT,"Sep 13, 2021",$0.119,$0.1199,$0.1077,$0.1125,"$4,572",$0
BSKT,"Sep 12, 2021",$0.1128,$0.1203,$0.112,$0.119,"$5,596",$0
BSKT,"Sep 11, 2021",$0.1088,$0.1154,$0.1088,$0.1129,"$3,861",$0
BSKT,"Sep 10, 2021",$0.1169,$0.1194,$0.1076,$0.1088,"$3,308",$0
BSKT,"Sep 09, 2021",$0.1169,$0.1196,$0.1148,$0.1169,"$5,541",$0
BSKT,"Sep 08, 2021",$0.1151,$0.1202,$0.1084,$0.1176,"$6,213",$0
BSKT,"Sep 07, 2021",$0.1368,$0.1373,$0.1113,$0.115,"$5,549",$0
BSKT,"Sep 06, 2021",$0.1439,$0.1444,$0.1362,$0.1368,"$9,133",$0
BSKT,"Sep 05, 2021",$0.145,$0.1469,$0.1424,$0.1438,"$5,389",$0
BSKT,"Sep 04, 2021",$0.1476,$0.1493,$0.1434,$0.145,"$1,823",$0
BSKT,"Sep 03, 2021",$0.1442,$0.1513,$0.1421,$0.1476,"$2,772",$0
BSKT,"Sep 02, 2021",$0.1457,$0.1463,$0.1418,$0.1443,"$9,365",$0
BSKT,"Sep 01, 2021",$0.1325,$0.1457,$0.1311,$0.1457,"$9,024",$0
BSKT,"Aug 31, 2021",$0.1321,$0.1384,$0.1283,$0.1326,"$13,024",$0
BSKT,"Aug 30, 2021",$0.1291,$0.1362,$0.1255,$0.1321,"$8,069",$0
BSKT,"Aug 29, 2021",$0.1278,$0.1296,$0.1251,$0.129,"$1,984",$0
BSKT,"Aug 28, 2021",$0.1251,$0.1282,$0.1238,$0.1277,"$5,360",$0
BSKT,"Aug 27, 2021",$0.1198,$0.1255,$0.1182,$0.1251,"$6,149",$0
BSKT,"Aug 26, 2021",$0.1225,$0.1233,$0.1164,$0.1196,"$6,113",$0
BSKT,"Aug 25, 2021",$0.1073,$0.1244,$0.1069,$0.1224,"$36,028",$0
BSKT,"Aug 24, 2021",$0.1354,$0.1369,$0.1026,$0.1074,"$73,940",$0
BSKT,"Aug 23, 2021",$0.1324,$0.1374,$0.1322,$0.1354,"$2,944",$0
BSKT,"Aug 22, 2021",$0.1515,$0.153,$0.1247,$0.1323,"$41,432",$0
BSKT,"Aug 21, 2021",$0.1544,$0.1558,$0.1505,$0.1515,"$5,660",$0
BSKT,"Aug 20, 2021",$0.1515,$0.1557,$0.1506,$0.1543,"$10,376",$0
BSKT,"Aug 19, 2021",$0.1482,$0.1516,$0.1435,$0.1514,"$3,449",$0
BSKT,"Aug 18, 2021",$0.1476,$0.1527,$0.1443,$0.1482,"$4,925",$0
BSKT,"Aug 17, 2021",$0.1558,$0.1599,$0.1467,$0.1477,"$11,398",$0
BSKT,"Aug 16, 2021",$0.1629,$0.1643,$0.1555,$0.1558,"$3,224",$0
BSKT,"Aug 15, 2021",$0.1647,$0.1652,$0.1541,$0.1628,"$6,510",$0
BSKT,"Aug 14, 2021",$0.179,$0.1799,$0.1638,$0.1646,"$17,331",$0
BSKT,"Aug 13, 2021",$0.1632,$0.1791,$0.1629,$0.179,"$3,036",$0
BSKT,"Aug 12, 2021",$0.1715,$0.1753,$0.1607,$0.1634,"$3,609",$0
BSKT,"Aug 11, 2021",$0.1767,$0.1834,$0.1712,$0.1713,"$8,842",$0
BSKT,"Aug 10, 2021",$0.1747,$0.1792,$0.1709,$0.1766,"$5,926",$0
BSKT,"Aug 09, 2021",$0.1564,$0.1768,$0.1512,$0.1747,"$30,564",$0
BSKT,"Aug 08, 2021",$0.1992,$0.2003,$0.1564,$0.1565,"$37,191",$0
BSKT,"Aug 07, 2021",$0.1861,$0.1994,$0.1854,$0.1994,"$4,180",$0
BSKT,"Aug 06, 2021",$0.1839,$0.1889,$0.1735,$0.1861,"$9,079",$0
BSKT,"Aug 05, 2021",$0.177,$0.1842,$0.1669,$0.1839,"$1,582",$0
BSKT,"Aug 04, 2021",$0.1614,$0.179,$0.1584,$0.1771,"$3,450",$0
BSKT,"Aug 03, 2021",$0.1915,$0.1925,$0.1584,$0.1614,"$29,514",$0
BSKT,"Aug 02, 2021",$0.2042,$0.2065,$0.1852,$0.1914,"$37,584",$0
BSKT,"Aug 01, 2021",$0.1863,$0.2169,$0.1855,$0.2041,"$48,787",$0
BSKT,"Jul 31, 2021",$0.143,$0.1867,$0.1423,$0.1864,"$65,634",$0
BSKT,"Jul 30, 2021",$0.1387,$0.1497,$0.1357,$0.1429,"$2,229",$0
BSKT,"Jul 29, 2021",$0.1314,$0.1401,$0.1298,$0.1388,"$6,302",$0
BSKT,"Jul 28, 2021",$0.1297,$0.1324,$0.1282,$0.1309,"$1,400",$0
BSKT,"Jul 27, 2021",$0.1268,$0.131,$0.1223,$0.1295,$393,$0
BSKT,"Jul 26, 2021",$0.124,$0.1373,$0.1234,$0.1268,"$2,731",$0
BSKT,"Jul 25, 2021",$0.1185,$0.1245,$0.115,$0.124,"$7,126",$0
BSKT,"Jul 24, 2021",$0.1162,$0.1211,$0.1157,$0.1184,"$4,323",$0
BSKT,"Jul 23, 2021",$0.1225,$0.1258,$0.1105,$0.1162,"$14,331",$0
BSKT,"Jul 22, 2021",$0.1202,$0.1236,$0.1187,$0.1225,$790,$0
BSKT,"Jul 21, 2021",$0.1056,$0.1211,$0.1047,$0.1203,"$4,706",$0
