symbol,date,open,high,low,close,volume,marketCap
BUST,"Oct 29, 2021",$0.001346,$0.001529,$0.00134,$0.001523,"$63,341",$0
BUST,"Oct 28, 2021",$0.00133,$0.001528,$0.001288,$0.001346,"$74,790",$0
BUST,"Oct 27, 2021",$0.001298,$0.001491,$0.001281,$0.00133,"$57,603",$0
BUST,"Oct 26, 2021",$0.001427,$0.001604,$0.001291,$0.001298,"$59,500",$0
BUST,"Oct 25, 2021",$0.001468,$0.001891,$0.001281,$0.001427,"$96,037",$0
BUST,"Oct 24, 2021",$0.001711,$0.001723,$0.001337,$0.001468,"$106,794",$0
BUST,"Oct 23, 2021",$0.001588,$0.00248,$0.001232,$0.001711,"$123,183",$0
BUST,"Oct 22, 2021",$0.001639,$0.001655,$0.001374,$0.001588,"$75,921",$0
BUST,"Oct 21, 2021",$0.001665,$0.001677,$0.001561,$0.001639,"$58,519",$0
BUST,"Oct 20, 2021",$0.001659,$0.001687,$0.0016,$0.001665,"$54,344",$0
BUST,"Oct 19, 2021",$0.001569,$0.001706,$0.001564,$0.001659,"$54,198",$0
BUST,"Oct 18, 2021",$0.001458,$0.001577,$0.001297,$0.001569,"$101,360",$0
BUST,"Oct 17, 2021",$0.001596,$0.00221,$0.001303,$0.001458,"$107,586",$0
BUST,"Oct 16, 2021",$0.001568,$0.001706,$0.001532,$0.001596,"$106,503",$0
BUST,"Oct 15, 2021",$0.001736,$0.001743,$0.001506,$0.001569,$0,$0
BUST,"Oct 14, 2021",$0.001917,$0.001917,$0.001701,$0.001736,$0,$0
BUST,"Oct 13, 2021",$0.001798,$0.00192,$0.001787,$0.001916,$0,$0
BUST,"Oct 12, 2021",$0.00168,$0.001799,$0.001607,$0.001795,$0,$0
BUST,"Oct 11, 2021",$0.001652,$0.001724,$0.001648,$0.001682,$0,$0
BUST,"Oct 10, 2021",$0.001719,$0.001725,$0.001649,$0.001655,$0,$0
BUST,"Oct 09, 2021",$0.001719,$0.001756,$0.001665,$0.001719,$0,$0
BUST,"Oct 08, 2021",$0.001799,$0.00181,$0.001713,$0.001718,$0,$0
BUST,"Oct 07, 2021",$0.001864,$0.001864,$0.001741,$0.001799,$0,$0
BUST,"Oct 06, 2021",$0.001853,$0.001881,$0.001758,$0.001863,$0,$0
BUST,"Oct 05, 2021",$0.001829,$0.001876,$0.001807,$0.001853,"$10,967",$0
BUST,"Oct 04, 2021",$0.001977,$0.002014,$0.001703,$0.001828,"$19,539",$0
BUST,"Oct 03, 2021",$0.002162,$0.002187,$0.00181,$0.001977,"$15,246",$0
BUST,"Oct 02, 2021",$0.002152,$0.002206,$0.002062,$0.002161,"$13,143",$0
BUST,"Oct 01, 2021",$0.002059,$0.002365,$0.002011,$0.002151,"$14,708",$0
BUST,"Sep 30, 2021",$0.002197,$0.002261,$0.002024,$0.002059,"$9,548",$0
BUST,"Sep 29, 2021",$0.002205,$0.002372,$0.002109,$0.002198,"$6,251",$0
BUST,"Sep 28, 2021",$0.002458,$0.002505,$0.002201,$0.002207,"$8,741",$0
BUST,"Sep 27, 2021",$0.002696,$0.00281,$0.002455,$0.002458,"$9,972",$0
BUST,"Sep 26, 2021",$0.002736,$0.002832,$0.00254,$0.002694,"$9,203",$0
BUST,"Sep 25, 2021",$0.002899,$0.00295,$0.002657,$0.002738,"$38,536",$0
BUST,"Sep 24, 2021",$0.003368,$0.003813,$0.002881,$0.002898,"$49,687",$0
BUST,"Sep 23, 2021",$0.003579,$0.003787,$0.003339,$0.003367,"$31,550",$0
BUST,"Sep 22, 2021",$0.003583,$0.003827,$0.003446,$0.003578,"$278,999",$0
BUST,"Sep 21, 2021",$0.003767,$0.004359,$0.003546,$0.003584,"$254,101",$0
