symbol,date,open,high,low,close,volume,marketCap
BZE,"Oct 29, 2021",$0.00008575,$0.00008911,$0.00008543,$0.00008828,$1,"$264,423"
BZE,"Oct 28, 2021",$0.00007861,$0.00008586,$0.00007811,$0.00008574,$2,"$256,804"
BZE,"Oct 27, 2021",$0.00008262,$0.00008598,$0.00007869,$0.00007869,$28,"$235,694"
BZE,"Oct 26, 2021",$0.00004218,$0.0001282,$0.00004195,$0.00008263,$153,"$247,492"
BZE,"Oct 25, 2021",$0.00004088,$0.0001271,$0.00004072,$0.00004216,$342,"$126,283"
BZE,"Oct 24, 2021",$0.00004172,$0.00004186,$0.00003967,$0.00004088,$0,"$122,451"
BZE,"Oct 23, 2021",$0.0000397,$0.00004171,$0.00003945,$0.0000417,$0,"$124,890"
BZE,"Oct 22, 2021",$0.00004054,$0.00004163,$0.00003908,$0.0000397,$3,"$118,915"
BZE,"Oct 21, 2021",$0.00008338,$0.00008487,$0.00004035,$0.00004059,$28,"$121,566"
BZE,"Oct 20, 2021",$0.00003878,$0.0001212,$0.00003861,$0.00008317,$311,"$249,104"
BZE,"Oct 19, 2021",$0.00003749,$0.00003884,$0.00003737,$0.00003877,$1,"$116,125"
BZE,"Oct 18, 2021",$0.00003847,$0.00003888,$0.00003687,$0.00003749,$303,"$112,281"
BZE,"Oct 17, 2021",$0.0000383,$0.00003915,$0.00003661,$0.00003848,$0,"$115,264"
BZE,"Oct 16, 2021",$0.00003863,$0.00003962,$0.00003806,$0.00003833,$0,"$114,791"
BZE,"Oct 15, 2021",$0.00007572,$0.00007674,$0.00003749,$0.00003864,"$2,613","$115,739"
BZE,"Oct 14, 2021",$0.00007212,$0.00007639,$0.00007181,$0.00007575,$0,"$226,895"
BZE,"Oct 13, 2021",$0.00006985,$0.0001056,$0.00006835,$0.00007209,$7,"$215,913"
BZE,"Oct 12, 2021",$0.00007091,$0.0001046,$0.00006815,$0.00006987,$142,"$209,284"
BZE,"Oct 11, 2021",$0.00006852,$0.00007245,$0.00006772,$0.00007086,$16,"$212,223"
BZE,"Oct 10, 2021",$0.00007151,$0.00007206,$0.0000683,$0.00006859,$536,"$205,443"
BZE,"Oct 09, 2021",$0.00007128,$0.00008129,$0.00007089,$0.00007152,$1,"$214,215"
BZE,"Oct 08, 2021",$0.00003588,$0.0001093,$0.00003554,$0.00007124,$879,"$213,382"
BZE,"Oct 07, 2021",$0.00003581,$0.0000365,$0.0000348,$0.00003588,$0,"$107,462"
BZE,"Oct 06, 2021",$0.00003522,$0.00003629,$0.00003357,$0.00003585,$1,"$107,362"
BZE,"Oct 05, 2021",$0.0000338,$0.00003545,$0.00003366,$0.00003522,$0,"$105,491"
BZE,"Oct 04, 2021",$0.00003418,$0.00003435,$0.00003283,$0.00003381,$2,"$101,257"
BZE,"Oct 03, 2021",$0.00003392,$0.00003485,$0.00003348,$0.00003417,$0,"$102,336"
BZE,"Oct 02, 2021",$0.00003308,$0.00003465,$0.0000326,$0.00003393,$0,"$101,632"
BZE,"Oct 01, 2021",$0.0004379,$0.0004402,$0.00003006,$0.0000331,$356,"$99,126"
BZE,"Sep 30, 2021",$0.00002856,$0.0004389,$0.00002844,$0.0004378,$0,"$1,311,233"
BZE,"Sep 29, 2021",$0.00002807,$0.0004187,$0.0000279,$0.00002853,$3,"$85,455"
BZE,"Sep 28, 2021",$0.00005868,$0.00005868,$0.00002794,$0.00002803,$0,"$83,940"
BZE,"Sep 27, 2021",$0.00003062,$0.00005946,$0.00002954,$0.00005865,$190,"$175,677"
BZE,"Sep 26, 2021",$0.00002926,$0.00005773,$0.00002745,$0.00003064,$12,"$91,784"
BZE,"Sep 25, 2021",$0.00002932,$0.00002969,$0.00002819,$0.00002928,$0,"$87,688"
BZE,"Sep 24, 2021",$0.00003156,$0.00005819,$0.00002747,$0.00002932,$3,"$87,813"
BZE,"Sep 23, 2021",$0.00003131,$0.0001252,$0.00003091,$0.00003157,$0,"$94,556"
BZE,"Sep 22, 2021",$0.00005533,$0.00005875,$0.00002886,$0.00003129,$16,"$93,721"
BZE,"Sep 21, 2021",$0.00002959,$0.0004072,$0.00002826,$0.00005512,$0,"$165,096"
BZE,"Sep 20, 2021",$0.00003329,$0.000236,$0.00002941,$0.00002963,$0,"$88,753"
BZE,"Sep 19, 2021",$0.00003432,$0.00003448,$0.00003286,$0.0000333,$0,"$99,748"
BZE,"Sep 18, 2021",$0.00003399,$0.00003541,$0.00003372,$0.00003429,$76,"$102,715"
BZE,"Sep 17, 2021",$0.0000357,$0.0002568,$0.00003356,$0.00003395,$12,"$101,695"
BZE,"Sep 16, 2021",$0.0000618,$0.00006248,$0.0000349,$0.0000357,$0,"$106,921"
BZE,"Sep 15, 2021",$0.00003429,$0.00006197,$0.00003366,$0.00006175,$4,"$184,961"
BZE,"Sep 14, 2021",$0.00003286,$0.0000673,$0.00003274,$0.00003425,$204,"$102,593"
BZE,"Sep 13, 2021",$0.0004606,$0.000466,$0.00003274,$0.00003287,$1,"$98,437"
BZE,"Sep 12, 2021",$0.00003275,$0.0004633,$0.0000324,$0.000461,$0,"$1,380,757"
BZE,"Sep 11, 2021",$0.00003212,$0.00006853,$0.00003209,$0.00003273,$0,"$98,041"
BZE,"Sep 10, 2021",$0.00003427,$0.00006562,$0.00003197,$0.00003209,$394,"$96,114"
BZE,"Sep 09, 2021",$0.00003453,$0.00003563,$0.00003401,$0.0000343,$14,"$102,723"
BZE,"Sep 08, 2021",$0.00006853,$0.00007083,$0.00003225,$0.00003495,$2,"$104,666"
BZE,"Sep 07, 2021",$0.00003928,$0.00007811,$0.00003062,$0.00006855,$73,"$205,327"
BZE,"Sep 06, 2021",$0.00003952,$0.00007937,$0.000039,$0.0000393,$3,"$117,721"
BZE,"Sep 05, 2021",$0.00007773,$0.00007847,$0.00003838,$0.00003952,$8,"$118,377"
BZE,"Sep 04, 2021",$0.00003938,$0.00007871,$0.00003838,$0.00007776,$54,"$232,893"
BZE,"Sep 03, 2021",$0.0001136,$0.0001194,$0.00003878,$0.00003941,$418,"$118,029"
