,symbol,date,open,high,low,close,volume,marketCap
0,CAN,"Oct 19, 2021",$0.02275,$0.02446,$0.02151,$0.022,"$691,313",$0
1,CAN,"Oct 18, 2021",$0.0226,$0.02422,$0.02121,$0.02276,"$552,349",$0
2,CAN,"Oct 17, 2021",$0.0232,$0.02351,$0.0221,$0.0226,"$257,191",$0
3,CAN,"Oct 16, 2021",$0.02271,$0.02698,$0.02229,$0.0232,"$787,880",$0
4,CAN,"Oct 15, 2021",$0.0211,$0.0295,$0.021,$0.02275,"$1,732,580",$0
5,CAN,"Oct 14, 2021",$0.02109,$0.02206,$0.02076,$0.0211,"$281,358",$0
6,CAN,"Oct 13, 2021",$0.0214,$0.02203,$0.02005,$0.02109,"$360,154",$0
7,CAN,"Oct 12, 2021",$0.02247,$0.02477,$0.02112,$0.02144,"$636,353",$0
8,CAN,"Oct 11, 2021",$0.02203,$0.02492,$0.02183,$0.02247,"$621,431",$0
9,CAN,"Oct 10, 2021",$0.02367,$0.02432,$0.02202,$0.02203,"$267,477",$0
10,CAN,"Oct 09, 2021",$0.02522,$0.02548,$0.02307,$0.02367,"$341,691",$0
11,CAN,"Oct 08, 2021",$0.02368,$0.02645,$0.02311,$0.02522,"$634,062",$0
12,CAN,"Oct 07, 2021",$0.02674,$0.02674,$0.02301,$0.02368,"$1,031,607",$0
13,CAN,"Oct 06, 2021",$0.02769,$0.03432,$0.02388,$0.02648,"$4,153,477",$0
14,CAN,"Oct 05, 2021",$0.02198,$0.02801,$0.021,$0.02674,"$1,745,620",$0
15,CAN,"Oct 04, 2021",$0.02405,$0.02405,$0.0218,$0.02198,"$334,056",$0
16,CAN,"Oct 03, 2021",$0.02253,$0.02493,$0.02206,$0.02401,"$572,099",$0
17,CAN,"Oct 02, 2021",$0.02499,$0.02528,$0.02238,$0.02254,"$425,524",$0
18,CAN,"Oct 01, 2021",$0.02537,$0.0262,$0.02412,$0.02498,"$489,128",$0
19,CAN,"Sep 30, 2021",$0.02137,$0.02789,$0.02134,$0.02537,"$1,088,073",$0
20,CAN,"Sep 29, 2021",$0.02001,$0.02392,$0.02001,$0.02137,"$559,127",$0
21,CAN,"Sep 28, 2021",$0.02594,$0.0279,$0.02002,$0.0207,"$593,061",$0
22,CAN,"Sep 27, 2021",$0.02288,$0.02945,$0.02198,$0.02594,"$992,081",$0
23,CAN,"Sep 26, 2021",$0.03246,$0.03246,$0.02008,$0.02288,"$1,520,774",$0
24,CAN,"Sep 25, 2021",$0.03227,$0.03555,$0.03009,$0.0325,"$1,123,118",$0
25,CAN,"Sep 24, 2021",$0.03844,$0.0397,$0.03003,$0.03223,"$1,238,589",$0
26,CAN,"Sep 23, 2021",$0.03801,$0.04502,$0.03591,$0.03845,"$2,563,594",$0
27,CAN,"Sep 22, 2021",$0.03483,$0.04032,$0.03483,$0.03801,"$563,818",$0
28,CAN,"Sep 21, 2021",$0.03819,$0.04182,$0.03483,$0.03484,"$850,274",$0
29,CAN,"Sep 20, 2021",$0.04311,$0.04312,$0.0381,$0.03835,"$1,055,584",$0
30,CAN,"Sep 19, 2021",$0.0452,$0.04523,$0.04302,$0.04311,"$784,064",$0
31,CAN,"Sep 18, 2021",$0.04538,$0.04904,$0.04498,$0.04499,"$1,300,102",$0
32,CAN,"Sep 17, 2021",$0.04592,$0.04652,$0.04503,$0.04538,"$662,893",$0
33,CAN,"Sep 16, 2021",$0.0474,$0.04836,$0.04551,$0.04592,"$1,338,087",$0
34,CAN,"Sep 15, 2021",$0.04604,$0.04983,$0.04504,$0.0474,"$1,485,539",$0
35,CAN,"Sep 14, 2021",$11.63,$11.69,$0.04543,$0.04602,"$1,879,388",$0
36,CAN,"Sep 13, 2021",$12.44,$12.46,$11.28,$11.63,"$4,118",$0
37,CAN,"Sep 12, 2021",$12.93,$13.26,$12.27,$12.44,"$3,232",$0
38,CAN,"Sep 11, 2021",$16.63,$16.93,$12.90,$12.93,"$13,677",$0
39,CAN,"Sep 10, 2021",$10.38,$18.51,$10.37,$16.63,"$176,706",$0
40,CAN,"Sep 09, 2021",$8.99,$11.43,$8.93,$10.38,"$29,922",$0
41,CAN,"Sep 08, 2021",$9.40,$9.49,$8.18,$9.06,"$61,687",$0
42,CAN,"Sep 07, 2021",$11.57,$11.59,$9.05,$9.40,"$86,571",$0
43,CAN,"Sep 06, 2021",$11.13,$11.91,$11.07,$11.58,"$120,972",$0
44,CAN,"Sep 05, 2021",$10.75,$11.33,$10.75,$11.14,"$37,383",$0
45,CAN,"Sep 04, 2021",$11.55,$11.55,$10.40,$10.75,"$100,773",$0
46,CAN,"Sep 03, 2021",$12.88,$13.18,$10.60,$11.55,"$236,081",$0
47,CAN,"Sep 02, 2021",$12.51,$13.95,$12.21,$12.88,"$562,185",$0
48,CAN,"Sep 01, 2021",$10.66,$14.78,$10.42,$12.53,"$2,925,839",$0
49,CAN,"Aug 31, 2021",$10.65,$11.82,$10.06,$10.67,"$1,841,882",$0
50,CAN,"Aug 30, 2021",$11.04,$11.12,$10.49,$10.65,"$755,164",$0
51,CAN,"Aug 29, 2021",$11.03,$11.88,$10.20,$11.03,"$1,728,217",$0
52,CAN,"Aug 28, 2021",$11.03,$11.36,$10.78,$11.00,"$1,050,293",$0
53,CAN,"Aug 27, 2021",$10.91,$11.31,$10.31,$11.02,"$820,292",$0
54,CAN,"Aug 26, 2021",$13.12,$13.22,$10.85,$10.91,"$986,636",$0
55,CAN,"Aug 25, 2021",$13.54,$13.79,$12.33,$13.12,"$974,692",$0
56,CAN,"Aug 24, 2021",$13.96,$15.89,$12.91,$13.54,"$1,415,923",$0
57,CAN,"Aug 23, 2021",$14.50,$14.50,$13.57,$13.96,"$1,082,852",$0
58,CAN,"Aug 22, 2021",$14.63,$14.70,$13.71,$14.50,"$797,425",$0
59,CAN,"Aug 21, 2021",$13.67,$15.02,$13.24,$14.62,"$1,099,541",$0
60,CAN,"Aug 20, 2021",$13.16,$14.70,$13.16,$13.67,"$1,097,940",$0
61,CAN,"Aug 19, 2021",$13.09,$13.48,$12.57,$13.16,"$953,645",$0
62,CAN,"Aug 18, 2021",$13.50,$14.69,$12.53,$13.09,"$1,182,766",$0
63,CAN,"Aug 17, 2021",$13.79,$16.11,$13.38,$13.50,"$1,290,576",$0
64,CAN,"Aug 16, 2021",$15.35,$15.48,$13.77,$13.79,"$1,334,016",$0
65,CAN,"Aug 15, 2021",$16.63,$16.71,$14.52,$15.35,"$876,246",$0
66,CAN,"Aug 14, 2021",$15.21,$17.08,$14.42,$16.63,"$2,584,054",$0
67,CAN,"Aug 13, 2021",$12.28,$16.91,$12.28,$15.21,"$2,748,996",$0
68,CAN,"Aug 12, 2021",$13.00,$13.68,$11.68,$12.28,"$1,115,117",$0
69,CAN,"Aug 11, 2021",$10.78,$15.02,$10.60,$13.00,"$2,293,903",$0
70,CAN,"Aug 10, 2021",$11.58,$11.89,$10.44,$10.78,"$1,008,924",$0
71,CAN,"Aug 09, 2021",$10.82,$13.07,$9.98,$11.58,"$1,635,501",$0
72,CAN,"Aug 08, 2021",$12.53,$14.00,$10.35,$10.82,"$1,287,740",$0
73,CAN,"Aug 07, 2021",$6.53,$18.03,$6.38,$12.54,"$4,203,789",$0
74,CAN,"Aug 06, 2021",$6.15,$6.68,$5.91,$6.53,"$579,491",$0
75,CAN,"Aug 05, 2021",$5.98,$6.23,$5.84,$6.15,"$582,904",$0
76,CAN,"Aug 04, 2021",$6.03,$6.39,$5.78,$5.98,"$490,899",$0
77,CAN,"Aug 03, 2021",$6.25,$6.49,$5.88,$6.03,"$418,311",$0
78,CAN,"Aug 02, 2021",$7.31,$7.32,$6.18,$6.25,"$593,978",$0
79,CAN,"Aug 01, 2021",$6.01,$8.16,$5.66,$7.31,"$1,036,242",$0
80,CAN,"Jul 31, 2021",$5.94,$6.05,$5.65,$6.01,"$422,809",$0
81,CAN,"Jul 30, 2021",$5.45,$6.15,$5.28,$5.94,"$653,111",$0
