symbol,date,open,high,low,close,volume,marketCap
CELT,"Oct 22, 2021",$0.06857,$0.07133,$0.06361,$0.06447,"$2,783,301",$0
CELT,"Oct 21, 2021",$0.06609,$0.07654,$0.06539,$0.06857,"$2,185,229",$0
CELT,"Oct 20, 2021",$0.06383,$0.0695,$0.06167,$0.06605,"$1,505,534",$0
CELT,"Oct 19, 2021",$0.06293,$0.06491,$0.06015,$0.06384,"$1,121,808",$0
CELT,"Oct 18, 2021",$0.06275,$0.06644,$0.05775,$0.06292,"$1,565,877",$0
CELT,"Oct 17, 2021",$0.06665,$0.06817,$0.06231,$0.06275,"$895,198",$0
CELT,"Oct 16, 2021",$0.06897,$0.06955,$0.06557,$0.06665,"$1,162,751",$0
CELT,"Oct 15, 2021",$0.0742,$0.07732,$0.06888,$0.06906,"$1,765,221",$0
CELT,"Oct 14, 2021",$0.07357,$0.08196,$0.07287,$0.07399,"$1,512,466",$0
CELT,"Oct 13, 2021",$0.06641,$0.07626,$0.0641,$0.07353,"$1,886,044",$0
CELT,"Oct 12, 2021",$0.07082,$0.07086,$0.06476,$0.06641,"$1,264,131",$0
CELT,"Oct 11, 2021",$0.07126,$0.08,$0.06371,$0.07098,"$2,524,833",$0
CELT,"Oct 10, 2021",$0.08236,$0.08344,$0.07098,$0.0713,"$1,114,171",$0
CELT,"Oct 09, 2021",$0.08641,$0.093,$0.07882,$0.08232,"$1,884,393",$0
CELT,"Oct 08, 2021",$0.09236,$0.09286,$0.07653,$0.0864,"$2,717,433",$0
CELT,"Oct 07, 2021",$0.11,$0.1101,$0.08784,$0.09286,"$3,800,900",$0
CELT,"Oct 06, 2021",$0.1039,$0.119,$0.1015,$0.11,"$6,757,476",$0
CELT,"Oct 05, 2021",$0.09216,$0.1159,$0.08126,$0.1039,"$7,092,398",$0
CELT,"Oct 04, 2021",$0.07894,$0.09331,$0.07502,$0.09221,"$2,967,236",$0
CELT,"Oct 03, 2021",$0.08737,$0.09103,$0.07098,$0.07894,"$2,650,617",$0
CELT,"Oct 02, 2021",$0.08176,$0.09447,$0.07803,$0.08734,"$3,859,047",$0
