symbol,date,open,high,low,close,volume,marketCap
CHESS,"Oct 22, 2021",$0.01804,$0.0423,$0.01803,$0.02974,$0,"$1,607,020"
CHESS,"Oct 21, 2021",$0.0198,$0.01998,$0.01801,$0.01804,$0,"$974,961"
CHESS,"Oct 20, 2021",$0.02185,$0.02233,$0.01967,$0.0198,$0,"$1,069,863"
CHESS,"Oct 19, 2021",$0.02109,$0.02191,$0.02095,$0.02185,$0,"$1,180,432"
CHESS,"Oct 18, 2021",$0.02093,$0.02129,$0.0162,$0.02109,$0,"$1,139,488"
CHESS,"Oct 17, 2021",$0.0207,$0.02096,$0.02012,$0.02093,$0,"$1,131,120"
CHESS,"Oct 16, 2021",$0.01601,$0.02082,$0.01565,$0.0207,$0,"$1,118,533"
CHESS,"Oct 15, 2021",$0.01662,$0.02071,$0.01597,$0.01602,$0,"$865,776"
CHESS,"Oct 14, 2021",$0.01033,$0.01918,$0.01029,$0.01663,$0,"$898,402"
CHESS,"Oct 13, 2021",$0.01009,$0.01038,$0.009787,$0.01033,$0,"$558,402"
CHESS,"Oct 12, 2021",$0.0184,$0.01844,$0.009806,$0.01009,$0,"$545,261"
CHESS,"Oct 11, 2021",$0.008216,$0.01849,$0.008178,$0.01839,$0,"$993,569"
CHESS,"Oct 10, 2021",$0.008245,$0.00846,$0.00814,$0.008221,$0,"$444,229"
CHESS,"Oct 09, 2021",$0.008095,$0.00831,$0.00806,$0.008244,$0,"$445,439"
CHESS,"Oct 08, 2021",$0.008071,$0.008388,$0.008053,$0.008093,$0,"$437,294"
CHESS,"Oct 07, 2021",$0.008304,$0.008304,$0.008029,$0.008071,$0,"$436,073"
CHESS,"Oct 06, 2021",$0.007727,$0.008335,$0.007573,$0.008309,$0,"$448,978"
CHESS,"Oct 05, 2021",$0.007367,$0.007776,$0.007361,$0.007724,$0,"$417,330"
CHESS,"Oct 04, 2021",$0.00723,$0.007419,$0.007057,$0.007367,$0,"$398,034"
CHESS,"Oct 03, 2021",$0.007157,$0.00737,$0.007074,$0.007229,$0,"$390,604"
CHESS,"Oct 02, 2021",$0.007218,$0.007242,$0.00712,$0.00716,$0,"$386,854"
CHESS,"Oct 01, 2021",$0.006569,$0.007265,$0.006498,$0.007221,$0,"$390,182"
CHESS,"Sep 30, 2021",$0.006235,$0.006614,$0.006217,$0.006567,$0,"$354,821"
CHESS,"Sep 29, 2021",$0.006155,$0.006382,$0.006124,$0.00623,$0,"$336,625"
CHESS,"Sep 28, 2021",$0.01394,$0.01412,$0.00614,$0.006146,$0,"$332,108"
CHESS,"Sep 27, 2021",$0.01426,$0.01462,$0.01392,$0.01394,$0,"$753,102"
CHESS,"Sep 26, 2021",$0.0141,$0.01449,$0.01348,$0.01427,$0,"$770,922"
CHESS,"Sep 25, 2021",$0.01414,$0.01419,$0.01378,$0.0141,$0,"$761,674"
CHESS,"Sep 24, 2021",$0.01482,$0.01488,$0.01351,$0.01414,$0,"$763,911"
CHESS,"Sep 23, 2021",$0.01438,$0.01483,$0.01423,$0.01482,$0,"$800,584"
CHESS,"Sep 22, 2021",$0.01343,$0.01451,$0.01341,$0.01438,$0,"$777,153"
CHESS,"Sep 21, 2021",$0.01414,$0.01439,$0.01313,$0.01338,$0,"$723,152"
CHESS,"Sep 20, 2021",$0.0156,$0.01562,$0.01406,$0.01415,$0,"$764,560"
CHESS,"Sep 19, 2021",$0.01593,$0.01595,$0.01548,$0.0156,$0,"$842,893"
CHESS,"Sep 18, 2021",$0.0156,$0.0161,$0.01554,$0.01592,$0,"$860,292"
CHESS,"Sep 17, 2021",$0.01577,$0.01589,$0.01545,$0.01559,$0,"$842,115"
CHESS,"Sep 16, 2021",$0.0159,$0.016,$0.01554,$0.01577,$0,"$851,918"
CHESS,"Sep 15, 2021",$0.01554,$0.01599,$0.01544,$0.0159,$0,"$858,986"
CHESS,"Sep 14, 2021",$0.01484,$0.01558,$0.01477,$0.01553,$0,"$839,364"
CHESS,"Sep 13, 2021",$0.0152,$0.01538,$0.01439,$0.01484,$0,"$801,774"
CHESS,"Sep 12, 2021",$0.01492,$0.0153,$0.01478,$0.01521,$0,"$821,997"
CHESS,"Sep 11, 2021",$0.01571,$0.01591,$0.01095,$0.01491,$0,"$805,655"
CHESS,"Sep 10, 2021",$0.01624,$0.01646,$0.01552,$0.01571,$0,"$848,586"
CHESS,"Sep 09, 2021",$0.01603,$0.01654,$0.01598,$0.01623,$0,"$877,063"
CHESS,"Sep 08, 2021",$0.01638,$0.01657,$0.0156,$0.01613,$0,"$871,662"
CHESS,"Sep 07, 2021",$0.01842,$0.0185,$0.01515,$0.01639,$0,"$885,441"
CHESS,"Sep 06, 2021",$0.01811,$0.01845,$0.01787,$0.01843,$0,"$995,659"
CHESS,"Sep 05, 2021",$0.01748,$0.01815,$0.01734,$0.01811,$0,"$978,636"
CHESS,"Sep 04, 2021",$0.01751,$0.01769,$0.01734,$0.01748,$0,"$944,521"
CHESS,"Sep 03, 2021",$0.01726,$0.01784,$0.01694,$0.01751,$0,"$946,325"
CHESS,"Sep 02, 2021",$0.0171,$0.01762,$0.01703,$0.01727,$0,"$933,097"
CHESS,"Sep 01, 2021",$0.0165,$0.01719,$0.0163,$0.0171,$0,"$923,769"
CHESS,"Aug 31, 2021",$0.01647,$0.01685,$0.01636,$0.01652,$0,"$892,736"
CHESS,"Aug 30, 2021",$0.01709,$0.01711,$0.01643,$0.01645,$0,"$888,663"
CHESS,"Aug 29, 2021",$0.01712,$0.01738,$0.01677,$0.01709,$0,"$923,348"
CHESS,"Aug 28, 2021",$0.01717,$0.01725,$0.01697,$0.01712,$0,"$924,816"
CHESS,"Aug 27, 2021",$0.01643,$0.01719,$0.01624,$0.01717,$0,"$927,772"
CHESS,"Aug 26, 2021",$0.01176,$0.0166,$0.01129,$0.01643,$0,"$887,718"
CHESS,"Aug 25, 2021",$0.01145,$0.01181,$0.01132,$0.01175,$0,"$634,930"
CHESS,"Aug 24, 2021",$0.01189,$0.01197,$0.01144,$0.01146,$0,"$619,293"
CHESS,"Aug 23, 2021",$0.01184,$0.01212,$0.01178,$0.01189,$0,"$642,361"
CHESS,"Aug 22, 2021",$0.007336,$0.01187,$0.0073,$0.01184,$0,"$639,737"
CHESS,"Aug 21, 2021",$0.007401,$0.007458,$0.007247,$0.007339,$0,"$396,563"
CHESS,"Aug 20, 2021",$0.007008,$0.007401,$0.006998,$0.007401,$0,"$399,914"
CHESS,"Aug 19, 2021",$0.00672,$0.007046,$0.0066,$0.007006,$0,"$378,543"
CHESS,"Aug 18, 2021",$0.006704,$0.006893,$0.006655,$0.006724,$0,"$363,294"
CHESS,"Aug 17, 2021",$0.006901,$0.007071,$0.006677,$0.006705,$0,"$362,290"
CHESS,"Aug 16, 2021",$0.007057,$0.0072,$0.006855,$0.006907,$0,"$373,206"
CHESS,"Aug 15, 2021",$0.007065,$0.007104,$0.006837,$0.007063,$0,"$381,651"
CHESS,"Aug 14, 2021",$0.007169,$0.007215,$0.006927,$0.007061,$0,"$381,500"
CHESS,"Aug 13, 2021",$0.006664,$0.007175,$0.006642,$0.007175,$0,"$387,674"
CHESS,"Aug 12, 2021",$0.006839,$0.006934,$0.006579,$0.006665,$0,"$360,118"
CHESS,"Aug 11, 2021",$0.006838,$0.00701,$0.006803,$0.006849,$0,"$370,051"
CHESS,"Aug 10, 2021",$0.006955,$0.006996,$0.006706,$0.006834,$0,"$369,271"
CHESS,"Aug 09, 2021",$0.00657,$0.006969,$0.006427,$0.006943,$0,"$375,148"
CHESS,"Aug 08, 2021",$0.006683,$0.006792,$0.0065,$0.006563,$0,"$354,631"
CHESS,"Aug 07, 2021",$0.006422,$0.006703,$0.006393,$0.006702,$0,"$362,115"
CHESS,"Aug 06, 2021",$0.01022,$0.01025,$0.005992,$0.006433,$0,"$347,587"
CHESS,"Aug 05, 2021",$0.009937,$0.01034,$0.009364,$0.01022,$0,"$552,098"
CHESS,"Aug 04, 2021",$0.009553,$0.009986,$0.009407,$0.009943,$0,"$537,240"
CHESS,"Aug 03, 2021",$0.0098,$0.009938,$0.009446,$0.009534,$0,"$515,149"
CHESS,"Aug 02, 2021",$0.009994,$0.0101,$0.009687,$0.009794,$0,"$529,200"
CHESS,"Aug 01, 2021",$0.01041,$0.01064,$0.009885,$0.01002,$0,"$541,242"
CHESS,"Jul 31, 2021",$0.01056,$0.01056,$0.01028,$0.01043,$0,"$563,379"
CHESS,"Jul 30, 2021",$0.01,$0.01054,$0.009599,$0.01053,$0,"$569,088"
CHESS,"Jul 29, 2021",$0.009999,$0.01015,$0.009838,$0.009997,$0,"$540,189"
CHESS,"Jul 28, 2021",$0.009852,$0.0102,$0.009716,$0.01,$0,"$540,579"
CHESS,"Jul 27, 2021",$0.009334,$0.009848,$0.00911,$0.009848,$0,"$532,117"
CHESS,"Jul 26, 2021",$0.008838,$0.01012,$0.008822,$0.009344,$0,"$504,866"
CHESS,"Jul 25, 2021",$0.008573,$0.008841,$0.00847,$0.008838,$0,"$477,534"
CHESS,"Jul 24, 2021",$0.008395,$0.008623,$0.008356,$0.008568,$0,"$462,979"
CHESS,"Jul 23, 2021",$0.008078,$0.00839,$0.008014,$0.00839,$0,"$453,327"
CHESS,"Jul 22, 2021",$0.008028,$0.008144,$0.007936,$0.008081,$0,"$436,612"
CHESS,"Jul 21, 2021",$0.007452,$0.008188,$0.007382,$0.008027,$0,"$433,726"
CHESS,"Jul 20, 2021",$0.00339,$0.007494,$0.00323,$0.007453,$0,"$402,710"
CHESS,"Jul 19, 2021",$0.003498,$0.003507,$0.003362,$0.00339,$0,"$183,159"
CHESS,"Jul 18, 2021",$0.003469,$0.003564,$0.003434,$0.003496,$0,"$188,923"
CHESS,"Jul 17, 2021",$0.003456,$0.003513,$0.003435,$0.003468,$0,"$187,378"
CHESS,"Jul 16, 2021",$0.003496,$0.003544,$0.003421,$0.003457,$0,"$186,795"
CHESS,"Jul 15, 2021",$0.00361,$0.003648,$0.003429,$0.003488,$0,"$188,470"
CHESS,"Jul 14, 2021",$0.003597,$0.003637,$0.00348,$0.00361,$0,"$195,081"
CHESS,"Jul 13, 2021",$0.003647,$0.003666,$0.003549,$0.003596,$0,"$194,329"
CHESS,"Jul 12, 2021",$0.003766,$0.003805,$0.003597,$0.003647,$0,"$197,082"
CHESS,"Jul 11, 2021",$0.003687,$0.003804,$0.003668,$0.003766,$0,"$203,484"
CHESS,"Jul 10, 2021",$0.003718,$0.003763,$0.003643,$0.003686,$0,"$199,156"
CHESS,"Jul 09, 2021",$0.003617,$0.003745,$0.003555,$0.003725,$0,"$201,267"
CHESS,"Jul 08, 2021",$0.003724,$0.00373,$0.003535,$0.003613,$0,"$195,216"
CHESS,"Jul 07, 2021",$0.003766,$0.00385,$0.003722,$0.003722,$0,"$201,127"
CHESS,"Jul 06, 2021",$0.003712,$0.003854,$0.003696,$0.003762,$0,"$203,285"
CHESS,"Jul 05, 2021",$0.003882,$0.003882,$0.003654,$0.00372,$0,"$201,024"
CHESS,"Jul 04, 2021",$0.003814,$0.003953,$0.003784,$0.003881,$0,"$209,684"
CHESS,"Jul 03, 2021",$0.003729,$0.00384,$0.003674,$0.003814,$0,"$206,065"
CHESS,"Jul 02, 2021",$0.003693,$0.003733,$0.003605,$0.003729,$0,"$201,481"
CHESS,"Jul 01, 2021",$0.003854,$0.003854,$0.003617,$0.003689,$0,"$199,323"
CHESS,"Jun 30, 2021",$0.003945,$0.003968,$0.003749,$0.003854,$0,"$208,223"
CHESS,"Jun 29, 2021",$0.003788,$0.00402,$0.003768,$0.003952,$0,"$213,531"
CHESS,"Jun 28, 2021",$0.003811,$0.003874,$0.003729,$0.00379,$0,"$204,783"
CHESS,"Jun 27, 2021",$0.00354,$0.003812,$0.003528,$0.003806,$0,"$205,661"
CHESS,"Jun 26, 2021",$0.00348,$0.00359,$0.00332,$0.003531,$0,"$190,787"
CHESS,"Jun 25, 2021",$0.003813,$0.003904,$0.003449,$0.003482,$0,"$188,119"
CHESS,"Jun 24, 2021",$0.003702,$0.003875,$0.003562,$0.003815,$0,"$206,134"
CHESS,"Jun 23, 2021",$0.003576,$0.003823,$0.003495,$0.003713,$0,"$200,629"
CHESS,"Jun 22, 2021",$0.003484,$0.003662,$0.003178,$0.003572,$0,"$192,995"
CHESS,"Jun 21, 2021",$0.003927,$0.003929,$0.003443,$0.003479,$0,"$187,958"
CHESS,"Jun 20, 2021",$0.003918,$0.003967,$0.003678,$0.00393,$0,"$212,343"
CHESS,"Jun 19, 2021",$0.003937,$0.00401,$0.003843,$0.003915,$0,"$211,542"
CHESS,"Jun 18, 2021",$0.004186,$0.004201,$0.003878,$0.003936,$0,"$212,676"
CHESS,"Jun 17, 2021",$0.004218,$0.004346,$0.004118,$0.004186,$0,"$226,173"
CHESS,"Jun 16, 2021",$0.004417,$0.004457,$0.004199,$0.004217,$0,"$227,865"
CHESS,"Jun 15, 2021",$0.004441,$0.004542,$0.004357,$0.004447,$1,"$240,270"
CHESS,"Jun 14, 2021",$0.004301,$0.004508,$0.004263,$0.004399,$1,"$237,716"
CHESS,"Jun 13, 2021",$0.003911,$0.004326,$0.003835,$0.0043,$0,"$232,355"
CHESS,"Jun 12, 2021",$0.004107,$0.004115,$0.00382,$0.003906,$0,"$211,053"
CHESS,"Jun 11, 2021",$0.004037,$0.004137,$0.003965,$0.0041,$0,"$221,543"
CHESS,"Jun 10, 2021",$0.004108,$0.004217,$0.003943,$0.004036,$0,"$218,100"
CHESS,"Jun 09, 2021",$0.003682,$0.004129,$0.003572,$0.004102,$0,"$221,646"
CHESS,"Jun 08, 2021",$0.003692,$0.003742,$0.003423,$0.003683,$0,"$198,985"
CHESS,"Jun 07, 2021",$0.003945,$0.004047,$0.003683,$0.003699,$0,"$199,849"
CHESS,"Jun 06, 2021",$0.003911,$0.004008,$0.003883,$0.003944,$0,"$213,103"
CHESS,"Jun 05, 2021",$0.004058,$0.004171,$0.003839,$0.00391,$0,"$211,282"
CHESS,"Jun 04, 2021",$0.004313,$0.004317,$0.003929,$0.00406,$0,"$219,387"
CHESS,"Jun 03, 2021",$0.004133,$0.004343,$0.004097,$0.004309,$0,"$232,816"
CHESS,"Jun 02, 2021",$0.004035,$0.004205,$0.003956,$0.004137,$0,"$223,528"
CHESS,"Jun 01, 2021",$0.004107,$0.004169,$0.003937,$0.004033,$0,"$217,932"
CHESS,"May 31, 2021",$0.003925,$0.004122,$0.003767,$0.004105,$0,"$221,786"
CHESS,"May 30, 2021",$0.003808,$0.004004,$0.003687,$0.003923,$0,"$211,950"
CHESS,"May 29, 2021",$0.003927,$0.004096,$0.003706,$0.003804,$0,"$205,551"
CHESS,"May 28, 2021",$0.004228,$0.004274,$0.003826,$0.003923,$0,"$211,978"
CHESS,"May 27, 2021",$0.004322,$0.004442,$0.004097,$0.004228,$0,"$228,432"
