symbol,date,open,high,low,close,volume,marketCap
CHIZ,"Oct 29, 2021",$0.004475,$0.004526,$0.004299,$0.004443,"$1,567",$0
CHIZ,"Oct 28, 2021",$0.00404,$0.004472,$0.004006,$0.00447,$646,$0
CHIZ,"Oct 27, 2021",$0.00431,$0.004452,$0.004035,$0.004035,$530,$0
CHIZ,"Oct 26, 2021",$0.004517,$0.004713,$0.004288,$0.004312,$866,$0
CHIZ,"Oct 25, 2021",$0.004172,$0.004535,$0.004144,$0.004508,"$2,623",$0
CHIZ,"Oct 24, 2021",$0.004644,$0.004834,$0.004075,$0.004178,"$6,883",$0
CHIZ,"Oct 23, 2021",$0.004647,$0.004832,$0.004411,$0.00464,"$3,366",$0
CHIZ,"Oct 22, 2021",$0.005104,$0.005199,$0.004644,$0.004644,"$4,039",$0
CHIZ,"Oct 21, 2021",$0.005474,$0.005609,$0.005105,$0.005109,"$2,203",$0
CHIZ,"Oct 20, 2021",$0.00565,$0.005822,$0.005139,$0.005483,"$14,221",$0
CHIZ,"Oct 19, 2021",$0.005753,$0.005886,$0.005355,$0.005676,"$8,323",$0
CHIZ,"Oct 18, 2021",$0.004856,$0.005803,$0.004853,$0.005753,"$93,366",$0
