,symbol,date,open,high,low,close,volume,marketCap
0,CLOAK,"Oct 19, 2021",$0.5707,$0.5711,$0.56,$0.5627,"$4,223","$3,215,945"
1,CLOAK,"Oct 18, 2021",$0.6032,$0.623,$0.4507,$0.5707,"$7,949","$3,261,010"
2,CLOAK,"Oct 17, 2021",$0.691,$0.6933,$0.4536,$0.6033,"$59,819","$3,447,265"
3,CLOAK,"Oct 16, 2021",$0.7099,$0.7103,$0.5568,$0.6909,"$2,539","$3,946,768"
4,CLOAK,"Oct 15, 2021",$0.7066,$0.7375,$0.6286,$0.7102,"$3,218","$4,056,356"
5,CLOAK,"Oct 14, 2021",$0.729,$0.7445,$0.6099,$0.7068,"$3,020","$4,036,901"
6,CLOAK,"Oct 13, 2021",$0.7065,$0.7327,$0.5869,$0.7291,"$8,470","$4,164,490"
7,CLOAK,"Oct 12, 2021",$0.6932,$0.7411,$0.5922,$0.7067,"$2,994","$4,033,961"
8,CLOAK,"Oct 11, 2021",$0.7271,$0.7627,$0.6279,$0.693,"$2,546","$3,955,624"
9,CLOAK,"Oct 10, 2021",$0.7501,$0.763,$0.6161,$0.7276,"$3,283","$4,152,768"
10,CLOAK,"Oct 09, 2021",$0.8348,$0.8879,$0.6362,$0.75,"$2,581","$4,280,317"
11,CLOAK,"Oct 08, 2021",$0.8399,$0.9233,$0.6908,$0.8346,"$8,118","$4,762,974"
12,CLOAK,"Oct 07, 2021",$0.7096,$0.9107,$0.6132,$0.8399,"$7,354","$4,792,753"
13,CLOAK,"Oct 06, 2021",$0.6355,$0.744,$0.6194,$0.7099,"$4,546","$4,050,731"
14,CLOAK,"Oct 05, 2021",$0.6718,$0.6849,$0.5838,$0.6354,"$1,476","$3,625,413"
15,CLOAK,"Oct 04, 2021",$0.6376,$0.686,$0.5588,$0.6718,"$3,004","$3,833,043"
16,CLOAK,"Oct 03, 2021",$0.7125,$0.7126,$0.5605,$0.6376,$733,"$3,637,449"
17,CLOAK,"Oct 02, 2021",$0.6293,$0.7232,$0.5378,$0.7125,"$6,261","$4,065,003"
18,CLOAK,"Oct 01, 2021",$0.5948,$0.6537,$0.5561,$0.6295,"$1,864","$3,590,156"
19,CLOAK,"Sep 30, 2021",$0.6018,$0.6407,$0.5438,$0.5947,"$2,340","$3,391,566"
20,CLOAK,"Sep 29, 2021",$0.6024,$0.6243,$0.5122,$0.6014,"$4,648","$3,429,504"
21,CLOAK,"Sep 28, 2021",$0.628,$0.6438,$0.559,$0.6016,"$1,760","$3,430,597"
22,CLOAK,"Sep 27, 2021",$0.6502,$0.6651,$0.6274,$0.628,"$1,627","$3,580,898"
23,CLOAK,"Sep 26, 2021",$0.6701,$0.7016,$0.5532,$0.6502,"$1,268","$3,707,165"
24,CLOAK,"Sep 25, 2021",$0.6676,$0.6889,$0.5661,$0.6701,"$1,695","$3,820,807"
25,CLOAK,"Sep 24, 2021",$0.7017,$0.729,$0.5838,$0.6677,"$3,756","$3,806,656"
26,CLOAK,"Sep 23, 2021",$0.6507,$0.7117,$0.5823,$0.7018,"$2,993","$4,000,861"
27,CLOAK,"Sep 22, 2021",$0.6775,$0.712,$0.6238,$0.6508,$676,"$3,710,436"
28,CLOAK,"Sep 21, 2021",$0.6788,$0.7187,$0.5783,$0.6775,$637,"$3,862,108"
29,CLOAK,"Sep 20, 2021",$0.7744,$0.7752,$0.6722,$0.6788,"$6,299","$3,869,492"
30,CLOAK,"Sep 19, 2021",$0.8138,$0.8138,$0.5982,$0.7746,"$2,172","$4,414,948"
31,CLOAK,"Sep 18, 2021",$0.6164,$0.8138,$0.6086,$0.8138,$229,"$4,638,101"
32,CLOAK,"Sep 17, 2021",$0.8074,$0.8074,$0.6156,$0.616,"$1,615","$3,510,523"
33,CLOAK,"Sep 16, 2021",$0.7099,$0.8169,$0.6754,$0.8074,"$4,937","$4,600,723"
34,CLOAK,"Sep 15, 2021",$0.7095,$0.7558,$0.6085,$0.7099,"$3,686","$4,045,298"
35,CLOAK,"Sep 14, 2021",$0.6818,$0.7113,$0.5789,$0.7094,"$1,923","$4,041,880"
36,CLOAK,"Sep 13, 2021",$0.6836,$0.7083,$0.5867,$0.6818,"$1,378","$3,884,674"
37,CLOAK,"Sep 12, 2021",$0.7038,$0.7126,$0.6056,$0.6837,"$1,569","$3,895,287"
38,CLOAK,"Sep 11, 2021",$0.715,$0.8188,$0.6179,$0.7036,"$3,839","$4,008,590"
39,CLOAK,"Sep 10, 2021",$0.7464,$0.7478,$0.6008,$0.7148,"$2,104","$4,072,162"
40,CLOAK,"Sep 09, 2021",$0.7384,$0.7614,$0.6309,$0.7463,"$3,544","$4,251,486"
41,CLOAK,"Sep 08, 2021",$0.7426,$0.7682,$0.6233,$0.6854,"$1,770","$3,904,398"
42,CLOAK,"Sep 07, 2021",$0.8626,$0.8774,$0.5876,$0.7426,"$2,509","$4,229,963"
43,CLOAK,"Sep 06, 2021",$0.7105,$0.8677,$0.6868,$0.8628,"$3,496","$4,913,659"
44,CLOAK,"Sep 05, 2021",$0.8154,$0.8482,$0.6954,$0.7105,"$1,795","$4,046,068"
