symbol,date,open,high,low,close,volume,marketCap
COIN,"Oct 22, 2021",$298.00,$304.63,$294.44,$300.51,"$35,708",$0
COIN,"Oct 21, 2021",$314.00,$370.95,$247.99,$298.00,"$341,597",$0
COIN,"Oct 20, 2021",$308.07,$316.75,$305.00,$314.00,"$30,576",$0
COIN,"Oct 19, 2021",$294.07,$308.07,$293.07,$308.07,"$355,011",$0
COIN,"Oct 18, 2021",$281.25,$296.88,$274.53,$294.08,"$62,909",$0
COIN,"Oct 17, 2021",$281.50,$281.50,$277.02,$281.25,"$3,203",$0
COIN,"Oct 16, 2021",$281.00,$282.83,$278.79,$281.50,"$17,957",$0
COIN,"Oct 15, 2021",$259.17,$281.80,$258.81,$281.00,"$120,347",$0
COIN,"Oct 14, 2021",$247.65,$262.70,$247.54,$259.15,"$81,396",$0
COIN,"Oct 13, 2021",$248.50,$252.88,$243.98,$247.54,"$94,159",$0
COIN,"Oct 12, 2021",$255.43,$256.75,$246.46,$248.50,"$142,569",$0
COIN,"Oct 11, 2021",$246.35,$262.69,$246.35,$255.25,"$131,710",$0
COIN,"Oct 10, 2021",$247.54,$247.54,$246.35,$246.35,"$8,086",$0
COIN,"Oct 09, 2021",$246.95,$247.54,$246.42,$247.54,$366,$0
COIN,"Oct 08, 2021",$251.10,$255.62,$246.75,$246.95,"$42,488",$0
COIN,"Oct 07, 2021",$251.69,$252.70,$246.35,$251.10,"$41,004",$0
COIN,"Oct 06, 2021",$241.01,$251.90,$236.14,$251.69,"$291,880",$0
COIN,"Oct 05, 2021",$228.56,$241.01,$228.28,$241.01,"$62,527",$0
COIN,"Oct 04, 2021",$231.80,$232.71,$224.98,$228.56,"$95,309",$0
COIN,"Oct 03, 2021",$232.71,$232.71,$231.53,$231.80,"$37,723",$0
COIN,"Oct 02, 2021",$231.00,$233.33,$229.68,$232.22,"$47,713",$0
COIN,"Oct 01, 2021",$228.28,$240.40,$227.27,$231.00,"$54,722",$0
COIN,"Sep 30, 2021",$225.91,$236.53,$224.80,$228.28,"$38,110",$0
COIN,"Sep 29, 2021",$230.30,$234.10,$224.24,$225.89,"$38,253",$0
COIN,"Sep 28, 2021",$231.39,$232.32,$226.97,$230.30,"$2,318",$0
COIN,"Sep 27, 2021",$234.73,$239.17,$227.77,$231.38,"$3,865",$0
COIN,"Sep 26, 2021",$232.32,$236.71,$230.81,$234.73,"$1,568",$0
COIN,"Sep 25, 2021",$233.41,$236.55,$229.61,$232.32,"$2,515",$0
COIN,"Sep 24, 2021",$237.50,$238.04,$225.00,$233.41,"$68,280",$0
COIN,"Sep 23, 2021",$242.00,$246.13,$237.28,$237.54,"$29,326",$0
COIN,"Sep 22, 2021",$233.93,$242.93,$231.00,$242.68,"$7,762",$0
COIN,"Sep 21, 2021",$233.67,$239.94,$231.00,$233.66,"$18,480",$0
COIN,"Sep 20, 2021",$244.32,$244.32,$231.00,$233.67,"$54,047",$0
COIN,"Sep 19, 2021",$244.36,$249.28,$244.21,$244.32,"$2,557",$0
COIN,"Sep 18, 2021",$244.21,$250.52,$242.84,$244.32,"$2,754",$0
COIN,"Sep 17, 2021",$243.44,$245.34,$239.31,$244.21,"$14,261",$0
COIN,"Sep 16, 2021",$248.66,$249.12,$240.43,$243.46,"$77,239",$0
COIN,"Sep 15, 2021",$244.91,$249.07,$242.88,$248.66,"$59,536",$0
COIN,"Sep 14, 2021",$243.76,$248.22,$241.53,$244.10,"$37,458",$0
COIN,"Sep 13, 2021",$247.03,$250.52,$240.06,$243.76,"$12,221",$0
COIN,"Sep 12, 2021",$244.99,$251.57,$244.85,$247.03,"$81,257",$0
COIN,"Sep 11, 2021",$247.62,$250.38,$244.49,$245.03,"$13,952",$0
COIN,"Sep 10, 2021",$256.61,$260.46,$247.62,$247.62,"$11,315",$0
COIN,"Sep 09, 2021",$255.25,$262.92,$255.25,$256.60,"$77,820",$0
COIN,"Sep 08, 2021",$267.10,$269.06,$254.28,$257.87,"$66,949",$0
COIN,"Sep 07, 2021",$280.00,$287.14,$262.50,$267.10,"$133,178",$0
COIN,"Sep 06, 2021",$283.47,$285.33,$276.48,$280.00,"$26,665",$0
COIN,"Sep 05, 2021",$278.57,$284.01,$277.55,$283.47,"$16,858",$0
COIN,"Sep 04, 2021",$278.98,$278.98,$276.78,$278.57,"$8,937",$0
COIN,"Sep 03, 2021",$269.29,$280.61,$268.72,$278.98,"$154,770",$0
COIN,"Sep 02, 2021",$267.63,$275.00,$266.32,$269.26,"$132,838",$0
COIN,"Sep 01, 2021",$258.44,$272.03,$257.71,$267.63,"$21,553",$0
COIN,"Aug 31, 2021",$259.50,$262.85,$253.56,$258.44,"$14,955",$0
COIN,"Aug 30, 2021",$262.18,$263.29,$256.12,$259.52,"$79,571",$0
COIN,"Aug 29, 2021",$261.02,$262.18,$258.01,$261.24,"$40,674",$0
COIN,"Aug 28, 2021",$260.11,$264.19,$257.34,$261.02,"$1,168",$0
COIN,"Aug 27, 2021",$248.75,$260.50,$247.95,$260.10,"$44,661",$0
COIN,"Aug 26, 2021",$257.10,$257.31,$248.75,$248.75,"$18,757",$0
COIN,"Aug 25, 2021",$258.16,$263.12,$253.44,$257.10,"$28,776",$0
COIN,"Aug 24, 2021",$257.14,$260.20,$253.90,$258.69,"$53,605",$0
COIN,"Aug 23, 2021",$257.61,$267.14,$255.62,$257.14,"$107,566",$0
COIN,"Aug 22, 2021",$259.06,$261.02,$254.17,$257.61,"$17,419",$0
COIN,"Aug 21, 2021",$258.50,$260.32,$255.50,$259.18,"$9,879",$0
COIN,"Aug 20, 2021",$251.42,$260.20,$246.93,$258.50,"$49,684",$0
COIN,"Aug 19, 2021",$245.91,$251.59,$239.22,$251.38,"$101,737",$0
COIN,"Aug 18, 2021",$247.60,$254.08,$243.15,$245.91,"$54,876",$0
COIN,"Aug 17, 2021",$256.08,$260.37,$246.93,$247.95,"$57,696",$0
COIN,"Aug 16, 2021",$263.70,$270.00,$253.84,$256.19,"$91,565",$0
COIN,"Aug 15, 2021",$264.28,$266.32,$260.14,$263.72,"$37,741",$0
COIN,"Aug 14, 2021",$264.67,$270.00,$262.86,$263.20,"$41,536",$0
COIN,"Aug 13, 2021",$256.88,$266.19,$256.38,$264.79,"$152,475",$0
COIN,"Aug 12, 2021",$283.00,$285.07,$255.17,$256.85,"$101,321",$0
COIN,"Aug 11, 2021",$271.11,$294.14,$263.93,$283.00,"$102,840",$0
COIN,"Aug 10, 2021",$277.00,$282.00,$266.00,$271.11,"$193,290",$0
COIN,"Aug 09, 2021",$262.90,$280.00,$257.94,$277.00,"$86,725",$0
COIN,"Aug 08, 2021",$260.00,$269.90,$257.62,$262.90,"$37,116",$0
COIN,"Aug 07, 2021",$260.91,$266.02,$257.23,$260.00,"$32,788",$0
COIN,"Aug 06, 2021",$252.43,$262.00,$249.53,$260.91,"$16,421",$0
COIN,"Aug 05, 2021",$242.14,$256.15,$238.96,$252.91,"$87,443",$0
COIN,"Aug 04, 2021",$231.84,$242.93,$226.91,$242.18,"$25,753",$0
COIN,"Aug 03, 2021",$236.99,$236.99,$228.92,$231.84,"$34,617",$0
COIN,"Aug 02, 2021",$242.75,$243.06,$236.42,$236.99,"$8,592",$0
COIN,"Aug 01, 2021",$240.15,$247.00,$238.00,$243.00,"$11,450",$0
COIN,"Jul 31, 2021",$237.69,$247.00,$237.26,$240.42,"$7,423",$0
COIN,"Jul 30, 2021",$238.21,$238.21,$233.21,$238.20,"$6,515",$0
COIN,"Jul 29, 2021",$241.45,$245.11,$236.48,$238.21,"$78,209",$0
COIN,"Jul 28, 2021",$237.12,$247.67,$237.08,$241.45,"$33,989",$0
COIN,"Jul 27, 2021",$241.45,$241.45,$228.75,$237.12,"$25,857",$0
COIN,"Jul 26, 2021",$228.69,$258.53,$228.65,$241.45,"$183,697",$0
COIN,"Jul 25, 2021",$228.65,$239.12,$228.65,$228.69,"$5,604",$0
COIN,"Jul 24, 2021",$226.55,$236.72,$226.03,$228.65,"$36,223",$0
COIN,"Jul 23, 2021",$226.73,$228.28,$224.02,$226.55,"$26,153",$0
COIN,"Jul 22, 2021",$233.43,$236.00,$225.60,$226.73,"$29,796",$0
COIN,"Jul 21, 2021",$222.68,$236.00,$222.68,$233.43,"$57,473",$0
COIN,"Jul 20, 2021",$219.47,$224.94,$211.43,$222.68,"$101,100",$0
COIN,"Jul 19, 2021",$221.94,$223.86,$213.56,$219.47,"$25,006",$0
COIN,"Jul 18, 2021",$224.13,$227.35,$221.00,$221.94,"$4,658",$0
COIN,"Jul 17, 2021",$222.01,$226.35,$221.00,$223.63,"$7,794",$0
COIN,"Jul 16, 2021",$221.52,$232.47,$221.12,$222.01,"$16,295",$0
COIN,"Jul 15, 2021",$231.59,$234.95,$221.50,$221.52,"$4,501",$0
COIN,"Jul 14, 2021",$245.15,$246.55,$228.06,$231.59,"$12,212",$0
COIN,"Jul 13, 2021",$245.56,$252.46,$241.01,$245.16,"$8,706",$0
COIN,"Jul 12, 2021",$259.15,$260.21,$245.02,$245.56,"$28,434",$0
COIN,"Jul 11, 2021",$255.00,$260.14,$254.12,$259.17,"$7,502",$0
COIN,"Jul 10, 2021",$254.67,$259.50,$253.16,$255.00,"$2,297",$0
COIN,"Jul 09, 2021",$243.44,$255.43,$240.28,$254.67,"$154,401",$0
COIN,"Jul 08, 2021",$249.44,$249.86,$236.07,$243.44,"$32,133",$0
COIN,"Jul 07, 2021",$233.24,$250.49,$233.20,$249.44,"$14,811",$0
COIN,"Jul 06, 2021",$241.14,$245.56,$233.24,$233.24,"$11,333",$0
COIN,"Jul 05, 2021",$244.94,$247.28,$239.60,$241.14,"$6,964",$0
COIN,"Jul 04, 2021",$240.35,$252.39,$240.34,$244.94,"$2,285",$0
COIN,"Jul 03, 2021",$242.84,$250.25,$240.30,$240.34,"$10,589",$0
COIN,"Jul 02, 2021",$242.60,$247.04,$240.38,$242.84,"$15,963",$0
COIN,"Jul 01, 2021",$252.56,$253.76,$240.57,$242.60,"$51,189",$0
