symbol,date,open,high,low,close,volume,marketCap
COMB,"Oct 29, 2021",$60.39,$62.79,$59.28,$59.86,"$4,866",$0
COMB,"Oct 28, 2021",$55.38,$60.36,$54.80,$60.33,$0,$0
COMB,"Oct 27, 2021",$58.25,$60.56,$54.53,$55.31,$0,$0
COMB,"Oct 26, 2021",$59.74,$62.67,$57.30,$58.28,$0,$0
COMB,"Oct 25, 2021",$57.42,$59.99,$57.04,$59.62,$0,$0
COMB,"Oct 24, 2021",$58.77,$60.21,$56.03,$57.51,$0,$0
COMB,"Oct 23, 2021",$55.92,$59.63,$55.64,$58.71,$0,$0
COMB,"Oct 22, 2021",$56.91,$58.25,$55.21,$55.88,$0,$0
COMB,"Oct 21, 2021",$58.13,$60.68,$56.73,$56.97,$0,$0
COMB,"Oct 20, 2021",$54.12,$58.23,$53.39,$58.23,$0,$0
COMB,"Oct 19, 2021",$52.56,$54.60,$52.40,$54.38,$0,$0
COMB,"Oct 18, 2021",$53.64,$54.50,$51.99,$52.58,$0,$0
COMB,"Oct 17, 2021",$54.08,$54.96,$51.67,$53.69,$425,$0
COMB,"Oct 16, 2021",$54.50,$55.57,$53.60,$54.08,$0,$0
COMB,"Oct 15, 2021",$53.49,$54.85,$52.32,$54.43,$0,$0
COMB,"Oct 14, 2021",$50.50,$53.63,$50.47,$53.56,$0,$0
COMB,"Oct 13, 2021",$49.18,$50.56,$48.31,$50.47,$0,$0
COMB,"Oct 12, 2021",$49.81,$49.85,$48.03,$49.16,$0,$0
COMB,"Oct 11, 2021",$48.34,$50.86,$48.01,$49.84,$0,$0
COMB,"Oct 10, 2021",$50.45,$50.53,$48.35,$48.39,$0,$0
COMB,"Oct 09, 2021",$50.13,$50.87,$49.78,$50.50,$0,$0
COMB,"Oct 08, 2021",$50.76,$51.65,$50.01,$50.14,$379,$0
COMB,"Oct 07, 2021",$50.60,$52.45,$49.19,$50.82,$0,$0
COMB,"Oct 06, 2021",$49.66,$51.08,$47.33,$50.57,$0,$0
COMB,"Oct 05, 2021",$47.97,$50.01,$47.53,$49.74,$234,$0
COMB,"Oct 04, 2021",$48.40,$48.49,$46.74,$47.96,$0,$0
COMB,"Oct 03, 2021",$48.00,$49.39,$47.56,$48.38,$0,$0
COMB,"Oct 02, 2021",$46.68,$48.88,$46.16,$48.07,$0,$0
COMB,"Oct 01, 2021",$42.49,$46.97,$42.20,$46.68,$0,$0
COMB,"Sep 30, 2021",$40.23,$43.00,$40.19,$42.49,$0,$0
COMB,"Sep 29, 2021",$46.05,$48.26,$39.64,$40.28,"$12,754",$0
COMB,"Sep 28, 2021",$48.34,$48.78,$46.01,$46.11,$0,$0
COMB,"Sep 27, 2021",$50.08,$51.91,$48.33,$48.33,$0,$0
COMB,"Sep 26, 2021",$48.12,$50.94,$45.22,$50.11,$0,$0
COMB,"Sep 25, 2021",$54.27,$54.66,$46.37,$48.13,"$11,909",$0
COMB,"Sep 24, 2021",$58.50,$58.65,$51.72,$54.25,$0,$0
COMB,"Sep 23, 2021",$56.90,$58.67,$56.53,$58.50,$0,$0
COMB,"Sep 22, 2021",$51.11,$57.12,$51.11,$56.87,$0,$0
COMB,"Sep 21, 2021",$55.20,$57.34,$50.52,$51.11,$0,$0
COMB,"Sep 20, 2021",$48.87,$61.78,$48.87,$55.25,"$26,836",$0
COMB,"Sep 19, 2021",$50.41,$50.80,$48.54,$48.87,$0,$0
COMB,"Sep 18, 2021",$50.04,$51.93,$49.68,$50.39,$0,$0
COMB,"Sep 17, 2021",$52.65,$52.91,$49.48,$50.01,$320,$0
COMB,"Sep 16, 2021",$52.98,$53.91,$51.73,$52.69,$0,$0
COMB,"Sep 15, 2021",$50.13,$53.02,$49.95,$52.96,$0,$0
COMB,"Sep 14, 2021",$48.44,$50.28,$48.36,$50.12,$0,$0
COMB,"Sep 13, 2021",$50.16,$50.55,$46.40,$48.47,$0,$0
COMB,"Sep 12, 2021",$48.16,$50.94,$47.81,$50.17,$0,$0
COMB,"Sep 11, 2021",$47.39,$49.30,$47.34,$48.18,$0,$0
COMB,"Sep 10, 2021",$50.63,$51.74,$46.87,$47.39,$0,$0
COMB,"Sep 09, 2021",$51.22,$52.43,$50.33,$50.64,$0,$0
COMB,"Sep 08, 2021",$50.68,$52.35,$47.73,$51.53,$0,$0
COMB,"Sep 07, 2021",$58.14,$58.36,$48.65,$50.63,$0,$0
COMB,"Sep 06, 2021",$59.54,$59.64,$57.26,$58.16,"$2,974",$0
COMB,"Sep 05, 2021",$58.56,$59.80,$57.99,$59.53,$0,$0
COMB,"Sep 04, 2021",$59.40,$60.11,$57.89,$58.54,$292,$0
COMB,"Sep 03, 2021",$64.23,$67.74,$58.73,$59.42,"$16,313",$0
COMB,"Sep 02, 2021",$64.66,$64.83,$63.30,$64.24,$829,$0
COMB,"Sep 01, 2021",$58.41,$64.63,$57.81,$64.63,$0,$0
COMB,"Aug 31, 2021",$55.01,$58.59,$54.62,$58.42,$0,$0
COMB,"Aug 30, 2021",$55.30,$56.75,$53.70,$55.01,$0,$0
COMB,"Aug 29, 2021",$55.34,$56.06,$54.16,$55.25,$0,$0
COMB,"Aug 28, 2021",$55.62,$55.78,$54.94,$55.27,$0,$0
COMB,"Aug 27, 2021",$53.02,$55.76,$52.30,$55.62,$0,$0
COMB,"Aug 26, 2021",$54.81,$55.18,$52.25,$52.93,$0,$0
COMB,"Aug 25, 2021",$54.04,$55.23,$52.86,$54.76,$0,$0
COMB,"Aug 24, 2021",$56.76,$57.14,$53.35,$54.04,$0,$0
COMB,"Aug 23, 2021",$55.30,$57.36,$55.22,$56.76,$195,$0
COMB,"Aug 22, 2021",$55.19,$55.82,$53.72,$55.28,$0,$0
COMB,"Aug 21, 2021",$56.56,$57.06,$55.17,$55.21,"$1,394",$0
COMB,"Aug 20, 2021",$56.35,$58.68,$56.05,$56.53,"$3,825",$0
COMB,"Aug 19, 2021",$54.42,$56.39,$52.70,$56.29,$0,$0
COMB,"Aug 18, 2021",$54.05,$56.09,$53.07,$54.43,$829,$0
COMB,"Aug 17, 2021",$56.66,$58.82,$53.76,$54.11,$0,$0
COMB,"Aug 16, 2021",$59.30,$59.68,$56.55,$56.63,$297,$0
COMB,"Aug 15, 2021",$58.89,$59.34,$56.15,$59.25,$352,$0
COMB,"Aug 14, 2021",$59.90,$60.20,$57.96,$58.86,$323,$0
COMB,"Aug 13, 2021",$55.08,$59.95,$54.99,$59.92,$0,$0
COMB,"Aug 12, 2021",$58.43,$59.52,$54.16,$55.16,"$2,391",$0
COMB,"Aug 11, 2021",$57.96,$60.17,$57.80,$58.38,$0,$0
COMB,"Aug 10, 2021",$58.56,$59.65,$56.84,$57.94,$811,$0
COMB,"Aug 09, 2021",$55.92,$58.89,$54.06,$58.54,$0,$0
COMB,"Aug 08, 2021",$58.45,$58.89,$55.02,$55.95,$0,$0
COMB,"Aug 07, 2021",$53.68,$58.49,$53.47,$58.49,$0,$0
COMB,"Aug 06, 2021",$52.59,$54.46,$50.77,$53.67,$403,$0
COMB,"Aug 05, 2021",$50.79,$52.68,$47.99,$52.59,$0,$0
COMB,"Aug 04, 2021",$46.83,$51.37,$45.98,$50.81,$114,$0
COMB,"Aug 03, 2021",$48.75,$49.01,$45.97,$46.84,$0,$0
COMB,"Aug 02, 2021",$48.03,$49.59,$47.08,$48.73,$0,$0
COMB,"Aug 01, 2021",$47.23,$49.98,$46.98,$48.00,$0,$0
COMB,"Jul 31, 2021",$45.89,$47.47,$45.09,$47.26,$0,$0
COMB,"Jul 30, 2021",$44.23,$47.71,$43.34,$45.85,$54,$0
COMB,"Jul 29, 2021",$43.00,$44.65,$42.38,$44.25,$0,$0
COMB,"Jul 28, 2021",$42.67,$43.59,$42.19,$42.83,$0,$0
COMB,"Jul 27, 2021",$39.70,$42.85,$38.29,$42.62,"$4,568",$0
COMB,"Jul 26, 2021",$38.89,$42.80,$38.71,$39.71,$308,$0
COMB,"Jul 25, 2021",$38.77,$38.97,$37.56,$38.89,$0,$0
COMB,"Jul 24, 2021",$37.68,$39.06,$37.50,$38.76,$0,$0
COMB,"Jul 23, 2021",$35.97,$37.68,$35.65,$37.68,$0,$0
COMB,"Jul 22, 2021",$35.42,$36.24,$34.93,$35.97,$122,$0
COMB,"Jul 21, 2021",$31.83,$35.66,$31.43,$35.43,$53,$0
COMB,"Jul 20, 2021",$32.46,$32.68,$30.83,$31.80,$0,$0
COMB,"Jul 19, 2021",$33.96,$34.14,$32.30,$32.45,$97,$0
COMB,"Jul 18, 2021",$33.99,$35.51,$33.71,$33.95,$240,$0
COMB,"Jul 17, 2021",$33.85,$34.32,$33.19,$34.00,$333,$0
COMB,"Jul 16, 2021",$33.88,$34.78,$32.84,$33.87,"$1,131",$0
COMB,"Jul 15, 2021",$35.55,$36.27,$33.48,$33.90,$558,$0
COMB,"Jul 14, 2021",$34.64,$35.98,$33.44,$35.55,$0,$0
COMB,"Jul 13, 2021",$36.61,$36.61,$34.36,$34.61,$398,$0
COMB,"Jul 12, 2021",$38.57,$38.90,$36.20,$36.61,$422,$0
COMB,"Jul 11, 2021",$39.69,$40.26,$36.69,$38.58,"$11,967",$0
COMB,"Jul 10, 2021",$40.16,$40.72,$38.85,$39.48,$20,$0
COMB,"Jul 09, 2021",$38.67,$40.74,$37.65,$40.15,"$2,355",$0
COMB,"Jul 08, 2021",$42.42,$42.56,$38.19,$38.65,$437,$0
COMB,"Jul 07, 2021",$42.74,$44.17,$42.38,$42.42,$614,$0
COMB,"Jul 06, 2021",$40.69,$43.18,$40.63,$42.68,$0,$0
COMB,"Jul 05, 2021",$42.80,$42.80,$40.01,$40.70,$57,$0
COMB,"Jul 04, 2021",$41.11,$43.77,$40.56,$42.81,$430,$0
COMB,"Jul 03, 2021",$39.74,$41.43,$39.29,$41.10,$0,$0
COMB,"Jul 02, 2021",$39.29,$39.79,$37.54,$39.74,$289,$0
COMB,"Jul 01, 2021",$42.24,$42.24,$38.72,$39.30,$202,$0
COMB,"Jun 30, 2021",$40.60,$42.31,$39.06,$42.17,$576,$0
COMB,"Jun 29, 2021",$38.97,$42.02,$38.96,$40.59,$205,$0
COMB,"Jun 28, 2021",$37.34,$40.19,$37.10,$38.99,$845,$0
COMB,"Jun 27, 2021",$34.49,$37.41,$34.44,$37.41,$231,$0
COMB,"Jun 26, 2021",$34.75,$35.21,$32.91,$34.47,$247,$0
COMB,"Jun 25, 2021",$37.49,$37.99,$34.38,$34.77,"$1,225",$0
COMB,"Jun 24, 2021",$37.36,$38.25,$35.92,$37.33,$525,$0
COMB,"Jun 23, 2021",$35.56,$38.71,$34.96,$37.69,$274,$0
COMB,"Jun 22, 2021",$36.56,$38.21,$33.02,$35.55,"$1,208",$0
COMB,"Jun 21, 2021",$42.97,$43.12,$36.19,$36.56,"$1,302",$0
COMB,"Jun 20, 2021",$41.74,$43.41,$39.40,$42.95,$0,$0
COMB,"Jun 19, 2021",$47.22,$48.18,$41.60,$41.72,"$16,967",$0
COMB,"Jun 18, 2021",$50.41,$50.51,$45.64,$47.18,$246,$0
COMB,"Jun 17, 2021",$50.53,$52.56,$49.49,$50.41,$872,$0
COMB,"Jun 16, 2021",$55.54,$55.54,$50.43,$50.53,"$1,590",$0
COMB,"Jun 15, 2021",$56.64,$57.54,$54.88,$56.81,$572,$0
COMB,"Jun 14, 2021",$54.66,$56.73,$53.82,$55.47,$727,$0
COMB,"Jun 13, 2021",$52.34,$55.24,$50.81,$54.62,$854,$0
COMB,"Jun 12, 2021",$51.78,$53.92,$50.05,$52.34,$0,$0
COMB,"Jun 11, 2021",$54.65,$55.01,$51.13,$51.75,$0,$0
COMB,"Jun 10, 2021",$57.39,$59.08,$52.99,$54.67,$116,$0
COMB,"Jun 09, 2021",$55.53,$57.79,$53.48,$57.50,$0,$0
COMB,"Jun 08, 2021",$57.57,$58.24,$51.58,$55.53,$710,$0
COMB,"Jun 07, 2021",$60.18,$63.20,$57.17,$57.66,$217,$0
COMB,"Jun 06, 2021",$58.63,$61.14,$58.63,$60.14,$718,$0
COMB,"Jun 05, 2021",$60.47,$63.30,$57.34,$58.83,$322,$0
