,symbol,date,open,high,low,close,volume,marketCap
0,COMP,"Oct 19, 2021",$0.00000006182,$0.00000007419,$0.00000006057,$0.00000006388,$247,"$3,433"
1,COMP,"Oct 18, 2021",$0.00000006899,$0.00000009224,$0.00000006131,$0.0000000617,$289,"$3,315"
2,COMP,"Oct 17, 2021",$0.00000007119,$0.00000009067,$0.00000006379,$0.00000006885,"$2,429","$3,699"
3,COMP,"Oct 16, 2021",$0.00000006546,$0.0000000985,$0.00000006543,$0.00000007124,$359,"$3,828"
4,COMP,"Oct 15, 2021",$0.0000000813,$0.00000008278,$0.00000006321,$0.00000006546,$40,"$3,517"
5,COMP,"Oct 14, 2021",$0.0000000814,$0.0000001046,$0.00000005664,$0.00000008136,"$20,698","$4,372"
6,COMP,"Oct 13, 2021",$0.00000004072,$0.00000009994,$0.00000003325,$0.0000000814,"$2,884","$4,374"
7,COMP,"Oct 12, 2021",$0.00000006945,$0.0000001071,$0.00000004057,$0.00000004073,"$1,018","$2,188"
8,COMP,"Oct 11, 2021",$0.0000001057,$0.0000001101,$0.00000006788,$0.00000006943,$134,"$3,730"
9,COMP,"Oct 10, 2021",$0.0000001208,$0.0000001218,$0.0000001048,$0.0000001057,$19,"$5,681"
10,COMP,"Oct 09, 2021",$0.0000001097,$0.0000001299,$0.0000001081,$0.0000001208,$220,"$6,492"
11,COMP,"Oct 08, 2021",$0.0000001142,$0.0000001287,$0.0000001091,$0.0000001097,$194,"$5,892"
12,COMP,"Oct 07, 2021",$0.0000001174,$0.0000001278,$0.00000011,$0.0000001142,$62,"$6,135"
13,COMP,"Oct 06, 2021",$0.000000121,$0.0000001597,$0.0000001126,$0.0000001173,$792,"$6,303"
14,COMP,"Oct 05, 2021",$0.0000001156,$0.0000001846,$0.00000009227,$0.0000001204,"$7,081","$6,472"
15,COMP,"Oct 04, 2021",$0.0000001685,$0.0000001814,$0.00000007689,$0.0000001156,"$26,062","$6,214"
16,COMP,"Oct 03, 2021",$0.0000001227,$0.0000001719,$0.0000001003,$0.0000001685,$869,"$9,056"
17,COMP,"Oct 02, 2021",$0.0000001405,$0.0000001763,$0.00000006447,$0.0000001227,"$4,896","$6,593"
18,COMP,"Oct 01, 2021",$0.0000001389,$0.0000002006,$0.0000000369,$0.0000001406,"$29,492","$7,553"
19,COMP,"Sep 30, 2021",$0.000000179,$0.0000002533,$0.0000001336,$0.0000001389,"$1,328","$7,462"
20,COMP,"Sep 29, 2021",$0.0000001988,$0.0000002779,$0.0000001607,$0.0000001787,$566,"$9,603"
21,COMP,"Sep 28, 2021",$0.0000001402,$0.0000002782,$0.0000001397,$0.0000001984,$651,"$10,660"
22,COMP,"Sep 27, 2021",$0.000000289,$0.0000006738,$0.00000002875,$0.0000001401,"$3,793","$7,525"
23,COMP,"Sep 26, 2021",$0.0000001711,$0.0000003281,$0.00000004764,$0.0000002892,"$5,830","$15,542"
24,COMP,"Sep 25, 2021",$0.0000001361,$0.0000001738,$0.0000001332,$0.0000001712,$227,"$9,197"
25,COMP,"Sep 24, 2021",$0.0000001461,$0.0000001484,$0.0000001285,$0.0000001362,$10,"$7,318"
26,COMP,"Sep 23, 2021",$0.0000001417,$0.000000147,$0.0000001374,$0.0000001462,$0,"$7,858"
27,COMP,"Sep 22, 2021",$0.0000001266,$0.0000001468,$0.0000001261,$0.0000001416,$13,"$7,608"
28,COMP,"Sep 21, 2021",$0.0000001429,$0.0000001483,$0.0000001248,$0.000000126,$2,"$6,769"
29,COMP,"Sep 20, 2021",$0.0000001469,$0.0000001618,$0.00000014,$0.000000143,$31,"$7,684"
30,COMP,"Sep 19, 2021",$0.00000014,$0.0000001492,$0.0000001342,$0.0000001469,$0,"$7,893"
31,COMP,"Sep 18, 2021",$0.0000001991,$0.0000002046,$0.0000001384,$0.0000001399,$1,"$7,519"
32,COMP,"Sep 17, 2021",$0.0000002013,$0.0000002154,$0.0000001976,$0.000000199,$57,"$10,691"
33,COMP,"Sep 16, 2021",$0.0000002006,$0.0000002021,$0.0000001707,$0.0000002011,$30,"$10,805"
34,COMP,"Sep 15, 2021",$0.0000001998,$0.0000002163,$0.0000001892,$0.0000002003,$37,"$10,765"
35,COMP,"Sep 14, 2021",$0.0000002123,$0.0000002175,$0.0000001975,$0.0000001995,$3,"$10,722"
36,COMP,"Sep 13, 2021",$0.00000022,$0.0000002202,$0.0000002,$0.0000002125,$18,"$11,416"
37,COMP,"Sep 12, 2021",$0.00000018,$0.00000023,$0.00000017,$0.00000022,$264,"$11,999"
38,COMP,"Sep 11, 2021",$0.00000018,$0.00000019,$0.00000017,$0.00000018,$11,"$9,465"
39,COMP,"Sep 10, 2021",$0.00000021,$0.00000022,$0.00000017,$0.00000018,$94,"$9,656"
40,COMP,"Sep 09, 2021",$0.00000023,$0.00000024,$0.0000002,$0.00000021,$3,"$11,125"
41,COMP,"Sep 08, 2021",$0.00000019,$0.00000025,$0.00000019,$0.00000023,$71,"$12,574"
42,COMP,"Sep 07, 2021",$0.00000028,$0.00000029,$0.00000019,$0.00000019,$40,"$10,379"
43,COMP,"Sep 06, 2021",$0.00000027,$0.00000029,$0.00000027,$0.00000028,$21,"$15,267"
44,COMP,"Sep 05, 2021",$0.00000026,$0.00000027,$0.00000026,$0.00000027,$2,"$14,552"
45,COMP,"Sep 04, 2021",$0.00000025,$0.00000027,$0.00000025,$0.00000026,$31,"$13,833"
46,COMP,"Sep 03, 2021",$0.00000028,$0.00000028,$0.00000025,$0.00000025,$1,"$13,541"
47,COMP,"Sep 02, 2021",$0.00000028,$0.00000029,$0.00000027,$0.00000028,$33,"$15,120"
48,COMP,"Sep 01, 2021",$0.00000023,$0.00000028,$0.00000022,$0.00000028,$0,"$14,870"
