symbol,date,open,high,low,close,volume,marketCap
COVAL,"Oct 29, 2021",$0.01343,$0.01389,$0.01304,$0.0138,"$13,633","$13,797,133"
COVAL,"Oct 28, 2021",$0.01386,$0.01394,$0.01186,$0.01342,"$23,030","$13,424,459"
COVAL,"Oct 27, 2021",$0.01684,$0.01706,$0.01207,$0.01386,"$20,472","$13,858,612"
COVAL,"Oct 26, 2021",$0.01791,$0.01799,$0.01618,$0.01684,"$23,058","$16,835,201"
COVAL,"Oct 25, 2021",$0.01683,$0.02385,$0.01517,$0.01791,"$19,774","$17,906,584"
COVAL,"Oct 24, 2021",$0.01486,$0.01694,$0.01271,$0.01684,"$19,394","$16,840,067"
COVAL,"Oct 23, 2021",$0.01454,$0.0153,$0.01406,$0.01485,"$8,227","$14,847,973"
COVAL,"Oct 22, 2021",$0.01646,$0.01647,$0.01368,$0.01453,"$32,722","$14,531,751"
COVAL,"Oct 21, 2021",$0.01633,$0.01669,$0.01588,$0.01646,"$24,610","$16,464,912"
COVAL,"Oct 20, 2021",$0.01835,$0.01874,$0.01559,$0.01633,"$33,637","$16,325,646"
COVAL,"Oct 19, 2021",$0.0189,$0.01906,$0.01835,$0.01835,"$13,630","$18,354,233"
COVAL,"Oct 18, 2021",$0.01772,$0.01907,$0.01749,$0.0189,"$32,251","$18,900,926"
COVAL,"Oct 17, 2021",$0.01456,$0.01787,$0.01426,$0.01772,"$46,524","$17,715,786"
COVAL,"Oct 16, 2021",$0.01694,$0.02447,$0.01439,$0.01456,"$26,144","$14,557,566"
COVAL,"Oct 15, 2021",$0.01857,$0.02353,$0.0166,$0.01694,"$16,471","$16,940,465"
COVAL,"Oct 14, 2021",$0.0186,$0.01882,$0.018,$0.01857,"$9,725","$18,565,634"
COVAL,"Oct 13, 2021",$0.0186,$0.0188,$0.01829,$0.0186,"$21,552","$18,603,102"
COVAL,"Oct 12, 2021",$0.01848,$0.01889,$0.01835,$0.01859,"$26,212","$18,594,586"
COVAL,"Oct 11, 2021",$0.01849,$0.01888,$0.01839,$0.01848,"$28,025","$18,483,118"
COVAL,"Oct 10, 2021",$0.02478,$0.02494,$0.01585,$0.01849,"$30,342","$18,485,084"
COVAL,"Oct 09, 2021",$0.02298,$0.02498,$0.02242,$0.02478,"$31,421","$24,780,357"
COVAL,"Oct 08, 2021",$0.02271,$0.02299,$0.02265,$0.02298,"$21,038","$22,981,058"
COVAL,"Oct 07, 2021",$0.02386,$0.02418,$0.02265,$0.02271,"$12,653","$22,709,790"
COVAL,"Oct 06, 2021",$0.02048,$0.02409,$0.02035,$0.02386,"$45,186","$23,858,712"
COVAL,"Oct 05, 2021",$0.02207,$0.02227,$0.01989,$0.02048,"$10,749","$20,480,352"
COVAL,"Oct 04, 2021",$0.01673,$0.0221,$0.01628,$0.02207,"$59,448","$22,071,236"
COVAL,"Oct 03, 2021",$0.0201,$0.02024,$0.01639,$0.01673,"$18,732","$16,733,351"
COVAL,"Oct 02, 2021",$0.01912,$0.02136,$0.019,$0.0201,"$21,205","$20,098,742"
COVAL,"Oct 01, 2021",$0.02134,$0.02244,$0.01788,$0.01912,"$51,386","$19,122,271"
COVAL,"Sep 30, 2021",$0.01826,$0.02274,$0.01802,$0.02134,"$23,805","$21,337,574"
COVAL,"Sep 29, 2021",$0.02237,$0.02237,$0.0178,$0.01825,"$36,877","$18,252,095"
COVAL,"Sep 28, 2021",$0.02237,$0.02321,$0.02192,$0.02237,"$36,631","$22,365,361"
COVAL,"Sep 27, 2021",$0.01853,$0.02739,$0.01795,$0.02237,"$65,518","$22,371,222"
COVAL,"Sep 26, 2021",$0.02034,$0.02049,$0.01507,$0.01853,"$48,233","$18,531,450"
COVAL,"Sep 25, 2021",$0.01747,$0.02603,$0.01713,$0.02034,"$366,463","$20,340,473"
COVAL,"Sep 24, 2021",$0.01639,$0.01817,$0.01574,$0.01747,"$104,379","$17,471,387"
COVAL,"Sep 23, 2021",$0.01367,$0.01896,$0.01334,$0.01639,"$108,824","$16,394,010"
COVAL,"Sep 22, 2021",$0.0152,$0.01553,$0.01291,$0.01367,"$128,727","$13,671,723"
COVAL,"Sep 21, 2021",$0.0145,$0.01645,$0.01439,$0.01519,"$17,097","$15,194,588"
COVAL,"Sep 20, 2021",$0.01812,$0.01848,$0.01345,$0.0145,"$38,721","$14,504,362"
COVAL,"Sep 19, 2021",$0.01669,$0.01844,$0.01661,$0.01812,"$78,056","$18,121,660"
COVAL,"Sep 18, 2021",$0.01835,$0.01845,$0.01521,$0.01669,"$39,229","$16,690,309"
COVAL,"Sep 17, 2021",$0.01892,$0.01963,$0.01231,$0.01835,"$36,203","$18,352,307"
COVAL,"Sep 16, 2021",$0.01958,$0.01986,$0.01482,$0.01892,"$43,558","$18,920,626"
COVAL,"Sep 15, 2021",$0.01821,$0.02,$0.01815,$0.01958,"$19,864","$19,580,114"
COVAL,"Sep 14, 2021",$0.01949,$0.01999,$0.01813,$0.01821,"$93,633","$18,207,690"
COVAL,"Sep 13, 2021",$0.01873,$0.01997,$0.01335,$0.01949,"$39,899","$19,491,511"
COVAL,"Sep 12, 2021",$0.01747,$0.01998,$0.01694,$0.01873,"$19,954","$18,727,063"
COVAL,"Sep 11, 2021",$0.01637,$0.01747,$0.0147,$0.01747,"$52,068","$17,470,605"
