symbol,date,open,high,low,close,volume,marketCap
CTF,"Oct 29, 2021",$1.94,$2.03,$1.86,$1.98,"$2,242",$0
CTF,"Oct 28, 2021",$1.90,$2.02,$1.84,$1.94,"$3,136",$0
CTF,"Oct 27, 2021",$2.21,$2.27,$1.90,$1.90,"$2,706",$0
CTF,"Oct 26, 2021",$2.20,$2.34,$2.19,$2.21,"$3,097",$0
CTF,"Oct 25, 2021",$2.40,$2.43,$2.06,$2.20,"$2,687",$0
CTF,"Oct 24, 2021",$2.47,$2.49,$2.40,$2.40,"$1,772",$0
CTF,"Oct 23, 2021",$2.58,$2.62,$2.43,$2.47,"$1,420",$0
CTF,"Oct 22, 2021",$2.60,$2.73,$2.56,$2.58,"$2,729",$0
CTF,"Oct 21, 2021",$2.53,$2.83,$2.48,$2.60,"$2,364",$0
CTF,"Oct 20, 2021",$2.46,$2.57,$2.44,$2.53,"$1,469",$0
CTF,"Oct 19, 2021",$2.64,$2.72,$2.42,$2.45,"$1,869",$0
CTF,"Oct 18, 2021",$2.50,$2.64,$2.48,$2.64,"$4,195",$0
CTF,"Oct 17, 2021",$2.77,$2.77,$2.42,$2.50,"$3,849",$0
CTF,"Oct 16, 2021",$2.77,$2.86,$2.76,$2.77,$737,$0
CTF,"Oct 15, 2021",$2.77,$2.81,$2.65,$2.77,"$1,297",$0
CTF,"Oct 14, 2021",$2.91,$3.00,$2.75,$2.77,"$2,020",$0
CTF,"Oct 13, 2021",$3.01,$3.19,$2.85,$2.91,"$8,029",$0
CTF,"Oct 12, 2021",$2.58,$3.17,$2.52,$3.00,"$8,332",$0
CTF,"Oct 11, 2021",$2.54,$2.84,$2.53,$2.59,"$3,741",$0
CTF,"Oct 10, 2021",$2.84,$2.96,$2.54,$2.54,"$2,672",$0
CTF,"Oct 09, 2021",$2.77,$2.93,$2.77,$2.84,"$2,240",$0
CTF,"Oct 08, 2021",$3.09,$3.15,$2.76,$2.77,"$2,956",$0
CTF,"Oct 07, 2021",$3.19,$3.26,$2.98,$3.09,"$2,545",$0
CTF,"Oct 06, 2021",$3.42,$3.42,$3.14,$3.19,"$1,514",$0
CTF,"Oct 05, 2021",$3.26,$3.43,$3.23,$3.42,"$2,650",$0
CTF,"Oct 04, 2021",$3.38,$3.38,$3.17,$3.26,"$2,321",$0
CTF,"Oct 03, 2021",$3.40,$3.44,$3.36,$3.38,"$1,742",$0
CTF,"Oct 02, 2021",$3.36,$3.67,$3.29,$3.40,"$5,859",$0
CTF,"Oct 01, 2021",$3.58,$4.02,$3.35,$3.36,"$5,995",$0
CTF,"Sep 30, 2021",$3.36,$3.59,$3.26,$3.58,"$8,286",$0
CTF,"Sep 29, 2021",$3.27,$3.71,$2.93,$3.36,"$11,511",$0
CTF,"Sep 28, 2021",$2.98,$3.70,$2.96,$3.28,"$7,823",$0
CTF,"Sep 27, 2021",$3.50,$3.55,$2.81,$2.98,"$6,598",$0
CTF,"Sep 26, 2021",$3.57,$3.59,$3.28,$3.50,$0,$0
CTF,"Sep 25, 2021",$2.77,$3.88,$2.69,$3.57,"$4,224",$0
CTF,"Sep 24, 2021",$2.78,$2.81,$2.42,$2.77,$136,$0
CTF,"Sep 23, 2021",$3.17,$3.24,$2.76,$2.78,$73,$0
CTF,"Sep 22, 2021",$3.00,$3.30,$3.00,$3.16,"$5,730",$0
CTF,"Sep 21, 2021",$2.62,$4.34,$2.07,$3.00,"$7,082",$0
CTF,"Sep 20, 2021",$3.72,$3.72,$2.60,$2.62,"$9,149",$0
CTF,"Sep 19, 2021",$4.23,$4.37,$3.26,$3.73,"$11,552",$0
