symbol,date,open,high,low,close,volume,marketCap
CUB,"Oct 29, 2021",$0.4144,$0.4339,$0.4139,$0.4289,"$102,283",$0
CUB,"Oct 28, 2021",$0.4036,$0.4166,$0.4019,$0.4144,"$160,829",$0
CUB,"Oct 27, 2021",$0.4252,$0.428,$0.4034,$0.4036,"$106,733",$0
CUB,"Oct 26, 2021",$0.4296,$0.4324,$0.4235,$0.4255,"$16,141",$0
CUB,"Oct 25, 2021",$0.4309,$0.4361,$0.4281,$0.4296,"$17,911",$0
CUB,"Oct 24, 2021",$0.4357,$0.4368,$0.4269,$0.4308,"$138,541",$0
CUB,"Oct 23, 2021",$0.4262,$0.4461,$0.4249,$0.4358,"$166,577",$0
CUB,"Oct 22, 2021",$0.4261,$0.4343,$0.4245,$0.4262,"$78,393",$0
CUB,"Oct 21, 2021",$0.4402,$0.4434,$0.4254,$0.4263,"$88,331",$0
CUB,"Oct 20, 2021",$0.435,$0.4439,$0.4336,$0.44,"$150,685",$0
CUB,"Oct 19, 2021",$0.4213,$0.4373,$0.4189,$0.4349,"$158,752",$0
CUB,"Oct 18, 2021",$0.4101,$0.4245,$0.4074,$0.4212,"$87,231",$0
CUB,"Oct 17, 2021",$0.412,$0.4136,$0.4061,$0.4101,"$109,983",$0
CUB,"Oct 16, 2021",$0.4054,$0.4164,$0.4045,$0.4122,"$113,669",$0
CUB,"Oct 15, 2021",$0.4099,$0.4099,$0.3995,$0.4055,"$85,435",$0
CUB,"Oct 14, 2021",$0.4149,$0.4182,$0.4061,$0.4099,"$216,387",$0
CUB,"Oct 13, 2021",$0.392,$0.4185,$0.3916,$0.4148,"$250,381",$0
CUB,"Oct 12, 2021",$0.3833,$0.3918,$0.3732,$0.3918,"$137,591",$0
CUB,"Oct 11, 2021",$0.3796,$0.3955,$0.3775,$0.3835,"$97,513",$0
CUB,"Oct 10, 2021",$0.3898,$0.3919,$0.3769,$0.3797,"$66,425",$0
CUB,"Oct 09, 2021",$0.3895,$0.3935,$0.3879,$0.3897,"$58,880",$0
CUB,"Oct 08, 2021",$0.3955,$0.3991,$0.3869,$0.3895,"$76,265",$0
CUB,"Oct 07, 2021",$0.3937,$0.4029,$0.3903,$0.3955,"$102,998",$0
CUB,"Oct 06, 2021",$0.4083,$0.4083,$0.3924,$0.3935,"$103,281",$0
CUB,"Oct 05, 2021",$0.406,$0.4121,$0.4017,$0.4083,"$80,003",$0
CUB,"Oct 04, 2021",$0.4082,$0.4087,$0.4011,$0.406,"$88,158",$0
CUB,"Oct 03, 2021",$0.4113,$0.4127,$0.395,$0.4083,"$85,629",$0
CUB,"Oct 02, 2021",$0.4107,$0.4179,$0.406,$0.4112,"$131,942",$0
CUB,"Oct 01, 2021",$0.4129,$0.4151,$0.4037,$0.4107,"$155,366",$0
CUB,"Sep 30, 2021",$0.4188,$0.4272,$0.4119,$0.4129,"$132,290",$0
CUB,"Sep 29, 2021",$0.4107,$0.4217,$0.4075,$0.4189,"$136,931",$0
