symbol,date,open,high,low,close,volume,marketCap
CVC,"Oct 22, 2021",$0.0007339,$0.001069,$0.0006139,$0.001007,"$70,481",$0
CVC,"Oct 21, 2021",$0.0005714,$0.0007547,$0.0004208,$0.0007348,"$60,289",$0
CVC,"Oct 20, 2021",$0.0006688,$0.0007125,$0.0004445,$0.0005709,"$131,159",$0
CVC,"Oct 19, 2021",$0.0009312,$0.0009421,$0.0001884,$0.0006685,"$130,736",$0
CVC,"Oct 18, 2021",$0.001231,$0.001233,$0.0008471,$0.0009308,"$160,449",$0
CVC,"Oct 17, 2021",$0.001242,$0.002158,$0.0005859,$0.001231,"$153,698",$0
CVC,"Oct 16, 2021",$0.001999,$0.002007,$0.00119,$0.001244,"$54,779",$0
CVC,"Oct 15, 2021",$0.001947,$0.002338,$0.001834,$0.002,"$51,692",$0
CVC,"Oct 14, 2021",$0.001708,$0.002205,$0.001704,$0.001948,"$49,165",$0
CVC,"Oct 13, 2021",$0.001273,$0.00182,$0.001249,$0.001707,"$169,034",$0
CVC,"Oct 12, 2021",$0.002827,$0.002829,$0.0007784,$0.001271,"$192,339",$0
CVC,"Oct 11, 2021",$0.003582,$0.004104,$0.002725,$0.00283,"$271,398",$0
CVC,"Oct 10, 2021",$0.002308,$0.005613,$0.002223,$0.003587,"$258,688",$0
CVC,"Oct 09, 2021",$0.001527,$0.002767,$0.001498,$0.002307,"$165,689",$0
CVC,"Oct 08, 2021",$0.0008639,$0.001941,$0.0008639,$0.001526,"$125,048",$0
CVC,"Oct 07, 2021",$0.5561,$0.5561,$0.5202,$0.547,"$92,618,352","$366,471,100"
CVC,"Oct 06, 2021",$0.5236,$0.5861,$0.5035,$0.5561,"$239,504,836","$372,603,996"
CVC,"Oct 05, 2021",$0.5123,$0.5337,$0.4966,$0.5212,"$88,401,849","$349,179,376"
CVC,"Oct 04, 2021",$0.5201,$0.5389,$0.4895,$0.5114,"$121,661,428","$342,658,216"
CVC,"Oct 03, 2021",$0.4756,$0.5498,$0.4746,$0.5191,"$186,222,376","$347,774,913"
CVC,"Oct 02, 2021",$0.4783,$0.4947,$0.4656,$0.4779,"$68,685,523","$320,198,990"
CVC,"Oct 01, 2021",$0.4357,$0.4788,$0.4353,$0.4781,"$112,700,580","$320,307,160"
CVC,"Sep 30, 2021",$0.397,$0.4543,$0.3936,$0.436,"$148,920,466","$292,088,197"
CVC,"Sep 29, 2021",$0.3944,$0.4146,$0.389,$0.397,"$43,513,494","$265,999,894"
CVC,"Sep 28, 2021",$0.4157,$0.4264,$0.3926,$0.3936,"$41,255,667","$263,710,696"
CVC,"Sep 27, 2021",$0.4367,$0.4482,$0.4153,$0.4161,"$49,736,036","$278,754,190"
CVC,"Sep 26, 2021",$0.4578,$0.4578,$0.4075,$0.436,"$59,259,159","$292,102,973"
CVC,"Sep 25, 2021",$0.4816,$0.4927,$0.4478,$0.4582,"$79,802,731","$306,986,027"
CVC,"Sep 24, 2021",$0.5337,$0.5337,$0.442,$0.4824,"$190,403,899","$323,221,792"
CVC,"Sep 23, 2021",$0.4308,$0.5389,$0.4123,$0.528,"$282,410,288","$353,747,576"
CVC,"Sep 22, 2021",$0.3816,$0.433,$0.3725,$0.4309,"$77,613,110","$288,705,188"
CVC,"Sep 21, 2021",$0.4204,$0.4319,$0.3748,$0.3821,"$66,361,582","$255,979,802"
CVC,"Sep 20, 2021",$0.5003,$0.5044,$0.4025,$0.4175,"$124,811,307","$279,744,484"
CVC,"Sep 19, 2021",$0.5371,$0.5371,$0.4901,$0.5001,"$64,048,840","$335,038,759"
CVC,"Sep 18, 2021",$0.5519,$0.5619,$0.5291,$0.5389,"$79,714,154","$361,033,357"
CVC,"Sep 17, 2021",$0.5368,$0.6035,$0.5222,$0.5511,"$289,478,527","$369,242,759"
CVC,"Sep 16, 2021",$0.5315,$0.5532,$0.5094,$0.5389,"$129,235,844","$361,078,512"
CVC,"Sep 15, 2021",$0.5063,$0.5379,$0.4978,$0.532,"$80,692,105","$356,426,327"
CVC,"Sep 14, 2021",$0.4936,$0.5187,$0.4892,$0.5062,"$109,468,907","$339,121,533"
CVC,"Sep 13, 2021",$0.5202,$0.5719,$0.4639,$0.4927,"$222,137,918","$330,131,183"
CVC,"Sep 12, 2021",$0.527,$0.5318,$0.4983,$0.5196,"$76,760,399","$348,124,599"
CVC,"Sep 11, 2021",$0.5288,$0.5522,$0.5194,$0.527,"$95,899,204","$353,068,281"
CVC,"Sep 10, 2021",$0.5831,$0.5882,$0.5082,$0.5271,"$140,449,890","$353,141,830"
CVC,"Sep 09, 2021",$0.6036,$0.6469,$0.5099,$0.5823,"$528,076,647","$390,139,575"
CVC,"Sep 08, 2021",$0.5077,$0.5462,$0.4635,$0.5338,"$275,676,439","$357,637,547"
CVC,"Sep 07, 2021",$0.6371,$0.6794,$0.4334,$0.5069,"$482,914,884","$339,624,874"
CVC,"Sep 06, 2021",$0.6253,$0.6559,$0.5967,$0.6377,"$547,944,892","$427,280,290"
CVC,"Sep 05, 2021",$0.9457,$0.9567,$0.6141,$0.6244,"$1,116,576,825","$418,321,380"
CVC,"Sep 04, 2021",$0.3935,$0.9594,$0.3929,$0.9594,"$3,984,306,813","$642,767,222"
CVC,"Sep 03, 2021",$0.3568,$0.4012,$0.3471,$0.3923,"$150,864,410","$262,823,540"
CVC,"Sep 02, 2021",$0.3524,$0.3659,$0.3476,$0.3551,"$51,103,905","$237,890,830"
CVC,"Sep 01, 2021",$0.3402,$0.3547,$0.3333,$0.3526,"$50,289,741","$236,220,149"
CVC,"Aug 31, 2021",$0.3342,$0.3633,$0.3226,$0.3409,"$87,009,626","$228,400,251"
CVC,"Aug 30, 2021",$0.3533,$0.3533,$0.3306,$0.3331,"$46,083,444","$223,184,708"
CVC,"Aug 29, 2021",$0.3468,$0.3549,$0.3277,$0.352,"$53,794,561","$235,834,480"
CVC,"Aug 28, 2021",$0.3407,$0.3505,$0.3373,$0.3482,"$52,715,059","$233,271,690"
CVC,"Aug 27, 2021",$0.3232,$0.3419,$0.3032,$0.3419,"$67,609,258","$229,083,332"
CVC,"Aug 26, 2021",$0.3565,$0.3585,$0.3168,$0.3221,"$46,514,621","$215,828,631"
CVC,"Aug 25, 2021",$0.3483,$0.3693,$0.3286,$0.3563,"$76,975,277","$238,700,301"
CVC,"Aug 24, 2021",$0.3754,$0.383,$0.3334,$0.3456,"$72,235,461","$231,542,967"
CVC,"Aug 23, 2021",$0.365,$0.3793,$0.355,$0.3743,"$101,200,401","$250,749,048"
CVC,"Aug 22, 2021",$0.3386,$0.3729,$0.3321,$0.365,"$141,683,240","$244,557,811"
