symbol,date,open,high,low,close,volume,marketCap
CVP,"Oct 29, 2021",$1.61,$1.69,$1.60,$1.67,"$5,923,896","$59,069,647"
CVP,"Oct 28, 2021",$1.56,$1.64,$1.51,$1.61,"$7,056,204","$57,078,930"
CVP,"Oct 27, 2021",$1.78,$1.80,$1.56,$1.56,"$6,395,643","$55,375,314"
CVP,"Oct 26, 2021",$1.83,$1.84,$1.77,$1.78,"$4,934,380","$63,053,965"
CVP,"Oct 25, 2021",$1.81,$1.90,$1.78,$1.83,"$6,558,905","$65,021,052"
CVP,"Oct 24, 2021",$1.85,$2.09,$1.76,$1.81,"$17,643,584","$64,090,307"
CVP,"Oct 23, 2021",$1.84,$1.90,$1.81,$1.85,"$6,721,820","$65,583,407"
CVP,"Oct 22, 2021",$1.85,$1.89,$1.81,$1.83,"$5,158,223","$64,988,547"
CVP,"Oct 21, 2021",$1.90,$1.93,$1.83,$1.85,"$7,374,562","$65,524,121"
CVP,"Oct 20, 2021",$1.87,$1.94,$1.84,$1.90,"$8,019,887","$67,432,717"
CVP,"Oct 19, 2021",$1.94,$1.98,$1.84,$1.87,"$5,808,365","$66,270,992"
CVP,"Oct 18, 2021",$1.97,$2.03,$1.91,$1.94,"$6,576,142","$68,574,731"
CVP,"Oct 17, 2021",$1.94,$2.35,$1.92,$1.97,"$29,482,070","$69,595,115"
CVP,"Oct 16, 2021",$1.95,$2.03,$1.93,$1.94,"$8,531,266","$68,646,333"
CVP,"Oct 15, 2021",$2.04,$2.04,$1.90,$1.95,"$10,279,483","$69,154,013"
CVP,"Oct 14, 2021",$2.00,$2.09,$1.96,$2.04,"$9,788,862","$72,330,375"
CVP,"Oct 13, 2021",$1.97,$2.03,$1.95,$2.00,"$9,727,392","$69,885,354"
CVP,"Oct 12, 2021",$2.10,$2.11,$1.90,$1.97,"$10,941,564","$68,732,026"
CVP,"Oct 11, 2021",$2.49,$2.57,$2.06,$2.11,"$29,909,087","$73,580,706"
CVP,"Oct 10, 2021",$2.12,$2.53,$2.06,$2.45,"$31,694,406","$85,641,533"
CVP,"Oct 09, 2021",$2.15,$2.24,$2.10,$2.12,"$12,633,910","$73,857,457"
CVP,"Oct 08, 2021",$2.19,$2.33,$2.14,$2.15,"$19,829,120","$74,836,007"
CVP,"Oct 07, 2021",$2.29,$2.31,$2.18,$2.20,"$21,846,609","$76,692,778"
CVP,"Oct 06, 2021",$2.37,$2.45,$2.21,$2.29,"$24,508,295","$79,726,885"
CVP,"Oct 05, 2021",$2.46,$2.68,$2.31,$2.37,"$40,016,291","$82,707,713"
CVP,"Oct 04, 2021",$2.15,$3.21,$2.13,$2.46,"$116,833,438","$85,877,996"
CVP,"Oct 03, 2021",$2.26,$2.31,$2.14,$2.15,"$15,559,192","$74,839,341"
CVP,"Oct 02, 2021",$2.27,$2.49,$2.21,$2.26,"$26,205,695","$78,930,615"
CVP,"Oct 01, 2021",$2.04,$2.61,$2.02,$2.27,"$51,015,892","$79,031,741"
CVP,"Sep 30, 2021",$2.13,$2.28,$2.02,$2.04,"$50,336,374","$71,048,356"
CVP,"Sep 29, 2021",$2.33,$2.49,$2.08,$2.14,"$52,022,412","$74,370,883"
CVP,"Sep 28, 2021",$2.62,$2.63,$2.30,$2.33,"$63,836,454","$81,007,490"
CVP,"Sep 27, 2021",$3.15,$4.02,$2.54,$2.63,"$182,926,451","$91,466,172"
