symbol,date,open,high,low,close,volume,marketCap
CZF,"Oct 29, 2021",$0.0001507,$0.0001507,$0.000129,$0.0001467,"$97,201",$0
CZF,"Oct 28, 2021",$0.000177,$0.0001787,$0.0001495,$0.0001507,"$53,681",$0
CZF,"Oct 27, 2021",$0.000191,$0.0001946,$0.0001758,$0.0001771,"$48,453",$0
CZF,"Oct 26, 2021",$0.0001624,$0.0001946,$0.0001617,$0.0001911,"$109,621",$0
CZF,"Oct 25, 2021",$0.0001173,$0.0001752,$0.000117,$0.0001624,"$81,645",$0
CZF,"Oct 24, 2021",$0.0001162,$0.0001192,$0.0001131,$0.0001173,"$68,259",$0
CZF,"Oct 23, 2021",$0.0001397,$0.0001417,$0.0001162,$0.0001162,"$142,390",$0
CZF,"Oct 22, 2021",$0.0002002,$0.0002002,$0.0001394,$0.0001397,"$170,371",$0
CZF,"Oct 21, 2021",$0.0002922,$0.0002927,$0.0001963,$0.0002003,"$174,367",$0
CZF,"Oct 20, 2021",$0.0003249,$0.0003251,$0.0002859,$0.000292,"$147,475",$0
CZF,"Oct 19, 2021",$0.0003177,$0.0003285,$0.0003103,$0.0003248,"$131,562",$0
CZF,"Oct 18, 2021",$0.0003431,$0.0003599,$0.0003028,$0.0003176,"$142,876",$0
CZF,"Oct 17, 2021",$0.0004006,$0.0004008,$0.0003415,$0.0003431,"$145,167",$0
CZF,"Oct 16, 2021",$0.000422,$0.0004434,$0.0003986,$0.0004009,"$184,494",$0
CZF,"Oct 15, 2021",$0.0004265,$0.0004403,$0.0004047,$0.0004221,"$243,989",$0
CZF,"Oct 14, 2021",$0.0004087,$0.0004592,$0.0004026,$0.0004236,"$226,435",$0
CZF,"Oct 13, 2021",$0.000473,$0.0004791,$0.0004053,$0.0004085,"$170,012",$0
CZF,"Oct 12, 2021",$0.0004647,$0.000481,$0.0004409,$0.0004725,"$361,365",$0
CZF,"Oct 11, 2021",$0.0004096,$0.0004705,$0.0004056,$0.0004651,"$784,450",$0
CZF,"Oct 10, 2021",$0.0003933,$0.0004349,$0.0003923,$0.0004101,"$577,920",$0
