symbol,date,open,high,low,close,volume,marketCap
DAFI,"Oct 22, 2021",$0.04046,$0.04094,$0.03938,$0.03945,"$369,836","$13,772,698"
DAFI,"Oct 21, 2021",$0.04245,$0.04285,$0.03971,$0.04048,"$513,854","$14,130,285"
DAFI,"Oct 20, 2021",$0.04283,$0.04312,$0.04184,$0.04245,"$317,980","$14,820,548"
DAFI,"Oct 19, 2021",$0.04348,$0.0435,$0.04257,$0.04284,"$219,735","$14,954,129"
DAFI,"Oct 18, 2021",$0.04351,$0.04413,$0.04311,$0.04348,"$337,387","$15,180,222"
DAFI,"Oct 17, 2021",$0.04283,$0.04364,$0.04263,$0.0435,"$316,346","$15,184,296"
DAFI,"Oct 16, 2021",$0.043,$0.0433,$0.04275,$0.04283,"$240,759","$14,950,865"
DAFI,"Oct 15, 2021",$0.04333,$0.04353,$0.0427,$0.043,"$298,807","$15,010,388"
DAFI,"Oct 14, 2021",$0.04419,$0.04457,$0.04322,$0.04334,"$345,390","$15,130,169"
DAFI,"Oct 13, 2021",$0.04312,$0.04426,$0.0427,$0.04419,"$360,145","$15,425,059"
DAFI,"Oct 12, 2021",$0.04448,$0.0445,$0.04296,$0.04311,"$306,075","$15,049,884"
DAFI,"Oct 11, 2021",$0.04521,$0.04526,$0.04439,$0.04448,"$258,604","$15,529,106"
DAFI,"Oct 10, 2021",$0.04616,$0.04618,$0.04511,$0.04521,"$297,957","$15,782,943"
DAFI,"Oct 09, 2021",$0.04676,$0.04754,$0.04604,$0.04618,"$385,872","$16,119,377"
DAFI,"Oct 08, 2021",$0.04893,$0.04918,$0.04675,$0.04676,"$456,085","$16,324,828"
DAFI,"Oct 07, 2021",$0.04907,$0.04941,$0.04793,$0.04894,"$287,715","$17,084,638"
DAFI,"Oct 06, 2021",$0.04886,$0.04977,$0.04745,$0.04907,"$473,909","$17,128,635"
DAFI,"Oct 05, 2021",$0.04791,$0.04919,$0.04784,$0.04888,"$334,203","$17,064,894"
DAFI,"Oct 04, 2021",$0.04823,$0.05153,$0.04647,$0.04791,"$487,150","$16,723,585"
DAFI,"Oct 03, 2021",$0.05275,$0.05275,$0.04822,$0.04822,"$297,932","$16,834,055"
DAFI,"Oct 02, 2021",$0.05352,$0.05375,$0.05203,$0.05277,"$302,590","$18,422,034"
DAFI,"Oct 01, 2021",$0.04827,$0.05418,$0.04809,$0.05352,"$375,369","$18,682,581"
DAFI,"Sep 30, 2021",$0.04762,$0.04993,$0.04654,$0.04827,"$367,300","$16,849,200"
DAFI,"Sep 29, 2021",$0.04767,$0.04948,$0.04712,$0.04764,"$311,437","$16,629,742"
DAFI,"Sep 28, 2021",$0.05498,$0.05508,$0.04752,$0.04769,"$343,361","$16,647,651"
DAFI,"Sep 27, 2021",$0.0503,$0.06575,$0.04998,$0.05498,"$1,186,096","$19,192,546"
DAFI,"Sep 26, 2021",$0.04276,$0.05223,$0.04128,$0.05031,"$735,644","$17,563,496"
DAFI,"Sep 25, 2021",$0.04115,$0.04359,$0.04087,$0.04276,"$340,763","$14,928,859"
DAFI,"Sep 24, 2021",$0.04391,$0.0441,$0.0401,$0.04115,"$227,769","$14,364,758"
DAFI,"Sep 23, 2021",$0.04256,$0.04519,$0.04237,$0.0439,"$538,432","$15,326,525"
DAFI,"Sep 22, 2021",$0.03777,$0.04257,$0.03751,$0.04256,"$473,696","$14,855,939"
DAFI,"Sep 21, 2021",$0.04124,$0.04263,$0.03777,$0.03777,"$390,760","$13,186,448"
DAFI,"Sep 20, 2021",$0.05067,$0.05078,$0.04112,$0.04126,"$429,754","$14,402,287"
DAFI,"Sep 19, 2021",$0.05274,$0.05282,$0.04924,$0.05067,"$293,893","$17,688,140"
DAFI,"Sep 18, 2021",$0.05452,$0.05577,$0.05222,$0.05273,"$328,973","$18,409,355"
DAFI,"Sep 17, 2021",$0.05716,$0.05835,$0.05435,$0.05451,"$278,888","$19,027,512"
