,symbol,date,open,high,low,close,volume,marketCap
0,DAV,"Oct 19, 2021",$0.002212,$0.002364,$0.002144,$0.002249,"$1,221,947","$1,559,826"
1,DAV,"Oct 18, 2021",$0.002078,$0.002303,$0.002057,$0.002212,"$1,068,637","$1,534,186"
2,DAV,"Oct 17, 2021",$0.002375,$0.002464,$0.001977,$0.002078,"$1,125,810","$1,441,658"
3,DAV,"Oct 16, 2021",$0.002318,$0.002545,$0.002222,$0.002376,"$1,344,103","$1,648,328"
4,DAV,"Oct 15, 2021",$0.002423,$0.002578,$0.002143,$0.002319,"$1,631,485","$1,608,257"
5,DAV,"Oct 14, 2021",$0.002416,$0.002592,$0.002369,$0.002424,"$1,548,296","$1,681,672"
6,DAV,"Oct 13, 2021",$0.001851,$0.002535,$0.001813,$0.002414,"$1,508,205","$1,674,786"
7,DAV,"Oct 12, 2021",$0.002021,$0.002291,$0.001744,$0.001852,"$1,279,019","$1,284,416"
8,DAV,"Oct 11, 2021",$0.001885,$0.00247,$0.001863,$0.00202,"$1,343,743","$1,401,181"
9,DAV,"Oct 10, 2021",$0.002574,$0.00259,$0.001688,$0.001887,"$1,139,652","$1,308,689"
10,DAV,"Oct 09, 2021",$0.002742,$0.002827,$0.001977,$0.002575,"$1,885,317","$1,785,946"
11,DAV,"Oct 08, 2021",$0.001864,$0.006019,$0.0008637,$0.002741,"$2,006,206","$1,901,049"
12,DAV,"Oct 07, 2021",$0.002148,$0.002148,$0.0014,$0.001864,"$1,192,014","$1,292,621"
13,DAV,"Oct 06, 2021",$0.002393,$0.002556,$0.002112,$0.002151,"$1,814,423","$1,491,830"
14,DAV,"Oct 05, 2021",$0.001758,$0.002439,$0.00175,$0.002392,"$1,554,106","$1,659,553"
15,DAV,"Oct 04, 2021",$0.001641,$0.00182,$0.001564,$0.001758,"$1,304,402","$1,219,399"
16,DAV,"Oct 03, 2021",$0.002442,$0.002477,$0.001423,$0.00164,"$1,895,091","$1,137,604"
17,DAV,"Oct 02, 2021",$0.00205,$0.002701,$0.002001,$0.002443,"$1,741,987","$1,694,660"
18,DAV,"Oct 01, 2021",$0.00183,$0.002284,$0.001791,$0.002052,"$1,518,352","$1,423,195"
19,DAV,"Sep 30, 2021",$0.00174,$0.001855,$0.001677,$0.001831,"$1,102,187","$1,269,963"
20,DAV,"Sep 29, 2021",$0.001768,$0.001856,$0.001518,$0.001738,"$1,122,830","$1,205,859"
21,DAV,"Sep 28, 2021",$0.001467,$0.001856,$0.001441,$0.001765,"$1,106,699","$1,224,433"
22,DAV,"Sep 27, 2021",$0.001592,$0.002373,$0.001466,$0.001466,"$1,331,341","$1,017,126"
23,DAV,"Sep 26, 2021",$0.001755,$0.002376,$0.001393,$0.001593,"$1,571,414","$1,105,170"
24,DAV,"Sep 25, 2021",$0.001759,$0.001809,$0.001663,$0.001756,"$1,175,111","$1,218,379"
25,DAV,"Sep 24, 2021",$0.001893,$0.002024,$0.001621,$0.001759,"$1,287,147","$1,220,051"
26,DAV,"Sep 23, 2021",$0.001816,$0.001934,$0.001792,$0.001894,"$1,503,638","$1,313,905"
27,DAV,"Sep 22, 2021",$0.001686,$0.001884,$0.001617,$0.001815,"$1,554,964","$1,258,654"
28,DAV,"Sep 21, 2021",$0.001568,$0.001855,$0.001532,$0.001679,"$1,526,190","$1,164,675"
29,DAV,"Sep 20, 2021",$0.001765,$0.002551,$0.0008122,$0.00157,"$1,983,158","$1,089,354"
30,DAV,"Sep 19, 2021",$0.002368,$0.002756,$0.001761,$0.001765,"$1,482,294","$1,224,318"
31,DAV,"Sep 18, 2021",$0.002685,$0.002978,$0.002276,$0.002366,"$2,004,548","$1,640,957"
32,DAV,"Sep 17, 2021",$0.003071,$0.003083,$0.002557,$0.002682,"$2,295,812","$1,860,495"
33,DAV,"Sep 16, 2021",$0.002566,$0.003075,$0.002507,$0.00307,"$1,634,158","$2,129,475"
34,DAV,"Sep 15, 2021",$0.001989,$0.002917,$0.001294,$0.002555,"$1,566,517","$1,772,184"
35,DAV,"Sep 14, 2021",$0.002168,$0.002251,$0.001917,$0.001987,"$1,275,419","$1,377,999"
36,DAV,"Sep 13, 2021",$0.002147,$0.003053,$0.00181,$0.002169,"$1,520,727","$1,504,504"
37,DAV,"Sep 12, 2021",$0.002581,$0.003332,$0.00146,$0.002148,"$1,352,452","$1,490,148"
38,DAV,"Sep 11, 2021",$0.001157,$0.002676,$0.001124,$0.00258,"$1,265,545","$1,789,628"
39,DAV,"Sep 10, 2021",$0.001474,$0.00151,$0.001109,$0.001156,"$799,652","$801,748"
40,DAV,"Sep 09, 2021",$0.001484,$0.001532,$0.001452,$0.001475,"$945,701","$1,022,963"
41,DAV,"Sep 08, 2021",$0.001473,$0.00153,$0.001387,$0.001502,"$1,045,054","$1,042,151"
42,DAV,"Sep 07, 2021",$0.001689,$0.001696,$0.001317,$0.001474,"$1,526,468","$1,022,364"
43,DAV,"Sep 06, 2021",$0.001541,$0.0017,$0.001515,$0.00169,"$1,070,471","$1,172,306"
44,DAV,"Sep 05, 2021",$0.001557,$0.001595,$0.001502,$0.001542,"$1,171,670","$1,069,631"
45,DAV,"Sep 04, 2021",$0.001576,$0.001588,$0.001497,$0.001556,"$1,039,269","$1,079,121"
46,DAV,"Sep 03, 2021",$0.00152,$0.001614,$0.001455,$0.001575,"$1,051,819","$1,092,574"
47,DAV,"Sep 02, 2021",$0.001535,$0.00154,$0.001457,$0.00152,"$996,141","$1,054,526"
48,DAV,"Sep 01, 2021",$0.001373,$0.001536,$0.001326,$0.001536,"$872,568","$1,065,277"
49,DAV,"Aug 31, 2021",$0.00129,$0.001383,$0.001246,$0.001375,"$733,038","$953,428"
50,DAV,"Aug 30, 2021",$0.001259,$0.001339,$0.001198,$0.00129,"$655,281","$894,493"
51,DAV,"Aug 29, 2021",$0.0012,$0.001271,$0.001137,$0.001226,"$781,375","$850,374"
52,DAV,"Aug 28, 2021",$0.001179,$0.001302,$0.001141,$0.001265,"$708,518","$877,668"
53,DAV,"Aug 27, 2021",$0.001118,$0.001211,$0.001085,$0.001177,"$927,319","$816,668"
54,DAV,"Aug 26, 2021",$0.001164,$0.001204,$0.001105,$0.001118,"$848,979","$775,177"
55,DAV,"Aug 25, 2021",$0.001175,$0.001205,$0.001112,$0.001164,"$862,263","$807,476"
56,DAV,"Aug 24, 2021",$0.001362,$0.001378,$0.001137,$0.001177,"$963,359","$816,157"
57,DAV,"Aug 23, 2021",$0.001493,$0.001577,$0.001315,$0.001362,"$883,991","$944,940"
58,DAV,"Aug 22, 2021",$0.001518,$0.001539,$0.001415,$0.001493,"$903,480","$1,035,863"
59,DAV,"Aug 21, 2021",$0.001907,$0.001907,$0.001461,$0.001518,"$809,881","$1,052,811"
60,DAV,"Aug 20, 2021",$0.002037,$0.002075,$0.001851,$0.001907,"$1,116,959","$1,322,901"
61,DAV,"Aug 19, 2021",$0.002024,$0.002043,$0.001888,$0.002036,"$1,357,544","$1,412,246"
62,DAV,"Aug 18, 2021",$0.001598,$0.002116,$0.001568,$0.002026,"$1,267,413","$1,405,269"
63,DAV,"Aug 17, 2021",$0.001673,$0.001771,$0.001588,$0.001598,"$1,130,046","$1,108,240"
64,DAV,"Aug 16, 2021",$0.002284,$0.002329,$0.001665,$0.001677,"$1,414,935","$1,162,987"
65,DAV,"Aug 15, 2021",$0.002364,$0.00238,$0.002151,$0.002283,"$1,640,812","$1,583,463"
66,DAV,"Aug 14, 2021",$0.001559,$0.002375,$0.001508,$0.002363,"$1,364,487","$1,639,373"
67,DAV,"Aug 13, 2021",$0.001491,$0.001606,$0.001458,$0.00156,"$1,102,835","$1,081,824"
68,DAV,"Aug 12, 2021",$0.001614,$0.00165,$0.001432,$0.001492,"$943,868","$1,034,918"
69,DAV,"Aug 11, 2021",$0.001571,$0.001734,$0.00153,$0.001617,"$945,475","$1,121,442"
70,DAV,"Aug 10, 2021",$0.00149,$0.001933,$0.001459,$0.00157,"$922,880","$1,089,207"
71,DAV,"Aug 09, 2021",$0.001658,$0.002535,$0.001307,$0.001489,"$794,506","$1,032,511"
72,DAV,"Aug 08, 2021",$0.001736,$0.002576,$0.001623,$0.001656,"$1,050,536","$1,148,457"
73,DAV,"Aug 07, 2021",$0.00159,$0.001744,$0.001578,$0.001741,"$915,185","$1,207,747"
74,DAV,"Aug 06, 2021",$0.001611,$0.001671,$0.001528,$0.001591,"$916,470","$1,103,924"
75,DAV,"Aug 05, 2021",$0.001414,$0.001619,$0.001387,$0.001612,"$739,117","$1,117,820"
76,DAV,"Aug 04, 2021",$0.002073,$0.002155,$0.001284,$0.001415,"$957,763","$981,637"
77,DAV,"Aug 03, 2021",$0.002187,$0.002207,$0.002003,$0.002073,"$1,232,663","$1,438,226"
78,DAV,"Aug 02, 2021",$0.002129,$0.002264,$0.00207,$0.002186,"$1,447,996","$1,516,467"
79,DAV,"Aug 01, 2021",$0.002145,$0.002253,$0.002083,$0.002133,"$1,534,050","$1,479,595"
80,DAV,"Jul 31, 2021",$0.002097,$0.002189,$0.002052,$0.002148,"$1,731,153","$1,489,713"
81,DAV,"Jul 30, 2021",$0.002177,$0.002303,$0.002054,$0.002096,"$1,338,984","$1,453,563"
82,DAV,"Jul 29, 2021",$0.002007,$0.002189,$0.001958,$0.002176,"$1,385,888","$1,509,081"
83,DAV,"Jul 28, 2021",$0.002068,$0.00214,$0.00169,$0.002009,"$1,361,533","$1,393,709"
84,DAV,"Jul 27, 2021",$0.002032,$0.002177,$0.001809,$0.002067,"$1,129,904","$1,433,898"
85,DAV,"Jul 26, 2021",$0.002148,$0.002305,$0.001904,$0.002036,"$1,267,760","$1,412,416"
86,DAV,"Jul 25, 2021",$0.001314,$0.00215,$0.001245,$0.002149,"$773,520","$1,490,558"
87,DAV,"Jul 24, 2021",$0.001933,$0.001951,$0.001215,$0.001312,"$890,255","$910,400"
88,DAV,"Jul 23, 2021",$0.001559,$0.002008,$0.001552,$0.001933,"$1,049,848","$1,340,911"
89,DAV,"Jul 22, 2021",$0.001812,$0.001895,$0.00114,$0.001559,"$1,062,012","$1,081,600"
90,DAV,"Jul 21, 2021",$0.001948,$0.002107,$0.00176,$0.00181,"$1,438,054","$1,255,413"
91,DAV,"Jul 20, 2021",$0.001454,$0.002193,$0.001361,$0.001949,"$1,163,437","$1,351,946"
92,DAV,"Jul 19, 2021",$0.001535,$0.001547,$0.001429,$0.001454,"$796,880","$1,008,478"
93,DAV,"Jul 18, 2021",$0.001367,$0.001543,$0.001356,$0.001536,"$678,921","$1,065,555"
94,DAV,"Jul 17, 2021",$0.001354,$0.001381,$0.001336,$0.001367,"$904,258","$948,212"
95,DAV,"Jul 16, 2021",$0.001376,$0.001429,$0.001338,$0.001354,"$898,199","$939,367"
96,DAV,"Jul 15, 2021",$0.001456,$0.001488,$0.001358,$0.001373,"$871,249","$952,503"
97,DAV,"Jul 14, 2021",$0.001397,$0.00147,$0.001349,$0.001455,"$875,253","$1,009,410"
98,DAV,"Jul 13, 2021",$0.001405,$0.001469,$0.001385,$0.001398,"$912,385","$969,481"
99,DAV,"Jul 12, 2021",$0.001476,$0.001539,$0.001388,$0.001405,"$1,125,140","$974,787"
100,DAV,"Jul 11, 2021",$0.001457,$0.001542,$0.001438,$0.001476,"$932,719","$1,024,049"
101,DAV,"Jul 10, 2021",$0.001503,$0.001555,$0.001437,$0.001456,"$1,197,973","$1,010,240"
102,DAV,"Jul 09, 2021",$0.001505,$0.001552,$0.001427,$0.001505,"$1,091,332","$1,044,055"
103,DAV,"Jul 08, 2021",$0.001644,$0.001673,$0.001483,$0.001506,"$917,168","$1,044,655"
104,DAV,"Jul 07, 2021",$0.003022,$0.003042,$0.001641,$0.001641,"$903,965","$1,138,550"
105,DAV,"Jul 06, 2021",$0.001913,$0.004297,$0.001912,$0.003023,"$1,029,742","$2,096,609"
106,DAV,"Jul 05, 2021",$0.00202,$0.00204,$0.001875,$0.001918,"$1,198,655","$1,330,214"
107,DAV,"Jul 04, 2021",$0.001937,$0.002097,$0.001906,$0.002019,"$1,180,591","$1,400,579"
108,DAV,"Jul 03, 2021",$0.001806,$0.001968,$0.001779,$0.001937,"$1,060,842","$1,343,680"
109,DAV,"Jul 02, 2021",$0.001691,$0.001806,$0.001618,$0.001806,"$1,016,908","$1,252,832"
110,DAV,"Jul 01, 2021",$0.002388,$0.002411,$0.001541,$0.001688,"$1,574,470","$1,171,160"
111,DAV,"Jun 30, 2021",$0.002398,$0.002426,$0.002199,$0.002386,"$1,516,828","$1,655,264"
112,DAV,"Jun 29, 2021",$0.002038,$0.002603,$0.001827,$0.002404,"$1,633,577","$1,667,312"
113,DAV,"Jun 28, 2021",$0.002731,$0.002752,$0.001372,$0.002039,"$1,102,551","$1,414,662"
114,DAV,"Jun 27, 2021",$0.001171,$0.002727,$0.001162,$0.002726,"$828,685","$1,890,893"
115,DAV,"Jun 26, 2021",$0.001614,$0.001637,$0.001057,$0.001168,"$830,339","$810,067"
116,DAV,"Jun 25, 2021",$0.001551,$0.002681,$0.001371,$0.001615,"$1,076,788","$1,119,973"
117,DAV,"Jun 24, 2021",$0.001516,$0.001637,$0.001453,$0.001552,"$1,045,466","$1,076,346"
118,DAV,"Jun 23, 2021",$0.001424,$0.002341,$0.001405,$0.001534,"$1,041,185","$1,064,221"
119,DAV,"Jun 22, 2021",$0.001378,$0.001503,$0.001252,$0.001423,"$1,155,765","$987,189"
120,DAV,"Jun 21, 2021",$0.001775,$0.001786,$0.001366,$0.001377,"$1,096,488","$955,168"
121,DAV,"Jun 20, 2021",$0.001787,$0.001822,$0.001649,$0.001776,"$1,096,536","$1,231,591"
122,DAV,"Jun 19, 2021",$0.002077,$0.002139,$0.001757,$0.001785,"$1,043,820","$1,238,215"
123,DAV,"Jun 18, 2021",$0.001827,$0.002108,$0.001785,$0.002078,"$1,129,092","$1,441,183"
124,DAV,"Jun 17, 2021",$0.00206,$0.002273,$0.001799,$0.001826,"$1,175,729","$1,266,606"
125,DAV,"Jun 16, 2021",$0.002191,$0.003199,$0.001932,$0.002059,"$1,201,595","$1,428,303"
126,DAV,"Jun 15, 2021",$0.001991,$0.002506,$0.001958,$0.002143,"$1,328,548","$1,486,209"
127,DAV,"Jun 14, 2021",$0.001982,$0.002052,$0.001922,$0.002004,"$1,256,378","$1,389,911"
128,DAV,"Jun 13, 2021",$0.001898,$0.002038,$0.001827,$0.001981,"$1,262,835","$1,374,409"
129,DAV,"Jun 12, 2021",$0.001883,$0.002025,$0.00179,$0.001897,"$1,163,048","$1,315,786"
130,DAV,"Jun 11, 2021",$0.001978,$0.002018,$0.001841,$0.001881,"$1,597,982","$1,304,712"
131,DAV,"Jun 10, 2021",$0.002139,$0.002175,$0.001924,$0.001977,"$1,775,461","$1,371,104"
132,DAV,"Jun 09, 2021",$0.002014,$0.002173,$0.00192,$0.002137,"$2,223,471","$1,482,408"
133,DAV,"Jun 08, 2021",$0.002227,$0.00235,$0.001658,$0.002016,"$2,135,167","$1,398,104"
134,DAV,"Jun 07, 2021",$0.002687,$0.002752,$0.001529,$0.002233,"$1,791,611","$1,548,726"
135,DAV,"Jun 06, 2021",$0.002576,$0.002796,$0.002472,$0.002687,"$2,040,963","$1,863,643"
136,DAV,"Jun 05, 2021",$0.00293,$0.003095,$0.002443,$0.002574,"$2,247,871","$1,785,203"
137,DAV,"Jun 04, 2021",$0.002827,$0.003013,$0.002539,$0.002931,"$2,416,243","$2,032,962"
138,DAV,"Jun 03, 2021",$0.002706,$0.003296,$0.002481,$0.002826,"$2,138,560","$1,960,146"
139,DAV,"Jun 02, 2021",$0.002317,$0.003008,$0.002279,$0.002709,"$1,970,379","$1,879,347"
140,DAV,"Jun 01, 2021",$0.002199,$0.002537,$0.002122,$0.002315,"$1,963,477","$1,605,761"
141,DAV,"May 31, 2021",$0.001983,$0.002224,$0.0018,$0.002192,"$2,387,111","$1,520,273"
142,DAV,"May 30, 2021",$0.001914,$0.002001,$0.001682,$0.001984,"$764,660","$1,375,930"
143,DAV,"May 29, 2021",$0.001984,$0.002104,$0.001766,$0.001912,"$707,005","$1,326,160"
144,DAV,"May 28, 2021",$0.002081,$0.002799,$0.001815,$0.001983,"$1,579,661","$1,375,648"
145,DAV,"May 27, 2021",$0.002633,$0.002633,$0.001968,$0.002082,"$2,577,766","$1,444,350"
146,DAV,"May 26, 2021",$0.002439,$0.002642,$0.002327,$0.002631,"$2,678,503","$1,824,653"
147,DAV,"May 25, 2021",$0.002751,$0.002862,$0.002088,$0.00243,"$2,499,965","$1,685,610"
148,DAV,"May 24, 2021",$0.002363,$0.002857,$0.002159,$0.002748,"$2,868,527","$1,906,437"
149,DAV,"May 23, 2021",$0.002914,$0.003027,$0.001876,$0.002367,"$1,471,832","$1,641,946"
150,DAV,"May 22, 2021",$0.003327,$0.003417,$0.002912,$0.002913,"$1,452,053","$2,020,333"
151,DAV,"May 21, 2021",$0.003952,$0.004319,$0.002894,$0.003324,"$447,434","$2,305,540"
152,DAV,"May 20, 2021",$0.003346,$0.004351,$0.002976,$0.003945,"$2,274,519","$2,736,385"
153,DAV,"May 19, 2021",$0.004597,$0.004691,$0.002655,$0.003368,"$1,689,800","$2,336,455"
154,DAV,"May 18, 2021",$0.004365,$0.004873,$0.004317,$0.004605,"$4,111,259","$3,194,496"
155,DAV,"May 17, 2021",$0.004377,$0.004996,$0.004007,$0.004345,"$4,485,916","$3,013,836"
156,DAV,"May 16, 2021",$0.004293,$0.004652,$0.004066,$0.004375,"$4,101,841","$3,034,626"
157,DAV,"May 15, 2021",$0.006403,$0.006511,$0.004302,$0.004304,"$5,224,270","$2,985,619"
158,DAV,"May 14, 2021",$0.006831,$0.00705,$0.005986,$0.006398,"$3,427,742","$4,438,092"
159,DAV,"May 13, 2021",$0.006841,$0.007284,$0.004979,$0.006841,"$3,498,901","$4,745,100"
160,DAV,"May 12, 2021",$0.007542,$0.007975,$0.006881,$0.006912,"$852,408","$4,794,240"
161,DAV,"May 11, 2021",$0.004387,$0.007617,$0.004266,$0.00755,"$4,282,686","$5,236,748"
162,DAV,"May 10, 2021",$0.005541,$0.0061,$0.004327,$0.004389,"$4,486,236","$3,044,369"
163,DAV,"May 09, 2021",$0.007062,$0.007117,$0.005013,$0.005546,"$4,773,643","$3,846,950"
164,DAV,"May 08, 2021",$0.008347,$0.008683,$0.006499,$0.007063,"$6,037,263","$4,899,418"
165,DAV,"May 07, 2021",$0.004477,$0.009908,$0.004355,$0.008349,"$340,711","$5,791,401"
166,DAV,"May 06, 2021",$0.005071,$0.005089,$0.004208,$0.004471,"$1,583,982","$3,101,391"
167,DAV,"May 05, 2021",$0.003873,$0.006248,$0.003825,$0.005074,"$2,568,828","$3,519,603"
168,DAV,"May 04, 2021",$0.004598,$0.004793,$0.00384,$0.003857,"$2,981,956","$2,675,502"
169,DAV,"May 03, 2021",$0.003901,$0.006463,$0.0039,$0.004583,"$1,480,833","$3,178,716"
170,DAV,"May 02, 2021",$0.003889,$0.003946,$0.003777,$0.003902,"$927,879","$2,706,454"
171,DAV,"May 01, 2021",$0.004298,$0.004474,$0.003722,$0.00389,"$1,786,592","$2,698,169"
172,DAV,"Apr 30, 2021",$0.004404,$0.004452,$0.003465,$0.004298,"$772,631","$2,981,571"
173,DAV,"Apr 29, 2021",$0.004202,$0.004978,$0.004135,$0.004405,"$159,139","$3,055,293"
174,DAV,"Apr 28, 2021",$0.004207,$0.004993,$0.004071,$0.0042,"$2,130,069","$2,913,664"
175,DAV,"Apr 27, 2021",$0.004157,$0.004363,$0.004045,$0.004204,"$1,601,639","$2,915,984"
176,DAV,"Apr 26, 2021",$0.003381,$0.004995,$0.00337,$0.00416,"$1,533,854","$2,885,311"
177,DAV,"Apr 25, 2021",$0.004091,$0.004621,$0.003128,$0.003377,"$2,292,705","$2,342,554"
178,DAV,"Apr 24, 2021",$0.005601,$0.005601,$0.004087,$0.004096,"$3,159,550","$2,841,493"
179,DAV,"Apr 23, 2021",$0.003269,$0.005649,$0.002771,$0.005607,"$3,853,886","$3,889,188"
180,DAV,"Apr 22, 2021",$0.005722,$0.006451,$0.003267,$0.003274,"$5,416,931","$2,270,706"
181,DAV,"Apr 21, 2021",$0.004573,$0.007113,$0.003768,$0.005718,"$3,780,924","$3,966,318"
182,DAV,"Apr 20, 2021",$0.00528,$0.00552,$0.004165,$0.004567,"$4,718,177","$3,168,114"
183,DAV,"Apr 19, 2021",$0.005947,$0.007202,$0.003486,$0.005281,"$1,173,819","$3,663,112"
184,DAV,"Apr 18, 2021",$0.00403,$0.006286,$0.002994,$0.005942,"$2,258,878","$4,121,966"
185,DAV,"Apr 17, 2021",$0.003452,$0.00444,$0.002757,$0.004034,"$2,924,371","$2,798,005"
186,DAV,"Apr 16, 2021",$0.003526,$0.004591,$0.003242,$0.003456,"$3,133,155","$2,397,398"
187,DAV,"Apr 15, 2021",$0.00324,$0.004435,$0.002729,$0.003524,"$2,418,853","$2,444,498"
188,DAV,"Apr 14, 2021",$0.003355,$0.003671,$0.003043,$0.003239,"$3,579,627","$2,246,415"
