symbol,date,open,high,low,close,volume,marketCap
DELOS,"Oct 29, 2021",$0.00002808,$0.00002877,$0.00002582,$0.00002601,"$42,784",$0
DELOS,"Oct 28, 2021",$0.00002743,$0.00002916,$0.00002679,$0.00002808,"$51,020",$0
DELOS,"Oct 27, 2021",$0.00003288,$0.00003295,$0.00002588,$0.00002743,"$122,268",$0
DELOS,"Oct 26, 2021",$0.00002975,$0.00003836,$0.00002805,$0.0000329,"$467,551",$0
DELOS,"Oct 25, 2021",$0.0000124,$0.00005094,$0.00001238,$0.00002976,"$379,547",$0
DELOS,"Oct 24, 2021",$0.00001257,$0.00001289,$0.00001225,$0.0000124,"$11,928",$0
DELOS,"Oct 23, 2021",$0.0000134,$0.00001349,$0.0000124,$0.00001258,"$15,547",$0
DELOS,"Oct 22, 2021",$0.00001198,$0.00001341,$0.00001172,$0.0000134,"$26,307",$0
DELOS,"Oct 21, 2021",$0.00001444,$0.00001449,$0.00001078,$0.000012,"$20,668",$0
DELOS,"Oct 20, 2021",$0.00001434,$0.00001469,$0.00001388,$0.00001443,$0,$0
DELOS,"Oct 19, 2021",$0.000015,$0.00001504,$0.00001418,$0.00001433,$0,$0
DELOS,"Oct 18, 2021",$0.0000144,$0.00001509,$0.00001437,$0.00001499,"$10,489",$0
DELOS,"Oct 17, 2021",$0.00001428,$0.00002269,$0.00001395,$0.0000144,"$10,533",$0
DELOS,"Oct 16, 2021",$0.00001474,$0.00001492,$0.00001404,$0.0000143,"$16,170",$0
DELOS,"Oct 15, 2021",$0.00001638,$0.00001651,$0.00001415,$0.00001475,"$20,308",$0
DELOS,"Oct 14, 2021",$0.00001743,$0.00001763,$0.00001611,$0.00001638,"$22,580",$0
DELOS,"Oct 13, 2021",$0.00001983,$0.0000205,$0.00001714,$0.00001742,"$42,805",$0
DELOS,"Oct 12, 2021",$0.00002162,$0.0000219,$0.00001977,$0.0000198,"$236,691",$0
DELOS,"Oct 11, 2021",$0.00001578,$0.00002858,$0.00001578,$0.00002164,"$254,632",$0
