symbol,date,open,high,low,close,volume,marketCap
DFSOCIAL,"Oct 29, 2021",$201.91,$232.00,$200.31,$207.03,"$34,911","$1,552,748"
DFSOCIAL,"Oct 28, 2021",$190.59,$202.49,$180.91,$201.66,"$7,237","$1,512,473"
DFSOCIAL,"Oct 27, 2021",$212.98,$214.90,$189.29,$190.96,"$17,643","$1,432,219"
DFSOCIAL,"Oct 26, 2021",$219.42,$222.41,$211.93,$213.09,"$6,991","$1,598,192"
DFSOCIAL,"Oct 25, 2021",$212.94,$224.39,$210.72,$219.44,"$30,967","$1,645,778"
DFSOCIAL,"Oct 24, 2021",$237.52,$244.39,$210.04,$213.14,"$52,762","$1,598,569"
DFSOCIAL,"Oct 23, 2021",$228.81,$241.00,$221.08,$237.29,"$5,985","$1,779,689"
DFSOCIAL,"Oct 22, 2021",$222.58,$243.19,$222.15,$228.84,"$15,063","$1,716,329"
DFSOCIAL,"Oct 21, 2021",$243.27,$243.27,$219.54,$222.84,"$18,349","$1,671,324"
DFSOCIAL,"Oct 20, 2021",$220.63,$246.26,$218.60,$243.23,"$48,987","$1,824,206"
DFSOCIAL,"Oct 19, 2021",$214.03,$261.11,$204.10,$221.21,"$70,834","$1,659,052"
DFSOCIAL,"Oct 18, 2021",$208.62,$214.35,$204.69,$213.93,"$14,132","$1,604,467"
DFSOCIAL,"Oct 17, 2021",$231.73,$231.73,$204.32,$208.58,"$64,041","$1,564,385"
DFSOCIAL,"Oct 16, 2021",$246.35,$253.06,$217.54,$231.87,"$97,225","$1,739,026"
DFSOCIAL,"Oct 15, 2021",$252.91,$266.99,$245.25,$246.34,"$34,179","$1,847,547"
DFSOCIAL,"Oct 14, 2021",$271.03,$282.18,$251.03,$253.00,"$95,902","$1,897,500"
DFSOCIAL,"Oct 13, 2021",$225.56,$296.89,$224.43,$270.88,"$201,192","$2,031,594"
DFSOCIAL,"Oct 12, 2021",$211.96,$275.13,$204.04,$225.25,"$136,567","$1,689,402"
DFSOCIAL,"Oct 11, 2021",$205.32,$317.20,$196.77,$212.16,"$115,504","$1,591,229"
DFSOCIAL,"Oct 10, 2021",$208.72,$210.54,$201.36,$205.59,"$74,305","$1,541,940"
DFSOCIAL,"Oct 09, 2021",$195.68,$230.75,$193.47,$208.85,"$465,431","$1,566,348"
DFSOCIAL,"Oct 08, 2021",$161.13,$209.98,$160.50,$195.67,"$236,755","$1,467,536"
DFSOCIAL,"Oct 07, 2021",$114.41,$171.58,$109.90,$161.22,"$226,977","$1,209,178"
DFSOCIAL,"Oct 06, 2021",$107.74,$120.89,$101.77,$114.34,"$41,482","$857,526"
DFSOCIAL,"Oct 05, 2021",$113.09,$120.50,$106.91,$107.79,"$39,465","$808,394"
DFSOCIAL,"Oct 04, 2021",$122.03,$124.66,$109.54,$113.06,"$56,078","$847,929"
DFSOCIAL,"Oct 03, 2021",$118.37,$124.88,$115.64,$122.03,"$17,747","$915,233"
DFSOCIAL,"Oct 02, 2021",$114.13,$120.62,$111.13,$118.32,"$13,895","$887,433"
DFSOCIAL,"Oct 01, 2021",$110.31,$119.21,$108.87,$114.11,"$34,517","$855,840"
DFSOCIAL,"Sep 30, 2021",$106.68,$118.92,$106.38,$110.30,"$30,175","$827,223"
DFSOCIAL,"Sep 29, 2021",$102.54,$109.16,$101.02,$106.76,"$28,975","$800,672"
DFSOCIAL,"Sep 28, 2021",$99.65,$112.48,$99.65,$102.66,"$33,280","$769,964"
DFSOCIAL,"Sep 27, 2021",$103.82,$109.90,$99.17,$99.64,"$6,512","$747,286"
DFSOCIAL,"Sep 26, 2021",$110.96,$110.96,$98.62,$103.79,"$8,762","$778,455"
DFSOCIAL,"Sep 25, 2021",$115.28,$116.81,$109.45,$111.00,"$34,845","$832,530"
DFSOCIAL,"Sep 24, 2021",$127.21,$127.25,$101.44,$115.26,"$54,852","$864,442"
DFSOCIAL,"Sep 23, 2021",$117.94,$138.21,$116.38,$127.25,"$37,741","$954,357"
DFSOCIAL,"Sep 22, 2021",$107.56,$121.20,$106.04,$117.89,"$44,651","$884,207"
DFSOCIAL,"Sep 21, 2021",$114.61,$120.68,$104.84,$107.47,"$59,837","$806,007"
DFSOCIAL,"Sep 20, 2021",$126.99,$127.66,$111.71,$114.75,"$37,167","$860,596"
DFSOCIAL,"Sep 19, 2021",$135.22,$136.84,$125.17,$127.32,"$45,106","$954,919"
DFSOCIAL,"Sep 18, 2021",$129.76,$138.78,$128.47,$135.20,"$54,603","$1,013,984"
DFSOCIAL,"Sep 17, 2021",$153.85,$154.61,$126.95,$129.71,"$43,037","$972,859"
DFSOCIAL,"Sep 16, 2021",$155.61,$157.96,$137.17,$153.81,"$12,682","$1,153,592"
DFSOCIAL,"Sep 15, 2021",$146.46,$155.71,$144.71,$155.56,"$16,584","$1,166,696"
DFSOCIAL,"Sep 14, 2021",$145.22,$155.71,$143.68,$146.45,"$62,880","$1,098,345"
DFSOCIAL,"Sep 13, 2021",$153.49,$156.65,$142.20,$145.24,"$22,034","$1,089,289"
DFSOCIAL,"Sep 12, 2021",$154.19,$156.33,$143.81,$153.50,"$28,393","$1,151,248"
DFSOCIAL,"Sep 11, 2021",$164.04,$171.24,$153.69,$154.19,"$19,707","$1,156,449"
