symbol,date,open,high,low,close,volume,marketCap
DND,"Oct 22, 2021",$1.39,$1.41,$1.37,$1.39,"$210,599",$0
DND,"Oct 21, 2021",$1.31,$1.41,$1.31,$1.39,"$322,052",$0
DND,"Oct 20, 2021",$1.30,$1.43,$1.30,$1.31,"$310,650",$0
DND,"Oct 19, 2021",$1.35,$1.36,$1.30,$1.30,"$171,294",$0
DND,"Oct 18, 2021",$1.42,$1.42,$1.35,$1.35,"$275,483",$0
DND,"Oct 17, 2021",$1.37,$1.47,$1.35,$1.42,"$315,724",$0
DND,"Oct 16, 2021",$1.37,$1.41,$1.32,$1.37,"$303,877",$0
DND,"Oct 15, 2021",$1.35,$1.39,$1.27,$1.37,"$281,241",$0
DND,"Oct 14, 2021",$1.40,$1.40,$1.33,$1.35,"$176,156",$0
DND,"Oct 13, 2021",$1.44,$1.48,$1.39,$1.40,"$231,189",$0
DND,"Oct 12, 2021",$1.58,$1.59,$1.40,$1.44,"$220,282",$0
DND,"Oct 11, 2021",$1.56,$1.61,$1.56,$1.58,"$231,377",$0
DND,"Oct 10, 2021",$1.72,$1.72,$1.55,$1.56,"$297,972",$0
DND,"Oct 09, 2021",$1.81,$1.82,$1.70,$1.72,"$201,029",$0
DND,"Oct 08, 2021",$1.81,$1.82,$1.78,$1.81,"$141,739",$0
DND,"Oct 07, 2021",$1.85,$1.85,$1.79,$1.81,"$188,937",$0
DND,"Oct 06, 2021",$1.85,$1.88,$1.81,$1.85,"$263,555",$0
DND,"Oct 05, 2021",$1.78,$1.90,$1.76,$1.85,"$232,830",$0
DND,"Oct 04, 2021",$1.85,$1.85,$1.78,$1.78,"$190,734",$0
DND,"Oct 03, 2021",$1.95,$1.96,$1.84,$1.85,"$317,620",$0
DND,"Oct 02, 2021",$2.08,$2.09,$1.87,$1.95,"$802,615",$0
DND,"Oct 01, 2021",$1.96,$2.26,$1.77,$2.08,"$919,218",$0
DND,"Sep 30, 2021",$2.08,$2.11,$1.96,$1.96,"$679,046",$0
DND,"Sep 29, 2021",$2.36,$2.37,$2.01,$2.08,"$684,311",$0
DND,"Sep 28, 2021",$2.43,$2.43,$2.21,$2.36,"$656,659",$0
DND,"Sep 27, 2021",$2.20,$2.46,$2.18,$2.43,"$484,045",$0
DND,"Sep 26, 2021",$2.26,$2.26,$2.11,$2.20,"$528,502",$0
DND,"Sep 25, 2021",$2.31,$2.33,$2.08,$2.26,"$840,983",$0
DND,"Sep 24, 2021",$2.39,$2.45,$2.01,$2.31,"$1,069,443",$0
DND,"Sep 23, 2021",$1.84,$2.51,$1.81,$2.39,"$688,245",$0
DND,"Sep 22, 2021",$1.82,$1.85,$1.79,$1.84,"$278,960",$0
DND,"Sep 21, 2021",$1.71,$1.88,$1.66,$1.82,"$371,444",$0
DND,"Sep 20, 2021",$1.90,$1.90,$1.65,$1.71,"$381,075",$0
DND,"Sep 19, 2021",$1.74,$1.94,$1.72,$1.90,"$306,849",$0
DND,"Sep 18, 2021",$1.88,$1.88,$1.73,$1.74,"$254,601",$0
DND,"Sep 17, 2021",$1.75,$1.92,$1.74,$1.88,"$261,091",$0
DND,"Sep 16, 2021",$1.75,$1.81,$1.71,$1.75,"$244,964",$0
DND,"Sep 15, 2021",$1.76,$1.78,$1.70,$1.75,"$244,937",$0
DND,"Sep 14, 2021",$1.83,$1.86,$1.75,$1.76,"$439,910",$0
DND,"Sep 13, 2021",$1.94,$2.01,$1.80,$1.83,"$451,582",$0
DND,"Sep 12, 2021",$1.95,$2.02,$1.90,$1.94,"$300,468",$0
DND,"Sep 11, 2021",$1.89,$2.03,$1.88,$1.95,"$447,246",$0
DND,"Sep 10, 2021",$2.01,$2.07,$1.88,$1.89,"$459,394",$0
DND,"Sep 09, 2021",$2.26,$2.27,$1.98,$2.01,"$731,428",$0
DND,"Sep 08, 2021",$2.46,$2.48,$2.02,$2.24,"$1,041,066",$0
DND,"Sep 07, 2021",$2.67,$2.81,$2.21,$2.46,"$778,871",$0
DND,"Sep 06, 2021",$2.71,$2.78,$2.64,$2.67,"$465,590",$0
DND,"Sep 05, 2021",$2.85,$2.86,$2.71,$2.71,"$356,190",$0
DND,"Sep 04, 2021",$2.83,$2.87,$2.76,$2.85,"$411,549",$0
DND,"Sep 03, 2021",$2.81,$2.87,$2.76,$2.83,"$451,313",$0
DND,"Sep 02, 2021",$2.84,$2.94,$2.80,$2.81,"$776,191",$0
DND,"Sep 01, 2021",$2.73,$2.98,$2.72,$2.84,"$808,080",$0
DND,"Aug 31, 2021",$2.95,$2.95,$2.69,$2.73,"$950,644",$0
DND,"Aug 30, 2021",$3.34,$3.60,$2.83,$2.93,"$2,047,092",$0
DND,"Aug 29, 2021",$3.04,$4.94,$3.04,$3.34,"$1,414,289",$0
DND,"Aug 28, 2021",$2.94,$3.09,$2.91,$3.04,"$593,556",$0
DND,"Aug 27, 2021",$2.78,$3.02,$2.78,$2.94,"$586,996",$0
DND,"Aug 26, 2021",$2.96,$3.11,$2.78,$2.78,"$585,100",$0
DND,"Aug 25, 2021",$2.77,$3.13,$2.76,$2.96,"$694,797",$0
DND,"Aug 24, 2021",$3.16,$3.16,$2.76,$2.77,"$874,893",$0
DND,"Aug 23, 2021",$3.19,$3.31,$2.84,$3.16,"$1,260,357",$0
DND,"Aug 22, 2021",$3.47,$3.69,$2.85,$3.19,"$1,828,882",$0
DND,"Aug 21, 2021",$2.45,$3.65,$2.43,$3.47,"$1,511,040",$0
DND,"Aug 20, 2021",$2.22,$2.52,$2.16,$2.45,"$672,943",$0
DND,"Aug 19, 2021",$2.22,$2.23,$2.15,$2.22,"$555,774",$0
DND,"Aug 18, 2021",$2.13,$2.27,$2.13,$2.22,"$1,116,150",$0
DND,"Aug 17, 2021",$2.25,$2.68,$2.13,$2.13,"$1,076,073",$0
DND,"Aug 16, 2021",$2.16,$2.36,$2.09,$2.25,"$614,873",$0
DND,"Aug 15, 2021",$2.53,$2.53,$2.15,$2.16,"$627,301",$0
DND,"Aug 14, 2021",$2.23,$2.57,$2.22,$2.53,"$572,955",$0
DND,"Aug 13, 2021",$2.61,$2.62,$2.22,$2.23,"$847,292",$0
DND,"Aug 12, 2021",$2.28,$2.61,$2.25,$2.61,"$2,730,217",$0
DND,"Aug 11, 2021",$3.06,$3.63,$2.16,$2.28,"$2,919,521",$0
DND,"Aug 10, 2021",$2.89,$3.34,$2.78,$3.06,"$3,306,582",$0
DND,"Aug 09, 2021",$1.78,$3.21,$1.78,$2.89,"$3,093,462",$0
DND,"Aug 08, 2021",$2.07,$2.13,$1.76,$1.78,"$1,066,963",$0
DND,"Aug 07, 2021",$2.38,$2.38,$1.97,$2.07,"$1,614,289",$0
DND,"Aug 06, 2021",$2.42,$2.63,$2.14,$2.38,"$2,625,509",$0
DND,"Aug 05, 2021",$3.01,$3.01,$2.32,$2.42,"$8,456,107",$0
DND,"Aug 04, 2021",$2.80,$4.95,$2.57,$3.01,"$11,357,962",$0
DND,"Aug 03, 2021",$3.37,$3.42,$2.48,$2.80,"$23,068,697",$0
DND,"Aug 02, 2021",$4.88,$6.23,$1.95,$3.37,"$47,414,581",$0
DND,"Aug 01, 2021",$12.92,$14.59,$3.92,$4.88,"$41,070,359",$0
DND,"Jul 31, 2021",$8.52,$13.98,$8.36,$12.91,"$16,499,141",$0
DND,"Jul 30, 2021",$8.19,$9.02,$7.43,$8.52,"$7,834,564",$0
DND,"Jul 29, 2021",$9.42,$10.50,$8.16,$8.19,"$9,178,321",$0
DND,"Jul 28, 2021",$7.98,$10.09,$7.31,$9.42,"$488,378",$0
DND,"Jul 27, 2021",$9.95,$10.86,$5.53,$7.98,"$589,278",$0
DND,"Jul 26, 2021",$12.97,$16.29,$9.60,$9.95,"$725,418",$0
DND,"Jul 25, 2021",$8.05,$17.85,$6.76,$12.97,"$634,592",$0
DND,"Jul 24, 2021",$4.01,$8.76,$4.00,$8.05,"$279,610",$0
DND,"Jul 23, 2021",$4.11,$4.94,$3.10,$4.00,"$369,500",$0
DND,"Jul 22, 2021",$2.64,$5.34,$2.64,$4.11,"$375,988",$0
DND,"Jul 21, 2021",$1.21,$2.77,$1.21,$2.64,"$145,159",$0
DND,"Jul 20, 2021",$1.44,$1.57,$0.8179,$1.21,"$110,342",$0
DND,"Jul 19, 2021",$1.32,$1.86,$1.30,$1.44,"$213,750",$0
DND,"Jul 18, 2021",$0.3938,$2.16,$0.3935,$1.32,"$161,536",$0
DND,"Jul 17, 2021",$0.2378,$0.394,$0.237,$0.394,"$3,800",$0
DND,"Jul 16, 2021",$0.2282,$0.238,$0.2269,$0.2378,"$1,305",$0
DND,"Jul 15, 2021",$0.2149,$0.239,$0.2095,$0.2283,"$2,097",$0
DND,"Jul 14, 2021",$0.1994,$0.2161,$0.1979,$0.2149,"$1,631",$0
DND,"Jul 13, 2021",$0.1908,$0.1995,$0.1871,$0.1993,"$3,212",$0
DND,"Jul 12, 2021",$0.1967,$0.2149,$0.1841,$0.1908,"$5,737",$0
DND,"Jul 11, 2021",$0.1138,$0.1968,$0.1129,$0.1967,"$3,008",$0
DND,"Jul 10, 2021",$0.1148,$0.1172,$0.1119,$0.1138,$28,$0
DND,"Jul 09, 2021",$0.1139,$0.1152,$0.1137,$0.1148,$232,$0
DND,"Jul 08, 2021",$0.1142,$0.1152,$0.1127,$0.1138,$633,$0
DND,"Jul 07, 2021",$0.1209,$0.1252,$0.114,$0.1143,$584,$0
DND,"Jul 06, 2021",$0.1222,$0.1226,$0.1183,$0.121,$566,$0
DND,"Jul 05, 2021",$0.1403,$0.1427,$0.1215,$0.1222,"$1,894",$0
DND,"Jul 04, 2021",$0.1751,$0.179,$0.1381,$0.1403,"$1,604",$0
DND,"Jul 03, 2021",$0.1785,$0.1792,$0.1749,$0.1751,$407,$0
DND,"Jul 02, 2021",$0.1896,$0.1899,$0.1775,$0.1787,$658,$0
DND,"Jul 01, 2021",$0.1972,$0.1972,$0.1873,$0.1896,$732,$0
DND,"Jun 30, 2021",$0.2026,$0.2062,$0.1965,$0.1972,$571,$0
DND,"Jun 29, 2021",$0.2065,$0.21,$0.2026,$0.2026,$372,$0
DND,"Jun 28, 2021",$0.2137,$0.2176,$0.2056,$0.2064,$359,$0
DND,"Jun 27, 2021",$0.2187,$0.219,$0.2114,$0.2137,$835,$0
DND,"Jun 26, 2021",$0.2315,$0.2338,$0.2159,$0.2186,$841,$0
DND,"Jun 25, 2021",$0.236,$0.2386,$0.227,$0.2315,$822,$0
DND,"Jun 24, 2021",$0.2339,$0.2407,$0.231,$0.2359,"$1,247",$0
DND,"Jun 23, 2021",$0.2331,$0.2409,$0.2268,$0.2285,"$1,578",$0
DND,"Jun 22, 2021",$0.2427,$0.2476,$0.2302,$0.233,"$2,298",$0
DND,"Jun 21, 2021",$0.2703,$0.2729,$0.2422,$0.2427,"$1,552",$0
DND,"Jun 20, 2021",$0.2802,$0.2802,$0.2677,$0.2702,"$2,598",$0
DND,"Jun 19, 2021",$0.3178,$0.3182,$0.2801,$0.2802,"$2,660",$0
DND,"Jun 18, 2021",$0.3232,$0.3243,$0.3173,$0.3179,"$5,023",$0
DND,"Jun 17, 2021",$0.3444,$0.3446,$0.3229,$0.3232,"$9,591",$0
DND,"Jun 16, 2021",$0.3368,$0.3504,$0.3327,$0.3443,"$5,168",$0
DND,"Jun 15, 2021",$0.3396,$0.3423,$0.3349,$0.3391,$523,$0
DND,"Jun 14, 2021",$0.8734,$0.8918,$0.3361,$0.8912,$1,$0
DND,"Jun 13, 2021",$0.8747,$0.8749,$0.8733,$0.8733,$0,$0
DND,"Jun 12, 2021",$0.8741,$0.8748,$0.8736,$0.8747,$0,$0
DND,"Jun 11, 2021",$0.8742,$0.8745,$0.8733,$0.8742,$0,$0
DND,"Jun 10, 2021",$0.8737,$0.8744,$0.8735,$0.8742,$0,$0
DND,"Jun 09, 2021",$0.8742,$0.8745,$0.8734,$0.8738,$0,$0
