symbol,date,open,high,low,close,volume,marketCap
DOO,"Oct 29, 2021",$0.004438,$0.005662,$0.003475,$0.004611,"$54,941",$0
DOO,"Oct 28, 2021",$0.004972,$0.005568,$0.004183,$0.004439,"$37,772",$0
DOO,"Oct 27, 2021",$0.005333,$0.005579,$0.004694,$0.004973,"$48,530",$0
DOO,"Oct 26, 2021",$0.00535,$0.006578,$0.004556,$0.005337,"$56,989",$0
DOO,"Oct 25, 2021",$0.005289,$0.006908,$0.004652,$0.005351,"$92,310",$0
DOO,"Oct 24, 2021",$0.004124,$0.007438,$0.003998,$0.005289,"$96,529",$0
DOO,"Oct 23, 2021",$0.003636,$0.004834,$0.003401,$0.004126,"$47,136",$0
DOO,"Oct 22, 2021",$0.003565,$0.00401,$0.00343,$0.003637,"$27,006",$0
DOO,"Oct 21, 2021",$0.003503,$0.003673,$0.003404,$0.003569,"$23,844",$0
DOO,"Oct 20, 2021",$0.003511,$0.004632,$0.002966,$0.003499,"$53,919",$0
DOO,"Oct 19, 2021",$0.003458,$0.004139,$0.003348,$0.003509,"$32,184",$0
DOO,"Oct 18, 2021",$0.003477,$0.00363,$0.003416,$0.003456,"$10,900",$0
DOO,"Oct 17, 2021",$0.003557,$0.004327,$0.003277,$0.003477,"$15,742",$0
DOO,"Oct 16, 2021",$0.00365,$0.00383,$0.003235,$0.003561,"$17,916",$0
DOO,"Oct 15, 2021",$0.003511,$0.003658,$0.003084,$0.003651,"$19,859",$0
DOO,"Oct 14, 2021",$0.003534,$0.00392,$0.002727,$0.003511,"$19,430",$0
DOO,"Oct 13, 2021",$0.003439,$0.004603,$0.003223,$0.003532,"$21,004",$0
DOO,"Oct 12, 2021",$0.00327,$0.004159,$0.002594,$0.003434,"$19,461",$0
DOO,"Oct 11, 2021",$0.003403,$0.003585,$0.002993,$0.003273,"$20,457",$0
DOO,"Oct 10, 2021",$0.003634,$0.004094,$0.003003,$0.003408,"$26,461",$0
DOO,"Oct 09, 2021",$0.003225,$0.004364,$0.00321,$0.003633,"$36,375",$0
DOO,"Oct 08, 2021",$0.003227,$0.004462,$0.002912,$0.003225,"$273,490",$0
DOO,"Oct 07, 2021",$0.008999,$0.01273,$0.002884,$0.003227,"$269,850",$0
