,symbol,date,open,high,low,close,volume,marketCap
0,DOVE,"Oct 20, 2021",$0.00373,$0.004425,$0.003472,$0.003741,"$84,636",$0
1,DOVE,"Oct 19, 2021",$0.003554,$0.003867,$0.003379,$0.00373,"$92,270",$0
2,DOVE,"Oct 18, 2021",$0.003692,$0.003741,$0.003025,$0.003554,"$106,468",$0
3,DOVE,"Oct 17, 2021",$0.004371,$0.004492,$0.003445,$0.003692,"$63,624",$0
4,DOVE,"Oct 16, 2021",$0.003264,$0.004493,$0.003049,$0.004371,"$22,556",$0
5,DOVE,"Oct 15, 2021",$0.003973,$0.004089,$0.002358,$0.003264,"$65,309",$0
6,DOVE,"Oct 14, 2021",$0.003979,$0.004289,$0.003642,$0.003973,"$108,793",$0
7,DOVE,"Oct 13, 2021",$0.003681,$0.004042,$0.003554,$0.003979,"$120,322",$0
8,DOVE,"Oct 12, 2021",$0.003798,$0.004098,$0.003585,$0.003681,"$104,118",$0
9,DOVE,"Oct 11, 2021",$0.004494,$0.00509,$0.003007,$0.003798,"$91,335",$0
10,DOVE,"Oct 10, 2021",$0.0038,$0.005182,$0.003013,$0.004494,"$98,926",$0
11,DOVE,"Oct 09, 2021",$0.004096,$0.00519,$0.003205,$0.003801,"$103,689",$0
12,DOVE,"Oct 08, 2021",$0.003602,$0.0048,$0.003201,$0.004096,"$91,737",$0
13,DOVE,"Oct 07, 2021",$0.003213,$0.004793,$0.003203,$0.003602,"$84,313",$0
14,DOVE,"Oct 06, 2021",$0.004697,$0.005098,$0.00311,$0.003213,"$81,541",$0
15,DOVE,"Oct 05, 2021",$0.003897,$0.005099,$0.003011,$0.004697,"$83,137",$0
16,DOVE,"Oct 04, 2021",$0.003891,$0.004298,$0.002705,$0.003897,"$91,802",$0
17,DOVE,"Oct 03, 2021",$0.003308,$0.004289,$0.002719,$0.003892,"$86,753",$0
18,DOVE,"Oct 02, 2021",$0.004682,$0.00469,$0.002812,$0.003308,"$83,091",$0
19,DOVE,"Oct 01, 2021",$0.003798,$0.005086,$0.002315,$0.004682,"$70,086",$0
20,DOVE,"Sep 30, 2021",$0.004781,$0.005086,$0.002711,$0.003798,"$75,860",$0
21,DOVE,"Sep 29, 2021",$0.004384,$0.00509,$0.003105,$0.004781,"$90,115",$0
22,DOVE,"Sep 28, 2021",$0.003884,$0.005088,$0.003203,$0.004385,"$66,709",$0
23,DOVE,"Sep 27, 2021",$0.004651,$0.005065,$0.003102,$0.003884,"$78,903",$0
24,DOVE,"Sep 26, 2021",$0.003704,$0.004889,$0.002045,$0.004651,"$70,651",$0
25,DOVE,"Sep 25, 2021",$0.003543,$0.004853,$0.003322,$0.003704,"$59,133",$0
26,DOVE,"Sep 24, 2021",$0.003784,$0.003813,$0.003497,$0.003541,"$3,039",$0
27,DOVE,"Sep 23, 2021",$0.003601,$0.004324,$0.003601,$0.003785,"$1,310",$0
28,DOVE,"Sep 22, 2021",$0.003179,$0.003612,$0.003173,$0.0036,$701,$0
29,DOVE,"Sep 21, 2021",$0.003456,$0.003554,$0.003156,$0.00318,"$2,138",$0
30,DOVE,"Sep 20, 2021",$0.003824,$0.003982,$0.003429,$0.003461,"$1,949",$0
31,DOVE,"Sep 19, 2021",$0.003994,$0.0041,$0.003499,$0.003831,$488,$0
32,DOVE,"Sep 18, 2021",$0.003859,$0.004351,$0.003603,$0.003993,$886,$0
33,DOVE,"Sep 17, 2021",$0.005479,$0.005483,$0.00362,$0.003859,"$6,719",$0
34,DOVE,"Sep 16, 2021",$0.005472,$0.005901,$0.003701,$0.005478,"$53,212",$0
35,DOVE,"Sep 15, 2021",$0.005019,$0.005865,$0.003703,$0.005471,"$75,813",$0
36,DOVE,"Sep 14, 2021",$0.003481,$0.005019,$0.003246,$0.005019,"$25,328",$0
37,DOVE,"Sep 13, 2021",$0.004305,$0.005371,$0.002723,$0.003481,"$40,061",$0
38,DOVE,"Sep 12, 2021",$0.004697,$0.005506,$0.003006,$0.004306,"$91,423",$0
39,DOVE,"Sep 11, 2021",$0.003885,$0.004897,$0.003404,$0.004697,"$68,266",$0
40,DOVE,"Sep 10, 2021",$0.004789,$0.005198,$0.003547,$0.003885,"$78,198",$0
41,DOVE,"Sep 09, 2021",$0.005563,$0.005657,$0.003789,$0.004789,"$37,007",$0
42,DOVE,"Sep 08, 2021",$0.005916,$0.006211,$0.003289,$0.005314,"$83,616",$0
43,DOVE,"Sep 07, 2021",$0.01055,$0.01149,$0.004178,$0.005917,"$261,784",$0
44,DOVE,"Sep 06, 2021",$0.01017,$0.01111,$0.009803,$0.01009,"$297,546",$0
45,DOVE,"Sep 05, 2021",$0.01012,$0.01149,$0.009802,$0.01017,"$323,565",$0
46,DOVE,"Sep 04, 2021",$0.009885,$0.01118,$0.00985,$0.01012,"$272,333",$0
47,DOVE,"Sep 03, 2021",$0.0106,$0.01089,$0.009861,$0.009885,"$283,029",$0
48,DOVE,"Sep 02, 2021",$0.01,$0.01148,$0.009817,$0.0106,"$345,808",$0
49,DOVE,"Sep 01, 2021",$0.01178,$0.01179,$0.009839,$0.01,"$189,785",$0
50,DOVE,"Aug 31, 2021",$0.01107,$0.01179,$0.01058,$0.01178,"$39,574",$0
51,DOVE,"Aug 30, 2021",$0.009912,$0.01108,$0.009905,$0.01107,"$26,505",$0
52,DOVE,"Aug 29, 2021",$0.01038,$0.01043,$0.007704,$0.009911,"$19,735",$0
53,DOVE,"Aug 28, 2021",$0.009428,$0.01046,$0.009419,$0.01038,$409,$0
54,DOVE,"Aug 27, 2021",$0.009504,$0.0103,$0.009004,$0.009428,"$15,230",$0
55,DOVE,"Aug 26, 2021",$0.009103,$0.01081,$0.007302,$0.009504,"$24,240",$0
56,DOVE,"Aug 25, 2021",$0.009756,$0.0112,$0.007102,$0.009103,"$8,746",$0
57,DOVE,"Aug 24, 2021",$0.008987,$0.01209,$0.008851,$0.009757,"$91,560",$0
58,DOVE,"Aug 23, 2021",$0.00916,$0.01296,$0.008355,$0.008987,"$241,192",$0
59,DOVE,"Aug 22, 2021",$0.009051,$0.01211,$0.008711,$0.00916,"$306,689",$0
60,DOVE,"Aug 21, 2021",$0.009752,$0.01209,$0.008303,$0.00905,"$331,297",$0
61,DOVE,"Aug 20, 2021",$0.00867,$0.0117,$0.008225,$0.009751,"$344,340",$0
62,DOVE,"Aug 19, 2021",$0.008846,$0.01325,$0.008174,$0.00867,"$358,512",$0
63,DOVE,"Aug 18, 2021",$0.009014,$0.01073,$0.008177,$0.008847,"$264,167",$0
64,DOVE,"Aug 17, 2021",$0.009145,$0.00988,$0.00814,$0.009014,"$285,933",$0
65,DOVE,"Aug 16, 2021",$0.009052,$0.01074,$0.008293,$0.009144,"$313,439",$0
66,DOVE,"Aug 15, 2021",$0.009236,$0.01305,$0.008407,$0.009052,"$324,387",$0
67,DOVE,"Aug 14, 2021",$0.008876,$0.01321,$0.007738,$0.009237,"$439,144",$0
68,DOVE,"Aug 13, 2021",$0.01078,$0.0123,$0.006067,$0.008875,"$277,417",$0
69,DOVE,"Aug 12, 2021",$0.009027,$0.01444,$0.007334,$0.01078,"$277,969",$0
