symbol,date,open,high,low,close,volume,marketCap
DT,"Oct 29, 2021",$5.60,$5.80,$5.59,$5.75,$0,$0
DT,"Oct 28, 2021",$5.20,$5.61,$5.17,$5.60,$0,$0
DT,"Oct 27, 2021",$5.43,$5.62,$5.20,$5.20,$0,$0
DT,"Oct 26, 2021",$5.52,$5.61,$5.40,$5.43,$0,$0
DT,"Oct 25, 2021",$5.38,$5.55,$5.36,$5.52,$0,$0
DT,"Oct 24, 2021",$5.47,$5.49,$5.24,$5.38,$0,$0
DT,"Oct 23, 2021",$5.24,$5.47,$5.21,$5.47,$0,$0
DT,"Oct 22, 2021",$5.34,$5.46,$5.17,$5.24,$0,$0
DT,"Oct 21, 2021",$5.45,$5.69,$5.31,$5.34,$0,$0
DT,"Oct 20, 2021",$5.14,$5.47,$5.09,$5.45,$0,$0
DT,"Oct 19, 2021",$4.99,$5.14,$4.98,$5.14,$0,$0
DT,"Oct 18, 2021",$5.10,$5.15,$4.92,$4.99,$0,$0
DT,"Oct 17, 2021",$5.08,$5.18,$4.89,$5.10,$0,$0
DT,"Oct 16, 2021",$5.12,$5.23,$5.05,$5.08,$0,$0
DT,"Oct 15, 2021",$5.03,$5.16,$4.97,$5.12,$0,$0
DT,"Oct 14, 2021",$4.83,$5.07,$4.81,$5.03,$0,$0
DT,"Oct 13, 2021",$4.70,$4.83,$4.61,$4.82,$0,$0
DT,"Oct 12, 2021",$4.76,$4.76,$4.60,$4.70,$0,$0
DT,"Oct 11, 2021",$4.62,$4.84,$4.58,$4.75,$0,$0
DT,"Oct 10, 2021",$4.79,$4.82,$4.61,$4.63,$0,$0
DT,"Oct 09, 2021",$4.78,$4.85,$4.76,$4.79,$0,$0
DT,"Oct 08, 2021",$4.81,$4.90,$4.76,$4.78,$0,$0
DT,"Oct 07, 2021",$4.80,$4.88,$4.68,$4.81,$0,$0
DT,"Oct 06, 2021",$4.73,$4.84,$4.54,$4.80,$0,$0
DT,"Oct 05, 2021",$4.57,$4.75,$4.55,$4.73,$0,$0
DT,"Oct 04, 2021",$4.61,$4.63,$4.46,$4.57,$0,$0
DT,"Oct 03, 2021",$4.58,$4.69,$4.53,$4.61,$0,$0
DT,"Oct 02, 2021",$4.49,$4.67,$4.43,$4.58,$0,$0
DT,"Oct 01, 2021",$4.14,$4.51,$4.11,$4.49,$0,$0
DT,"Sep 30, 2021",$3.97,$4.19,$3.95,$4.14,$0,$0
DT,"Sep 29, 2021",$3.91,$4.07,$3.89,$3.96,$0,$0
DT,"Sep 28, 2021",$4.06,$4.10,$3.90,$3.91,$0,$0
DT,"Sep 27, 2021",$4.21,$4.32,$4.06,$4.06,$0,$0
DT,"Sep 26, 2021",$4.05,$4.27,$3.84,$4.21,$0,$0
DT,"Sep 25, 2021",$4.06,$4.10,$3.93,$4.05,$0,$0
DT,"Sep 24, 2021",$4.31,$4.32,$3.85,$4.06,$0,$0
DT,"Sep 23, 2021",$4.22,$4.33,$4.18,$4.31,$0,$0
DT,"Sep 22, 2021",$3.87,$4.24,$3.84,$4.22,$0,$0
DT,"Sep 21, 2021",$4.09,$4.25,$3.77,$3.85,$0,$0
DT,"Sep 20, 2021",$4.51,$4.53,$4.07,$4.09,$0,$0
DT,"Sep 19, 2021",$4.63,$4.65,$4.46,$4.51,$0,$0
DT,"Sep 18, 2021",$4.59,$4.75,$4.56,$4.62,$0,$0
DT,"Sep 17, 2021",$4.79,$4.81,$4.54,$4.59,$0,$0
DT,"Sep 16, 2021",$4.84,$4.90,$4.69,$4.79,$0,$0
DT,"Sep 15, 2021",$4.62,$4.82,$4.55,$4.82,$0,$0
DT,"Sep 14, 2021",$4.46,$4.62,$4.45,$4.62,$0,$0
DT,"Sep 13, 2021",$4.60,$4.62,$4.27,$4.46,$0,$0
DT,"Sep 12, 2021",$4.44,$4.66,$4.40,$4.60,$0,$0
DT,"Sep 11, 2021",$4.38,$4.53,$4.37,$4.44,$0,$0
DT,"Sep 10, 2021",$4.62,$4.72,$4.31,$4.37,$0,$0
DT,"Sep 09, 2021",$4.65,$4.78,$4.59,$4.62,$0,$0
DT,"Sep 08, 2021",$4.62,$4.77,$4.39,$4.70,$0,$0
DT,"Sep 07, 2021",$5.19,$5.21,$4.21,$4.62,$0,$0
DT,"Sep 06, 2021",$5.22,$5.24,$5.13,$5.20,$0,$0
DT,"Sep 05, 2021",$5.15,$5.25,$5.09,$5.22,$0,$0
DT,"Sep 04, 2021",$5.21,$5.24,$5.09,$5.15,$0,$0
DT,"Sep 03, 2021",$5.04,$5.30,$4.95,$5.21,$0,$0
DT,"Sep 02, 2021",$5.09,$5.09,$4.97,$5.04,$0,$0
DT,"Sep 01, 2021",$4.63,$5.07,$4.58,$5.07,$0,$0
DT,"Aug 31, 2021",$4.39,$4.67,$4.36,$4.63,$0,$0
DT,"Aug 30, 2021",$4.39,$4.53,$4.31,$4.39,$0,$0
DT,"Aug 29, 2021",$4.41,$4.46,$4.32,$4.39,$0,$0
DT,"Aug 28, 2021",$4.44,$4.46,$4.38,$4.41,$0,$0
DT,"Aug 27, 2021",$4.25,$4.46,$4.21,$4.44,$0,$0
DT,"Aug 26, 2021",$4.39,$4.42,$4.20,$4.25,$0,$0
DT,"Aug 25, 2021",$4.33,$4.42,$4.23,$4.39,$0,$0
DT,"Aug 24, 2021",$4.50,$4.54,$4.31,$4.34,$0,$0
DT,"Aug 23, 2021",$4.41,$4.56,$4.40,$4.50,$0,$0
DT,"Aug 22, 2021",$4.39,$4.45,$4.30,$4.41,$0,$0
DT,"Aug 21, 2021",$4.46,$4.49,$4.37,$4.39,$0,$0
DT,"Aug 20, 2021",$4.34,$4.47,$4.34,$4.46,$0,$0
DT,"Aug 19, 2021",$4.16,$4.34,$4.09,$4.34,$0,$0
DT,"Aug 18, 2021",$4.15,$4.28,$4.09,$4.16,$0,$0
DT,"Aug 17, 2021",$4.31,$4.46,$4.13,$4.15,$0,$0
DT,"Aug 16, 2021",$4.49,$4.52,$4.29,$4.32,$0,$0
DT,"Aug 15, 2021",$4.44,$4.50,$4.27,$4.49,$0,$0
DT,"Aug 14, 2021",$4.50,$4.51,$4.38,$4.44,$0,$0
DT,"Aug 13, 2021",$4.18,$4.51,$4.18,$4.50,$0,$0
DT,"Aug 12, 2021",$4.32,$4.40,$4.12,$4.19,$0,$0
DT,"Aug 11, 2021",$4.30,$4.44,$4.27,$4.33,$0,$0
DT,"Aug 10, 2021",$4.33,$4.40,$4.20,$4.30,$0,$0
DT,"Aug 09, 2021",$4.15,$4.35,$4.02,$4.32,$0,$0
