symbol,date,open,high,low,close,volume,marketCap
DYDX,"Oct 22, 2021",$19.36,$20.42,$19.01,$20.24,"$225,046,255","$1,140,511,140"
DYDX,"Oct 21, 2021",$19.96,$20.81,$18.99,$19.35,"$257,834,127","$1,089,948,602"
DYDX,"Oct 20, 2021",$19.16,$20.91,$18.60,$19.93,"$312,040,083","$1,123,009,855"
DYDX,"Oct 19, 2021",$20.14,$20.66,$18.83,$19.21,"$207,970,863","$1,082,209,427"
DYDX,"Oct 18, 2021",$21.05,$21.53,$19.67,$20.16,"$264,218,347","$1,135,900,529"
DYDX,"Oct 17, 2021",$22.33,$22.71,$20.17,$21.05,"$231,832,921","$1,186,177,244"
DYDX,"Oct 16, 2021",$22.62,$23.32,$22.04,$22.32,"$240,959,896","$1,257,470,883"
DYDX,"Oct 15, 2021",$23.62,$24.23,$22.31,$22.58,"$385,445,149","$1,272,364,103"
DYDX,"Oct 14, 2021",$22.33,$23.79,$22.28,$23.65,"$330,802,062","$1,332,099,476"
DYDX,"Oct 13, 2021",$22.32,$24.86,$21.63,$22.34,"$631,944,483","$1,258,399,373"
DYDX,"Oct 12, 2021",$23.66,$23.66,$21.37,$22.30,"$513,693,248","$1,256,239,377"
DYDX,"Oct 11, 2021",$22.63,$26.03,$22.27,$23.58,"$908,702,915","$1,328,156,709"
DYDX,"Oct 10, 2021",$21.80,$24.86,$21.16,$22.70,"$706,688,436","$1,263,961,995"
DYDX,"Oct 09, 2021",$21.92,$22.99,$21.37,$21.77,"$290,464,992","$1,212,047,434"
DYDX,"Oct 08, 2021",$21.74,$22.72,$21.11,$21.90,"$389,337,373","$1,219,346,315"
DYDX,"Oct 07, 2021",$23.04,$24.89,$21.62,$21.74,"$577,903,733","$1,210,719,842"
DYDX,"Oct 06, 2021",$22.61,$23.54,$20.66,$23.24,"$689,977,099","$1,293,801,428"
DYDX,"Oct 05, 2021",$23.47,$24.49,$22.12,$22.65,"$527,703,569","$1,261,387,818"
DYDX,"Oct 04, 2021",$23.58,$26.43,$22.65,$23.40,"$902,981,438","$1,303,113,951"
DYDX,"Oct 03, 2021",$23.22,$23.83,$21.53,$23.47,"$530,968,645","$1,306,531,443"
DYDX,"Oct 02, 2021",$22.31,$24.36,$21.78,$23.22,"$661,357,938","$1,293,076,792"
DYDX,"Oct 01, 2021",$23.58,$25.04,$21.45,$22.40,"$885,491,333","$1,247,345,325"
DYDX,"Sep 30, 2021",$26.76,$27.78,$23.23,$23.61,"$1,742,444,332","$1,314,768,066"
DYDX,"Sep 29, 2021",$22.55,$26.80,$21.90,$26.71,"$2,052,235,475","$1,487,289,679"
DYDX,"Sep 28, 2021",$21.03,$23.49,$19.34,$22.46,"$1,787,845,180","$1,250,330,622"
DYDX,"Sep 27, 2021",$19.36,$22.85,$18.81,$21.13,"$1,716,691,300","$1,176,717,994"
DYDX,"Sep 26, 2021",$13.98,$19.65,$12.86,$19.24,"$1,499,858,084","$1,071,297,649"
DYDX,"Sep 25, 2021",$12.12,$14.33,$11.51,$13.85,"$369,347,217","$770,913,156"
DYDX,"Sep 24, 2021",$14.07,$14.15,$11.14,$12.14,"$305,901,867","$675,837,527"
DYDX,"Sep 23, 2021",$14.62,$14.94,$13.14,$13.99,"$286,271,729","$778,725,438"
DYDX,"Sep 22, 2021",$12.49,$14.92,$12.29,$14.64,"$442,467,609","$815,307,342"
DYDX,"Sep 21, 2021",$11.84,$13.65,$10.84,$12.53,"$515,374,672","$697,753,121"
DYDX,"Sep 20, 2021",$14.27,$14.27,$11.28,$11.61,"$525,081,228","$646,363,882"
DYDX,"Sep 19, 2021",$16.07,$16.27,$13.90,$14.25,"$365,686,567","$793,284,913"
DYDX,"Sep 18, 2021",$16.48,$17.99,$15.53,$16.07,"$490,494,339","$894,590,443"
DYDX,"Sep 17, 2021",$15.38,$18.23,$14.98,$16.21,"$937,595,258","$902,649,928"
DYDX,"Sep 16, 2021",$11.59,$16.97,$11.59,$15.34,"$954,472,241","$853,951,598"
DYDX,"Sep 15, 2021",$11.70,$12.50,$11.06,$11.61,"$250,097,610","$646,168,713"
DYDX,"Sep 14, 2021",$10.40,$12.11,$10.02,$11.68,"$316,236,905","$650,179,647"
DYDX,"Sep 13, 2021",$11.30,$11.46,$9.14,$10.40,"$333,238,696","$579,272,297"
DYDX,"Sep 12, 2021",$10.94,$12.67,$10.71,$11.30,"$302,246,695","$629,114,724"
DYDX,"Sep 11, 2021",$10.43,$12.73,$10.43,$10.99,"$377,091,121","$611,848,200"
DYDX,"Sep 10, 2021",$12.98,$14.38,$9.99,$10.40,"$597,996,728","$579,092,655"
DYDX,"Sep 09, 2021",$13.77,$15.99,$10.34,$12.97,"$1,566,671,926","$988,581,133"
DYDX,"Sep 08, 2021",$0,$12.80,$0,$12.80,"$617,669,959","$712,841,503"
