symbol,date,open,high,low,close,volume,marketCap
EDG,"Oct 29, 2021",$0.01278,$0.02118,$0.01202,$0.02114,"$6,508","$2,582,431"
EDG,"Oct 28, 2021",$0.008745,$0.02029,$0.008713,$0.01278,"$12,032","$1,560,647"
EDG,"Oct 27, 2021",$0.009633,$0.01042,$0.008543,$0.008751,"$1,976","$1,068,916"
EDG,"Oct 26, 2021",$0.01016,$0.0136,$0.009408,$0.009632,"$6,630","$1,176,468"
EDG,"Oct 25, 2021",$0.005546,$0.01249,$0.005391,$0.01016,"$6,316","$1,241,317"
EDG,"Oct 24, 2021",$0.006571,$0.006846,$0.005509,$0.005546,$363,"$677,470"
EDG,"Oct 23, 2021",$0.007398,$0.00742,$0.005642,$0.00657,$48,"$802,516"
EDG,"Oct 22, 2021",$0.006352,$0.007705,$0.006348,$0.007398,$256,"$903,703"
EDG,"Oct 21, 2021",$0.005423,$0.007429,$0.005208,$0.006353,"$7,616","$776,001"
EDG,"Oct 20, 2021",$0.005904,$0.00591,$0.005394,$0.005424,$1,"$662,483"
EDG,"Oct 19, 2021",$0.005478,$0.00592,$0.00545,$0.005904,$318,"$721,122"
EDG,"Oct 18, 2021",$0.005467,$0.005768,$0.005412,$0.005478,$237,"$669,101"
EDG,"Oct 17, 2021",$0.005086,$0.005521,$0.005069,$0.005467,$161,"$667,792"
EDG,"Oct 16, 2021",$0.005505,$0.005517,$0.005085,$0.005085,$26,"$621,161"
EDG,"Oct 15, 2021",$0.005332,$0.005702,$0.00529,$0.005506,$110,"$672,545"
EDG,"Oct 14, 2021",$0.005338,$0.005622,$0.005269,$0.005333,$183,"$651,430"
EDG,"Oct 13, 2021",$0.005409,$0.005425,$0.005048,$0.005339,$20,"$652,200"
EDG,"Oct 12, 2021",$0.005458,$0.005463,$0.005362,$0.005409,$0,"$660,752"
EDG,"Oct 11, 2021",$0.005592,$0.005755,$0.005372,$0.005456,$837,"$666,426"
EDG,"Oct 10, 2021",$0.005495,$0.00605,$0.004918,$0.005595,"$1,620","$683,447"
EDG,"Oct 09, 2021",$0.005613,$0.005711,$0.005391,$0.005494,$68,"$671,082"
EDG,"Oct 08, 2021",$0.005775,$0.005944,$0.005595,$0.005611,$745,"$685,395"
EDG,"Oct 07, 2021",$0.005794,$0.007354,$0.005384,$0.005775,$731,"$705,371"
EDG,"Oct 06, 2021",$0.005172,$0.005815,$0.005068,$0.005798,$24,"$708,201"
EDG,"Oct 05, 2021",$0.005468,$0.00555,$0.005022,$0.005172,$1,"$631,782"
EDG,"Oct 04, 2021",$0.005688,$0.005695,$0.004945,$0.005468,$4,"$667,918"
EDG,"Oct 03, 2021",$0.005439,$0.005748,$0.005006,$0.005687,$824,"$694,670"
EDG,"Oct 02, 2021",$0.005869,$0.005879,$0.005429,$0.005441,$180,"$664,620"
EDG,"Oct 01, 2021",$0.004658,$0.006491,$0.004632,$0.005872,$319,"$717,219"
EDG,"Sep 30, 2021",$0.004429,$0.00467,$0.004428,$0.004658,$0,"$569,000"
EDG,"Sep 29, 2021",$0.004641,$0.004754,$0.004421,$0.004429,$96,"$540,965"
EDG,"Sep 28, 2021",$0.004951,$0.005011,$0.004634,$0.004638,$1,"$566,476"
EDG,"Sep 27, 2021",$0.005732,$0.005815,$0.004621,$0.004951,$589,"$604,759"
EDG,"Sep 26, 2021",$0.005382,$0.005763,$0.004466,$0.005734,"$1,164","$700,410"
EDG,"Sep 25, 2021",$0.004764,$0.005393,$0.0047,$0.005382,$125,"$657,375"
EDG,"Sep 24, 2021",$0.00489,$0.004899,$0.004464,$0.004764,$11,"$581,877"
EDG,"Sep 23, 2021",$0.004754,$0.005144,$0.004709,$0.00489,$42,"$597,319"
EDG,"Sep 22, 2021",$0.004434,$0.004779,$0.004426,$0.004754,$531,"$580,745"
EDG,"Sep 21, 2021",$0.006487,$0.006508,$0.004338,$0.004419,$995,"$539,797"
EDG,"Sep 20, 2021",$0.008488,$0.008492,$0.005634,$0.006492,"$1,557","$792,935"
EDG,"Sep 19, 2021",$0.008173,$0.008551,$0.008088,$0.008489,"$1,853","$1,036,853"
EDG,"Sep 18, 2021",$0.007714,$0.008965,$0.007395,$0.008168,$802,"$997,729"
EDG,"Sep 17, 2021",$0.005451,$0.01,$0.005443,$0.00771,"$5,087","$941,765"
EDG,"Sep 16, 2021",$0.006113,$0.006713,$0.005368,$0.00545,$808,"$665,724"
EDG,"Sep 15, 2021",$0.005927,$0.006149,$0.005518,$0.006115,$448,"$746,896"
EDG,"Sep 14, 2021",$0.005219,$0.005927,$0.005195,$0.005927,$13,"$723,926"
EDG,"Sep 13, 2021",$0.005796,$0.005799,$0.005113,$0.005219,$78,"$637,495"
EDG,"Sep 12, 2021",$0.005697,$0.005804,$0.00567,$0.005796,$6,"$708,009"
