symbol,date,open,high,low,close,volume,marketCap
EGCC,"Oct 29, 2021",$0.0001719,$0.0001774,$0.0001662,$0.000171,"$11,409",$0
EGCC,"Oct 28, 2021",$0.0001706,$0.000178,$0.0001653,$0.0001719,"$17,661",$0
EGCC,"Oct 27, 2021",$0.0001663,$0.0002128,$0.0001639,$0.0001708,"$95,127",$0
EGCC,"Oct 26, 2021",$0.0001783,$0.0001785,$0.0001637,$0.0001663,"$20,000",$0
EGCC,"Oct 25, 2021",$0.000166,$0.0001774,$0.0001588,$0.0001713,"$23,166",$0
EGCC,"Oct 24, 2021",$0.0001712,$0.0001747,$0.0001619,$0.0001662,"$14,880",$0
EGCC,"Oct 23, 2021",$0.0001727,$0.000175,$0.0001648,$0.0001711,"$16,168",$0
EGCC,"Oct 22, 2021",$0.0001642,$0.0001903,$0.000161,$0.0001726,"$21,617",$0
EGCC,"Oct 21, 2021",$0.0001778,$0.0001811,$0.0001582,$0.0001643,"$13,186",$0
EGCC,"Oct 20, 2021",$0.0001659,$0.0001837,$0.0001597,$0.0001777,"$26,503",$0
EGCC,"Oct 19, 2021",$0.0001636,$0.0001738,$0.0001566,$0.0001659,"$25,575",$0
EGCC,"Oct 18, 2021",$0.0001705,$0.0001726,$0.000159,$0.0001636,"$15,287",$0
EGCC,"Oct 17, 2021",$0.0001677,$0.0001808,$0.0001633,$0.0001706,"$18,011",$0
EGCC,"Oct 16, 2021",$0.0001753,$0.0001766,$0.0001626,$0.0001677,"$16,664",$0
EGCC,"Oct 15, 2021",$0.0001611,$0.0001894,$0.0001584,$0.0001754,"$80,323",$0
EGCC,"Oct 14, 2021",$0.0001752,$0.0001788,$0.0001529,$0.0001611,"$31,806",$0
EGCC,"Oct 13, 2021",$0.0001794,$0.000181,$0.0001605,$0.0001752,"$17,314",$0
EGCC,"Oct 12, 2021",$0.0001744,$0.0001909,$0.0001671,$0.0001794,"$33,253",$0
EGCC,"Oct 11, 2021",$0.0001724,$0.0002109,$0.0001635,$0.000177,"$147,246",$0
EGCC,"Oct 10, 2021",$0.0001752,$0.0001976,$0.0001564,$0.0001726,"$42,841",$0
EGCC,"Oct 09, 2021",$0.0001763,$0.0001802,$0.0001687,$0.0001752,"$13,174",$0
EGCC,"Oct 08, 2021",$0.0001675,$0.0001955,$0.0001616,$0.0001762,"$37,066",$0
EGCC,"Oct 07, 2021",$0.0001832,$0.0001992,$0.0001482,$0.0001675,"$82,368",$0
EGCC,"Oct 06, 2021",$0.0001657,$0.000211,$0.0001584,$0.0001758,"$63,514",$0
EGCC,"Oct 05, 2021",$0.0001527,$0.0001696,$0.0001383,$0.0001657,"$57,906",$0
EGCC,"Oct 04, 2021",$0.0001557,$0.0001643,$0.0001405,$0.0001527,"$38,106",$0
EGCC,"Oct 03, 2021",$0.0001587,$0.0001602,$0.0001517,$0.0001557,"$19,781",$0
EGCC,"Oct 02, 2021",$0.0001589,$0.0001738,$0.0001447,$0.0001587,"$58,986",$0
EGCC,"Oct 01, 2021",$0.0001594,$0.0001668,$0.0001287,$0.000159,"$73,936",$0
EGCC,"Sep 30, 2021",$0.0001615,$0.0001706,$0.0001583,$0.0001594,"$103,910",$0
EGCC,"Sep 29, 2021",$0.0001499,$0.0001654,$0.0001474,$0.0001613,"$44,391",$0
EGCC,"Sep 28, 2021",$0.000146,$0.0001705,$0.0001338,$0.0001497,"$131,993",$0
EGCC,"Sep 27, 2021",$0.0001486,$0.0001606,$0.0001451,$0.000146,"$53,339",$0
