symbol,date,open,high,low,close,volume,marketCap
EPAN,"Oct 29, 2021",$0.1174,$0.1202,$0.1165,$0.1171,"$3,022,042",$0
EPAN,"Oct 28, 2021",$0.1213,$0.1222,$0.115,$0.1174,"$3,424,358",$0
EPAN,"Oct 27, 2021",$0.1229,$0.1267,$0.1199,$0.1214,"$3,264,543",$0
EPAN,"Oct 26, 2021",$0.1237,$0.1297,$0.1217,$0.1229,"$2,692,831",$0
EPAN,"Oct 25, 2021",$0.123,$0.1242,$0.1152,$0.1237,"$2,336,244",$0
EPAN,"Oct 24, 2021",$0.1248,$0.1255,$0.1205,$0.123,"$2,092,694",$0
EPAN,"Oct 23, 2021",$0.1145,$0.1261,$0.1133,$0.1247,"$2,579,379",$0
EPAN,"Oct 22, 2021",$0.1135,$0.1171,$0.1128,$0.1145,"$2,999,587",$0
EPAN,"Oct 21, 2021",$0.1272,$0.1295,$0.1128,$0.1136,"$2,720,112",$0
EPAN,"Oct 20, 2021",$0.1235,$0.1279,$0.1221,$0.1272,"$2,830,128",$0
EPAN,"Oct 19, 2021",$0.1232,$0.1257,$0.121,$0.1235,"$2,695,745",$0
EPAN,"Oct 18, 2021",$0.1241,$0.1259,$0.1217,$0.1232,"$3,050,914",$0
EPAN,"Oct 17, 2021",$0.1297,$0.1317,$0.1212,$0.1241,"$2,962,308",$0
EPAN,"Oct 16, 2021",$0.1353,$0.1382,$0.1287,$0.1297,"$3,461,305",$0
EPAN,"Oct 15, 2021",$0.1301,$0.1416,$0.1285,$0.1353,"$3,776,132",$0
EPAN,"Oct 14, 2021",$0.1311,$0.1417,$0.1211,$0.1301,"$3,141,990",$0
EPAN,"Oct 13, 2021",$0.1182,$0.1418,$0.117,$0.1311,"$3,284,146",$0
EPAN,"Oct 12, 2021",$0.1244,$0.1253,$0.1171,$0.1182,"$3,737,484",$0
EPAN,"Oct 11, 2021",$0.124,$0.1276,$0.1233,$0.1244,"$3,597,959",$0
EPAN,"Oct 10, 2021",$0.1273,$0.128,$0.1229,$0.124,"$4,726,627",$0
EPAN,"Oct 09, 2021",$0.1266,$0.1282,$0.1251,$0.1274,"$3,695,314",$0
EPAN,"Oct 08, 2021",$0.1264,$0.129,$0.1252,$0.1266,"$3,205,534",$0
EPAN,"Oct 07, 2021",$0.1431,$0.1643,$0.1249,$0.1264,"$3,878,507",$0
EPAN,"Oct 06, 2021",$0.1328,$0.1454,$0.1229,$0.1432,"$3,516,032",$0
EPAN,"Oct 05, 2021",$0.1177,$0.1347,$0.1172,$0.1328,"$3,580,565",$0
EPAN,"Oct 04, 2021",$0.1183,$0.1203,$0.1163,$0.1177,"$4,045,811",$0
EPAN,"Oct 03, 2021",$0.1131,$0.12,$0.1113,$0.1183,"$3,551,081",$0
EPAN,"Oct 02, 2021",$0.1109,$0.1138,$0.1092,$0.1132,"$3,664,314",$0
EPAN,"Oct 01, 2021",$0.1142,$0.1151,$0.108,$0.1109,"$3,615,098",$0
EPAN,"Sep 30, 2021",$0.1118,$0.1158,$0.1116,$0.1142,"$3,244,581",$0
EPAN,"Sep 29, 2021",$0.1113,$0.1148,$0.1105,$0.1117,"$3,602,402",$0
EPAN,"Sep 28, 2021",$0.1124,$0.1136,$0.1104,$0.1112,"$3,519,291",$0
EPAN,"Sep 27, 2021",$0.1165,$0.1188,$0.112,$0.1124,"$3,352,920",$0
EPAN,"Sep 26, 2021",$0.1119,$0.1177,$0.1094,$0.1166,"$3,001,535",$0
EPAN,"Sep 25, 2021",$0.1113,$0.1135,$0.1095,$0.1119,"$3,903,624",$0
EPAN,"Sep 24, 2021",$0.1162,$0.1168,$0.1094,$0.1113,"$3,152,958",$0
EPAN,"Sep 23, 2021",$0.1167,$0.1175,$0.1144,$0.1163,"$4,027,713",$0
EPAN,"Sep 22, 2021",$0.1131,$0.117,$0.1121,$0.1167,"$4,345,825",$0
EPAN,"Sep 21, 2021",$0.1152,$0.1176,$0.1103,$0.1131,"$3,447,960",$0
EPAN,"Sep 20, 2021",$0.122,$0.1222,$0.114,$0.1153,"$3,015,926",$0
EPAN,"Sep 19, 2021",$0.1206,$0.1232,$0.12,$0.122,"$2,204,896",$0
