symbol,date,open,high,low,close,volume,marketCap
ETHA,"Oct 22, 2021",$0.1446,$0.1499,$0.1339,$0.1378,"$895,609","$1,289,660"
ETHA,"Oct 21, 2021",$0.133,$0.1452,$0.133,$0.1446,"$1,112,689","$1,353,114"
ETHA,"Oct 20, 2021",$0.132,$0.1361,$0.1189,$0.133,"$1,024,485","$1,244,774"
ETHA,"Oct 19, 2021",$0.1364,$0.1364,$0.1308,$0.132,"$252,974","$1,235,542"
ETHA,"Oct 18, 2021",$0.1365,$0.1379,$0.1344,$0.1364,"$323,706","$1,276,819"
ETHA,"Oct 17, 2021",$0.1437,$0.1441,$0.1361,$0.1365,"$209,283","$1,277,438"
ETHA,"Oct 16, 2021",$0.154,$0.1575,$0.1397,$0.1437,"$322,464","$1,344,864"
ETHA,"Oct 15, 2021",$0.1465,$0.154,$0.1366,$0.154,"$553,046","$1,441,284"
ETHA,"Oct 14, 2021",$0.1493,$0.1516,$0.1414,$0.1465,"$383,468","$1,371,196"
ETHA,"Oct 13, 2021",$0.1489,$0.1531,$0.1418,$0.1493,"$475,661","$1,397,781"
ETHA,"Oct 12, 2021",$0.1541,$0.1554,$0.1455,$0.1489,"$335,106","$1,393,151"
ETHA,"Oct 11, 2021",$0.1698,$0.1718,$0.1505,$0.1541,"$592,084","$1,442,133"
ETHA,"Oct 10, 2021",$0.173,$0.1775,$0.1611,$0.1698,"$1,166,079","$1,589,431"
ETHA,"Oct 09, 2021",$0.182,$0.1853,$0.1494,$0.173,"$849,717","$1,619,264"
ETHA,"Oct 08, 2021",$0.1743,$0.1852,$0.1687,$0.182,"$604,322","$1,703,283"
ETHA,"Oct 07, 2021",$0.1732,$0.1806,$0.148,$0.1743,"$839,049","$1,631,394"
ETHA,"Oct 06, 2021",$0.1886,$0.1966,$0.1541,$0.1732,"$622,482","$1,621,066"
ETHA,"Oct 05, 2021",$0.1881,$0.1971,$0.176,$0.1886,"$449,182","$1,765,006"
ETHA,"Oct 04, 2021",$0.1827,$0.2117,$0.1772,$0.1881,"$606,226","$1,760,370"
ETHA,"Oct 03, 2021",$0.1797,$0.1861,$0.178,$0.1827,"$675,954","$1,709,853"
ETHA,"Oct 02, 2021",$0.1798,$0.183,$0.1769,$0.1797,"$919,323","$1,682,093"
ETHA,"Oct 01, 2021",$0.1703,$0.183,$0.1699,$0.1798,"$538,187","$1,682,622"
ETHA,"Sep 30, 2021",$0.1819,$0.1841,$0.1696,$0.1703,"$492,344","$1,594,020"
ETHA,"Sep 29, 2021",$0.1792,$0.1996,$0.1769,$0.1819,"$559,938","$1,702,393"
ETHA,"Sep 28, 2021",$0.1807,$0.1819,$0.1667,$0.1792,"$694,148","$1,677,289"
ETHA,"Sep 27, 2021",$0.1592,$0.1925,$0.1496,$0.1807,"$853,340","$1,691,435"
ETHA,"Sep 26, 2021",$0.1852,$0.1882,$0.1359,$0.1592,"$722,920","$1,490,337"
ETHA,"Sep 25, 2021",$0.1967,$0.1995,$0.1778,$0.1853,"$568,733","$1,734,363"
ETHA,"Sep 24, 2021",$0.2196,$0.2214,$0.1895,$0.1966,"$485,977","$1,840,419"
ETHA,"Sep 23, 2021",$0.213,$0.2224,$0.2117,$0.2196,"$313,317","$2,055,575"
ETHA,"Sep 22, 2021",$0.2129,$0.2268,$0.2036,$0.213,"$390,492","$1,993,734"
ETHA,"Sep 21, 2021",$0.2298,$0.2405,$0.2017,$0.2129,"$357,790","$1,992,863"
