symbol,date,open,high,low,close,volume,marketCap
ETHBULL,"Oct 29, 2021","$2,249.40","$2,516.93","$2,229.49","$2,442.47","$12,061,590",$0
ETHBULL,"Oct 28, 2021","$1,764.25","$2,261.27","$1,741.95","$2,251.79","$11,202,491",$0
ETHBULL,"Oct 27, 2021","$2,074.12","$2,350.09","$1,766.57","$1,766.57","$12,116,705",$0
ETHBULL,"Oct 26, 2021","$2,227.80","$2,341.20","$2,022.41","$2,074.13","$8,602,182",$0
ETHBULL,"Oct 25, 2021","$2,026.42","$2,247.88","$2,007.56","$2,227.08","$7,288,424",$0
ETHBULL,"Oct 24, 2021","$2,166.67","$2,187.08","$1,845.98","$2,030.94","$4,711,880",$0
ETHBULL,"Oct 23, 2021","$1,890.55","$2,164.71","$1,845.07","$2,163.84","$6,148,289",$0
ETHBULL,"Oct 22, 2021","$2,021.15","$2,182.30","$1,798.87","$1,888.79","$7,985,489",$0
ETHBULL,"Oct 21, 2021","$2,188.17","$2,516.09","$1,986.32","$2,020.47","$17,523,227",$0
ETHBULL,"Oct 20, 2021","$1,800.35","$2,199.25","$1,729.31","$2,182.92","$8,564,196",$0
ETHBULL,"Oct 19, 2021","$1,636.84","$1,811.35","$1,622.38","$1,800.57","$4,029,590",$0
ETHBULL,"Oct 18, 2021","$1,775.87","$1,835.43","$1,559.71","$1,636.25","$4,740,143",$0
ETHBULL,"Oct 17, 2021","$1,759.40","$1,870.43","$1,544.20","$1,777.95","$4,541,997",$0
ETHBULL,"Oct 16, 2021","$1,816.59","$1,948.45","$1,728.63","$1,764.97","$4,547,085",$0
ETHBULL,"Oct 15, 2021","$1,715.49","$1,861.73","$1,642.17","$1,812.82","$5,965,239",$0
ETHBULL,"Oct 14, 2021","$1,493.49","$1,752.84","$1,471.11","$1,710.44","$4,739,998",$0
ETHBULL,"Oct 13, 2021","$1,353.26","$1,496.92","$1,266.65","$1,491.11","$3,854,680",$0
ETHBULL,"Oct 12, 2021","$1,419.59","$1,423.56","$1,258.20","$1,359.25","$4,908,576",$0
ETHBULL,"Oct 11, 2021","$1,284.21","$1,505.45","$1,243.42","$1,415.79","$4,252,690",$0
ETHBULL,"Oct 10, 2021","$1,479.89","$1,516.77","$1,277.66","$1,293.17","$4,068,014",$0
ETHBULL,"Oct 09, 2021","$1,464.51","$1,546.01","$1,448.18","$1,483.71","$1,686,468",$0
ETHBULL,"Oct 08, 2021","$1,501.01","$1,606.48","$1,439.56","$1,467.20","$2,847,534",$0
ETHBULL,"Oct 07, 2021","$1,492.49","$1,581.17","$1,367.10","$1,503.78","$3,884,341",$0
ETHBULL,"Oct 06, 2021","$1,420.34","$1,550.23","$1,217.68","$1,495.03","$5,178,496",$0
ETHBULL,"Oct 05, 2021","$1,272.89","$1,448.51","$1,248.18","$1,421.62","$3,663,127",$0
ETHBULL,"Oct 04, 2021","$1,314.17","$1,331.57","$1,152.14","$1,266.06","$4,674,476",$0
ETHBULL,"Oct 03, 2021","$1,283.95","$1,386.32","$1,241.64","$1,313.15","$3,675,030",$0
