symbol,date,open,high,low,close,volume,marketCap
ETHIX,"Oct 22, 2021",$0.6365,$0.7262,$0.614,$0.7188,"$32,981",$0
ETHIX,"Oct 21, 2021",$0.657,$0.6803,$0.6327,$0.6372,"$2,533",$0
ETHIX,"Oct 20, 2021",$0.6077,$0.6581,$0.6009,$0.6581,"$5,092",$0
ETHIX,"Oct 19, 2021",$0.5748,$0.613,$0.573,$0.6105,"$18,460",$0
ETHIX,"Oct 18, 2021",$0.5871,$0.596,$0.5686,$0.5748,$0,$0
ETHIX,"Oct 17, 2021",$0.6004,$0.6101,$0.5621,$0.5866,"$4,289",$0
ETHIX,"Oct 16, 2021",$0.6077,$0.6175,$0.595,$0.6004,$668,$0
ETHIX,"Oct 15, 2021",$0.6032,$0.6116,$0.5835,$0.6069,"$1,678",$0
ETHIX,"Oct 14, 2021",$0.5695,$0.6048,$0.5691,$0.6039,$0,$0
ETHIX,"Oct 13, 2021",$0.5546,$0.5701,$0.5448,$0.5691,$0,$0
ETHIX,"Oct 12, 2021",$0.5588,$0.5599,$0.5389,$0.5544,$699,$0
ETHIX,"Oct 11, 2021",$0.5446,$0.5729,$0.5408,$0.5592,$558,$0
ETHIX,"Oct 10, 2021",$0.5669,$0.5678,$0.5447,$0.5451,$343,$0
ETHIX,"Oct 09, 2021",$0.5558,$0.5717,$0.552,$0.5676,"$2,025",$0
ETHIX,"Oct 08, 2021",$0.5608,$0.5706,$0.5526,$0.556,$0,$0
ETHIX,"Oct 07, 2021",$0.5591,$0.5795,$0.5435,$0.5615,$0,$0
ETHIX,"Oct 06, 2021",$0.5486,$0.5644,$0.5229,$0.5587,$0,$0
ETHIX,"Oct 05, 2021",$0.5274,$0.5526,$0.5226,$0.5496,$380,$0
ETHIX,"Oct 04, 2021",$0.52,$0.5327,$0.5069,$0.5273,"$17,139",$0
ETHIX,"Oct 03, 2021",$0.5157,$0.5307,$0.511,$0.5198,$0,$0
ETHIX,"Oct 02, 2021",$0.5016,$0.5252,$0.496,$0.5165,$0,$0
ETHIX,"Oct 01, 2021",$0.4644,$0.5094,$0.4612,$0.5016,"$2,285",$0
ETHIX,"Sep 30, 2021",$0.4396,$0.4699,$0.4392,$0.4643,$0,$0
ETHIX,"Sep 29, 2021",$0.4378,$0.4564,$0.4291,$0.4401,"$3,185",$0
ETHIX,"Sep 28, 2021",$0.4601,$0.4643,$0.4374,$0.4383,$153,$0
ETHIX,"Sep 27, 2021",$0.4744,$0.4917,$0.4337,$0.4601,$591,$0
ETHIX,"Sep 26, 2021",$0.4344,$0.4826,$0.4338,$0.4747,$449,$0
ETHIX,"Sep 25, 2021",$0.4554,$0.46,$0.4341,$0.4344,$0,$0
ETHIX,"Sep 24, 2021",$0.4343,$0.4618,$0.4328,$0.4552,$318,$0
ETHIX,"Sep 23, 2021",$0.4626,$0.4907,$0.434,$0.4342,$0,$0
ETHIX,"Sep 22, 2021",$0.4539,$0.4637,$0.4404,$0.463,"$1,853",$0
ETHIX,"Sep 21, 2021",$0.4792,$0.5081,$0.4514,$0.454,"$2,880",$0
ETHIX,"Sep 20, 2021",$0.5274,$0.5279,$0.4777,$0.4795,"$2,611",$0
ETHIX,"Sep 19, 2021",$0.54,$0.5406,$0.5257,$0.5274,"$2,288",$0
ETHIX,"Sep 18, 2021",$0.5303,$0.5436,$0.5278,$0.5401,$0,$0
ETHIX,"Sep 17, 2021",$0.6289,$0.6329,$0.5251,$0.53,"$28,340",$0
ETHIX,"Sep 16, 2021",$0.6381,$0.6494,$0.618,$0.6294,"$1,303",$0
ETHIX,"Sep 15, 2021",$0.6174,$0.6386,$0.6046,$0.6379,"$3,563",$0
ETHIX,"Sep 14, 2021",$0.6027,$0.6255,$0.6016,$0.6172,"$1,544",$0
ETHIX,"Sep 13, 2021",$0.624,$0.6288,$0.5772,$0.6027,$0,$0
ETHIX,"Sep 12, 2021",$0.6002,$0.6337,$0.5958,$0.6241,$262,$0
ETHIX,"Sep 11, 2021",$0.5954,$0.6144,$0.5948,$0.6004,"$1,200",$0
ETHIX,"Sep 10, 2021",$0.6303,$0.6441,$0.5835,$0.5953,"$1,335",$0
ETHIX,"Sep 09, 2021",$0.6377,$0.6527,$0.6266,$0.6304,$0,$0
ETHIX,"Sep 08, 2021",$0.6309,$0.6517,$0.5941,$0.6416,$0,$0
ETHIX,"Sep 07, 2021",$0.7125,$0.7152,$0.5962,$0.6303,"$2,467",$0
ETHIX,"Sep 06, 2021",$0.6876,$0.7195,$0.6813,$0.7127,"$7,245",$0
ETHIX,"Sep 05, 2021",$0.6762,$0.6907,$0.6699,$0.6879,$0,$0
ETHIX,"Sep 04, 2021",$0.6849,$0.6927,$0.6688,$0.6756,$0,$0
ETHIX,"Sep 03, 2021",$0.66,$0.6959,$0.6501,$0.6837,$0,$0
ETHIX,"Sep 02, 2021",$0.6677,$0.6695,$0.6505,$0.6602,"$1,783",$0
ETHIX,"Sep 01, 2021",$0.6093,$0.6674,$0.6031,$0.6674,"$1,711",$0
ETHIX,"Aug 31, 2021",$0.5739,$0.6112,$0.5698,$0.6096,$0,$0
ETHIX,"Aug 30, 2021",$0.5769,$0.5919,$0.5602,$0.5739,$0,$0
ETHIX,"Aug 29, 2021",$0.6125,$0.6193,$0.5649,$0.5763,$0,$0
ETHIX,"Aug 28, 2021",$0.5862,$0.6257,$0.5862,$0.6119,$0,$0
ETHIX,"Aug 27, 2021",$0.51,$0.6182,$0.5018,$0.5853,"$159,148",$0
ETHIX,"Aug 26, 2021",$0.5441,$0.5441,$0.5034,$0.51,"$145,921",$0
ETHIX,"Aug 25, 2021",$0.519,$0.549,$0.5119,$0.5442,"$157,999",$0
