,symbol,date,open,high,low,close,volume,marketCap
0,EXEN,"Oct 19, 2021",$2.21,$2.32,$2.20,$2.22,"$85,375",$0
1,EXEN,"Oct 18, 2021",$2.16,$2.25,$2.16,$2.21,"$77,330",$0
2,EXEN,"Oct 17, 2021",$2.24,$2.28,$2.16,$2.16,"$87,531",$0
3,EXEN,"Oct 16, 2021",$2.31,$2.31,$2.18,$2.24,"$61,861",$0
4,EXEN,"Oct 15, 2021",$2.35,$2.40,$2.27,$2.31,"$161,494",$0
5,EXEN,"Oct 14, 2021",$2.41,$2.45,$2.28,$2.35,"$147,719",$0
6,EXEN,"Oct 13, 2021",$2.40,$2.60,$2.39,$2.41,"$302,787",$0
7,EXEN,"Oct 12, 2021",$2.44,$2.54,$2.38,$2.40,"$42,606",$0
8,EXEN,"Oct 11, 2021",$2.44,$2.61,$2.38,$2.44,"$145,484",$0
9,EXEN,"Oct 10, 2021",$2.46,$2.54,$2.36,$2.44,"$64,747",$0
10,EXEN,"Oct 09, 2021",$2.33,$2.67,$2.33,$2.46,"$226,153",$0
11,EXEN,"Oct 08, 2021",$2.34,$2.38,$2.27,$2.33,"$194,518",$0
12,EXEN,"Oct 07, 2021",$2.43,$2.47,$2.30,$2.34,"$263,507",$0
13,EXEN,"Oct 06, 2021",$2.38,$2.48,$2.29,$2.43,"$188,116",$0
14,EXEN,"Oct 05, 2021",$2.32,$2.56,$2.20,$2.38,"$213,011",$0
15,EXEN,"Oct 04, 2021",$2.26,$2.38,$2.25,$2.32,"$113,821",$0
16,EXEN,"Oct 03, 2021",$2.24,$2.34,$2.23,$2.26,"$148,658",$0
17,EXEN,"Oct 02, 2021",$2.25,$2.28,$2.20,$2.24,"$105,294",$0
18,EXEN,"Oct 01, 2021",$2.25,$2.34,$2.24,$2.25,"$285,316",$0
19,EXEN,"Sep 30, 2021",$2.22,$2.36,$2.17,$2.25,"$145,347",$0
20,EXEN,"Sep 29, 2021",$2.26,$2.34,$2.20,$2.22,"$120,069",$0
21,EXEN,"Sep 28, 2021",$2.27,$2.39,$2.15,$2.26,"$195,745",$0
22,EXEN,"Sep 27, 2021",$2.45,$2.52,$2.11,$2.27,"$609,883",$0
23,EXEN,"Sep 26, 2021",$2.47,$2.51,$2.33,$2.45,"$93,692",$0
24,EXEN,"Sep 25, 2021",$2.48,$2.57,$2.45,$2.47,"$30,904",$0
25,EXEN,"Sep 24, 2021",$2.62,$2.64,$2.39,$2.48,"$46,130",$0
26,EXEN,"Sep 23, 2021",$2.67,$2.74,$2.52,$2.62,"$76,933",$0
27,EXEN,"Sep 22, 2021",$2.60,$2.72,$2.55,$2.67,"$37,002",$0
28,EXEN,"Sep 21, 2021",$2.59,$2.69,$2.59,$2.60,"$24,914",$0
29,EXEN,"Sep 20, 2021",$2.67,$2.75,$2.56,$2.59,"$48,575",$0
