symbol,date,open,high,low,close,volume,marketCap
EYE,"Oct 22, 2021",$0.6742,$1.05,$0.6381,$0.7517,"$286,630",$0
EYE,"Oct 21, 2021",$0.6827,$0.7028,$0.6011,$0.6749,"$39,955",$0
EYE,"Oct 20, 2021",$0.6896,$0.6959,$0.4656,$0.6839,"$159,468",$0
EYE,"Oct 19, 2021",$0.6795,$0.7979,$0.463,$0.6929,"$281,242",$0
EYE,"Oct 18, 2021",$0.8225,$0.8349,$0.6605,$0.6794,"$53,152",$0
EYE,"Oct 17, 2021",$0.9071,$0.9194,$0.7868,$0.8218,"$29,828",$0
EYE,"Oct 16, 2021",$0.8427,$0.9484,$0.7978,$0.9071,"$47,572",$0
EYE,"Oct 15, 2021",$0.9151,$1.02,$0.8412,$0.8416,"$41,031",$0
EYE,"Oct 14, 2021",$0.8342,$1.01,$0.8341,$0.9159,"$56,408",$0
EYE,"Oct 13, 2021",$0.9308,$0.9623,$0.8323,$0.8337,"$58,019",$0
EYE,"Oct 12, 2021",$1.02,$1.19,$0.9302,$0.9304,"$98,933",$0
EYE,"Oct 11, 2021",$1.07,$1.22,$1.00,$1.02,"$60,946",$0
EYE,"Oct 10, 2021",$1.02,$1.09,$0.9333,$1.08,"$38,558",$0
EYE,"Oct 09, 2021",$1.05,$1.09,$0.9468,$1.02,"$37,754",$0
EYE,"Oct 08, 2021",$0.9931,$1.08,$0.9784,$1.05,"$21,585",$0
EYE,"Oct 07, 2021",$1.17,$1.24,$0.8845,$0.9943,"$104,604",$0
EYE,"Oct 06, 2021",$1.09,$1.21,$0.9917,$1.17,"$36,310",$0
EYE,"Oct 05, 2021",$0.8277,$1.14,$0.8228,$1.10,"$73,031",$0
EYE,"Oct 04, 2021",$0.8675,$0.9187,$0.8196,$0.8275,"$34,162",$0
EYE,"Oct 03, 2021",$0.882,$0.9439,$0.857,$0.8671,"$47,069",$0
EYE,"Oct 02, 2021",$0.7707,$0.9316,$0.7592,$0.8833,"$102,093",$0
EYE,"Oct 01, 2021",$0.7205,$0.7973,$0.7038,$0.7707,"$16,492",$0
EYE,"Sep 30, 2021",$0.6478,$0.7223,$0.6434,$0.7205,"$17,909",$0
