symbol,date,open,high,low,close,volume,marketCap
FILST,"Oct 22, 2021",$2.61,$2.76,$2.57,$2.74,"$472,531",$0
FILST,"Oct 21, 2021",$2.64,$2.64,$2.59,$2.61,"$81,851",$0
FILST,"Oct 20, 2021",$2.56,$2.69,$2.51,$2.64,"$260,966",$0
FILST,"Oct 19, 2021",$2.51,$2.56,$2.50,$2.56,"$241,970",$0
FILST,"Oct 18, 2021",$2.50,$2.53,$2.49,$2.51,"$108,472",$0
FILST,"Oct 17, 2021",$2.52,$2.54,$2.42,$2.50,"$242,834",$0
FILST,"Oct 16, 2021",$2.53,$2.56,$2.52,$2.52,"$185,596",$0
FILST,"Oct 15, 2021",$2.55,$2.55,$2.49,$2.53,"$125,747",$0
FILST,"Oct 14, 2021",$2.53,$2.57,$2.52,$2.55,"$203,349",$0
FILST,"Oct 13, 2021",$2.51,$2.56,$2.46,$2.53,"$556,485",$0
FILST,"Oct 12, 2021",$2.58,$2.58,$2.50,$2.51,"$116,926",$0
FILST,"Oct 11, 2021",$2.56,$2.58,$2.54,$2.58,"$138,621",$0
