symbol,date,open,high,low,close,volume,marketCap
FKX,"Oct 29, 2021",$0.1464,$0.1554,$0.1339,$0.1502,"$3,417,857","$22,390,716"
FKX,"Oct 28, 2021",$0.1466,$0.1675,$0.137,$0.1464,"$2,384,583","$21,818,218"
FKX,"Oct 27, 2021",$0.1436,$0.1595,$0.138,$0.1467,"$2,601,214","$21,869,144"
FKX,"Oct 26, 2021",$0.1449,$0.1797,$0.1408,$0.1435,"$3,233,605","$21,389,931"
FKX,"Oct 25, 2021",$0.1432,$0.163,$0.136,$0.1448,"$1,572,016","$21,583,611"
FKX,"Oct 24, 2021",$0.1823,$0.1976,$0.1216,$0.1428,"$2,525,788","$21,295,500"
FKX,"Oct 23, 2021",$0.1414,$0.1862,$0.1235,$0.182,"$2,478,312","$27,137,258"
FKX,"Oct 22, 2021",$0.1036,$0.145,$0.1001,$0.1402,"$1,828,004","$20,904,909"
FKX,"Oct 21, 2021",$0.08377,$0.1235,$0.08057,$0.1036,"$4,067,509","$15,443,451"
FKX,"Oct 20, 2021",$0.06128,$0.08392,$0.06067,$0.08344,"$1,715,663","$12,438,771"
FKX,"Oct 19, 2021",$0.05875,$0.06211,$0.05724,$0.06128,"$746,133","$9,134,984"
FKX,"Oct 18, 2021",$0.05949,$0.0609,$0.05662,$0.05875,"$581,283","$8,757,929"
FKX,"Oct 17, 2021",$0.05884,$0.06084,$0.05698,$0.05942,"$402,681","$8,858,503"
FKX,"Oct 16, 2021",$0.06136,$0.06453,$0.05676,$0.05884,"$526,034","$8,771,640"
FKX,"Oct 15, 2021",$0.05993,$0.06468,$0.05779,$0.06134,"$586,502","$9,144,229"
FKX,"Oct 14, 2021",$0.06054,$0.083,$0.05921,$0.05986,"$1,000,926","$8,923,067"
FKX,"Oct 13, 2021",$0.05181,$0.08267,$0.05082,$0.06052,"$1,451,865","$9,021,716"
FKX,"Oct 12, 2021",$0.0525,$0.05363,$0.0516,$0.05189,"$285,986","$7,735,013"
FKX,"Oct 11, 2021",$0.05006,$0.05611,$0.04987,$0.05248,"$494,581","$7,823,135"
FKX,"Oct 10, 2021",$0.05142,$0.05372,$0.04989,$0.05006,"$789,249","$7,463,445"
FKX,"Oct 09, 2021",$0.05007,$0.0553,$0.04944,$0.05132,"$417,503","$7,649,962"
FKX,"Oct 08, 2021",$0.05205,$0.05378,$0.04955,$0.05007,"$360,259","$7,464,760"
FKX,"Oct 07, 2021",$0.05234,$0.0536,$0.05029,$0.05212,"$210,702","$7,769,656"
FKX,"Oct 06, 2021",$0.05139,$0.05407,$0.04879,$0.05239,"$477,336","$7,809,677"
FKX,"Oct 05, 2021",$0.05378,$0.05848,$0.05121,$0.05138,"$566,954","$7,660,092"
FKX,"Oct 04, 2021",$0.04913,$0.05594,$0.04829,$0.05378,"$822,793","$8,018,016"
FKX,"Oct 03, 2021",$0.04734,$0.0514,$0.04678,$0.04912,"$498,514","$7,322,516"
FKX,"Oct 02, 2021",$0.0473,$0.04915,$0.04683,$0.04733,"$425,162","$7,055,546"
FKX,"Oct 01, 2021",$0.04785,$0.05043,$0.04673,$0.0473,"$208,272","$7,050,931"
FKX,"Sep 30, 2021",$0.04372,$0.04854,$0.04287,$0.04785,"$492,772","$7,133,950"
FKX,"Sep 29, 2021",$0.04093,$0.04505,$0.04047,$0.04366,"$723,699","$6,508,999"
FKX,"Sep 28, 2021",$0.04627,$0.04668,$0.04084,$0.04092,"$491,786","$6,099,945"
FKX,"Sep 27, 2021",$0.04666,$0.0488,$0.04581,$0.04626,"$305,061","$6,896,493"
FKX,"Sep 26, 2021",$0.04954,$0.04988,$0.04532,$0.04662,"$223,901","$6,949,532"
FKX,"Sep 25, 2021",$0.051,$0.07109,$0.04799,$0.04954,"$1,062,703","$7,384,740"
FKX,"Sep 24, 2021",$0.04767,$0.05472,$0.04582,$0.05096,"$368,671","$7,596,929"
FKX,"Sep 23, 2021",$0.04869,$0.05081,$0.04737,$0.04769,"$277,001","$7,109,213"
FKX,"Sep 22, 2021",$0.04602,$0.05043,$0.04588,$0.04872,"$339,831","$7,263,421"
FKX,"Sep 21, 2021",$0.04856,$0.04988,$0.04492,$0.04597,"$278,321","$6,852,699"
FKX,"Sep 20, 2021",$0.05317,$0.05365,$0.0471,$0.04858,"$281,424","$7,242,893"
FKX,"Sep 19, 2021",$0.05325,$0.05735,$0.05318,$0.05318,"$422,071","$7,927,292"
FKX,"Sep 18, 2021",$0.05163,$0.05454,$0.05052,$0.0534,"$312,015","$7,961,117"
FKX,"Sep 17, 2021",$0.05385,$0.0545,$0.04969,$0.0516,"$296,742","$7,692,367"
FKX,"Sep 16, 2021",$0.05378,$0.05566,$0.05283,$0.05384,"$344,003","$8,026,543"
FKX,"Sep 15, 2021",$0.05132,$0.0651,$0.05078,$0.05374,"$605,694","$8,010,890"
FKX,"Sep 14, 2021",$0.04983,$0.05231,$0.04981,$0.05134,"$398,619","$7,653,523"
