symbol,date,open,high,low,close,volume,marketCap
FMTA,"Oct 22, 2021",$0.3667,$0.3753,$0.3557,$0.36,$0,"$378,170"
FMTA,"Oct 21, 2021",$0.3855,$0.4024,$0.3668,$0.3671,"$2,804","$385,580"
FMTA,"Oct 20, 2021",$0.3589,$0.3862,$0.354,$0.3862,$0,"$405,621"
FMTA,"Oct 19, 2021",$0.3535,$0.3621,$0.3474,$0.3606,"$2,404","$378,765"
FMTA,"Oct 18, 2021",$0.3611,$0.3665,$0.3497,$0.3535,$0,"$371,325"
FMTA,"Oct 17, 2021",$0.3783,$0.384,$0.3475,$0.3608,"$4,064","$378,955"
FMTA,"Oct 16, 2021",$0.3813,$0.3887,$0.375,$0.3784,$0,"$397,430"
FMTA,"Oct 15, 2021",$0.3873,$0.3919,$0.3709,$0.3808,"$3,324","$399,948"
FMTA,"Oct 14, 2021",$0.3656,$0.3883,$0.3654,$0.3878,$0,"$407,306"
FMTA,"Oct 13, 2021",$0.3648,$0.3671,$0.3498,$0.3654,"$2,218","$383,828"
FMTA,"Oct 12, 2021",$0.3695,$0.3698,$0.3563,$0.3647,$0,"$383,068"
FMTA,"Oct 11, 2021",$0.3636,$0.3931,$0.3611,$0.3698,"$8,860","$388,394"
FMTA,"Oct 10, 2021",$0.3806,$0.3808,$0.3637,$0.3639,$279,"$382,293"
FMTA,"Oct 09, 2021",$0.3757,$0.3951,$0.3732,$0.3811,"$6,572","$400,262"
FMTA,"Oct 08, 2021",$0.4029,$0.4099,$0.3735,$0.3759,"$7,672","$394,821"
FMTA,"Oct 07, 2021",$0.4101,$0.4201,$0.3921,$0.4034,"$9,556","$423,714"
FMTA,"Oct 06, 2021",$0.4169,$0.4456,$0.2648,$0.4099,"$14,415","$430,550"
FMTA,"Oct 05, 2021",$0.4209,$0.4211,$0.3981,$0.4176,"$4,521","$438,604"
FMTA,"Oct 04, 2021",$0.4051,$0.4241,$0.3914,$0.4208,"$41,535","$442,039"
FMTA,"Oct 03, 2021",$0.368,$0.4612,$0.2648,$0.4049,"$43,975","$425,307"
FMTA,"Oct 02, 2021",$0.3578,$0.3747,$0.2649,$0.3685,$37,"$387,117"
FMTA,"Oct 01, 2021",$0.3407,$0.3613,$0.3383,$0.3577,"$3,911","$375,782"
FMTA,"Sep 30, 2021",$0.3035,$0.3447,$0.3033,$0.3407,"$8,155","$357,824"
FMTA,"Sep 29, 2021",$0.3057,$0.3129,$0.2694,$0.3039,"$3,675","$319,210"
FMTA,"Sep 28, 2021",$0.2741,$0.3138,$0.2238,$0.3061,"$40,993","$321,569"
FMTA,"Sep 27, 2021",$0.2923,$0.3025,$0.274,$0.2741,"$3,891","$257,869"
FMTA,"Sep 26, 2021",$0.2785,$0.2999,$0.2617,$0.2925,"$3,053","$275,170"
FMTA,"Sep 25, 2021",$0.2772,$0.28,$0.2683,$0.2785,$0,"$262,021"
FMTA,"Sep 24, 2021",$0.3024,$0.3031,$0.2697,$0.2771,"$2,694","$260,676"
FMTA,"Sep 23, 2021",$0.2971,$0.3045,$0.2938,$0.3024,$805,"$284,451"
FMTA,"Sep 22, 2021",$0.2668,$0.2982,$0.2668,$0.2969,$0,"$279,310"
FMTA,"Sep 21, 2021",$0.295,$0.3055,$0.2637,$0.2669,"$3,974","$251,050"
FMTA,"Sep 20, 2021",$0.3418,$0.3423,$0.2936,$0.2953,"$7,012","$277,814"
FMTA,"Sep 19, 2021",$0.3525,$0.3651,$0.3397,$0.3418,"$9,084","$321,521"
FMTA,"Sep 18, 2021",$0.3568,$0.3702,$0.3493,$0.3523,"$1,774","$331,476"
FMTA,"Sep 17, 2021",$0.3714,$0.3737,$0.35,$0.3566,$721,"$335,456"
FMTA,"Sep 16, 2021",$0.3792,$0.3848,$0.3649,$0.3717,"$1,368","$349,674"
FMTA,"Sep 15, 2021",$0.3588,$0.3795,$0.3575,$0.379,$0,"$356,582"
FMTA,"Sep 14, 2021",$0.3603,$0.3739,$0.3563,$0.3587,"$3,524","$337,425"
FMTA,"Sep 13, 2021",$0.3834,$0.3863,$0.3468,$0.3603,"$4,535","$338,936"
FMTA,"Sep 12, 2021",$0.3693,$0.3893,$0.3666,$0.3834,$289,"$360,725"
FMTA,"Sep 11, 2021",$0.3649,$0.378,$0.3645,$0.3694,$369,"$356,035"
FMTA,"Sep 10, 2021",$0.3849,$0.3933,$0.3609,$0.3648,"$1,090","$351,664"
FMTA,"Sep 09, 2021",$0.3894,$0.3986,$0.3826,$0.3849,$0,"$371,040"
FMTA,"Sep 08, 2021",$0.4094,$0.4197,$0.3848,$0.3918,"$5,742","$377,626"
FMTA,"Sep 07, 2021",$0.4632,$0.4633,$0.3834,$0.409,"$3,323","$394,227"
FMTA,"Sep 06, 2021",$0.4663,$0.4755,$0.4613,$0.4634,"$3,921","$446,641"
FMTA,"Sep 05, 2021",$0.4669,$0.4727,$0.4623,$0.4662,"$1,934","$449,353"
FMTA,"Sep 04, 2021",$0.4254,$0.4712,$0.4241,$0.4667,"$5,010","$449,855"
FMTA,"Sep 03, 2021",$0.4392,$0.4633,$0.4228,$0.4254,$0,"$410,064"
FMTA,"Sep 02, 2021",$0.4263,$0.443,$0.4124,$0.4393,"$18,205","$423,479"
FMTA,"Sep 01, 2021",$0.3883,$0.4255,$0.3843,$0.4255,$806,"$410,137"
FMTA,"Aug 31, 2021",$0.405,$0.4157,$0.3805,$0.3885,"$10,946","$369,808"
FMTA,"Aug 30, 2021",$0.4036,$0.4091,$0.3979,$0.405,"$1,336","$404,323"
FMTA,"Aug 29, 2021",$0.4127,$0.4186,$0.3997,$0.4038,$0,"$390,843"
FMTA,"Aug 28, 2021",$0.4285,$0.4428,$0.3955,$0.4123,$126,"$399,005"
FMTA,"Aug 27, 2021",$0.4116,$0.4409,$0.3796,$0.4279,"$207,716","$414,162"
FMTA,"Aug 26, 2021",$0.4418,$0.4493,$0.3923,$0.4115,"$206,578","$394,080"
FMTA,"Aug 25, 2021",$0.4456,$0.4578,$0.405,$0.4418,"$203,248","$418,604"
FMTA,"Aug 24, 2021",$0.4497,$0.4847,$0.4364,$0.4462,"$207,931","$422,789"
FMTA,"Aug 23, 2021",$0.4019,$0.4505,$0.4008,$0.4496,"$229,507","$424,521"
FMTA,"Aug 22, 2021",$0.4132,$0.4269,$0.3864,$0.4021,"$187,021","$385,533"
FMTA,"Aug 21, 2021",$0.4066,$0.445,$0.3963,$0.4133,"$194,844","$395,784"
FMTA,"Aug 20, 2021",$0.4338,$0.4587,$0.4013,$0.4067,"$201,159","$389,458"
FMTA,"Aug 19, 2021",$0.4279,$0.4416,$0.3929,$0.4335,"$201,143","$412,298"
FMTA,"Aug 18, 2021",$0.4405,$0.4775,$0.4254,$0.4284,"$131,299","$410,081"
FMTA,"Aug 17, 2021",$0.4555,$0.4807,$0.4378,$0.4405,"$181,012","$417,998"
FMTA,"Aug 16, 2021",$0.5002,$0.5182,$0.4545,$0.4565,"$187,507","$432,707"
FMTA,"Aug 15, 2021",$0.549,$0.5652,$0.4552,$0.4999,"$185,297","$496,021"
FMTA,"Aug 14, 2021",$0.5495,$0.5643,$0.506,$0.5489,"$201,246","$546,329"
FMTA,"Aug 13, 2021",$0.5003,$0.5514,$0.4962,$0.5498,"$198,764","$547,840"
FMTA,"Aug 12, 2021",$0.5634,$0.5859,$0.4853,$0.5006,"$68,118","$499,845"
FMTA,"Aug 11, 2021",$0.6039,$0.6466,$0.5556,$0.5643,"$198,449","$563,416"
FMTA,"Aug 10, 2021",$0.555,$0.6435,$0.5296,$0.6036,"$287,903","$593,428"
FMTA,"Aug 09, 2021",$0.5215,$0.5659,$0.4935,$0.5544,"$328,312","$568,379"
FMTA,"Aug 08, 2021",$0.579,$0.5973,$0.5174,$0.5209,"$459,935","$534,218"
FMTA,"Aug 07, 2021",$0.5206,$0.5809,$0.5152,$0.5805,"$528,303","$597,112"
FMTA,"Aug 06, 2021",$0.4213,$0.5402,$0.4111,$0.521,"$439,045","$535,296"
FMTA,"Aug 05, 2021",$0.408,$0.4851,$0.3998,$0.4213,"$396,043","$431,446"
FMTA,"Aug 04, 2021",$0.3946,$0.4463,$0.3763,$0.4079,"$397,213","$422,768"
FMTA,"Aug 03, 2021",$0.4224,$0.4224,$0.3764,$0.3946,"$381,783","$407,862"
FMTA,"Aug 02, 2021",$0.3941,$0.449,$0.3896,$0.4222,"$388,265","$436,376"
FMTA,"Aug 01, 2021",$0.4328,$0.4458,$0.3677,$0.3949,"$422,668","$407,885"
FMTA,"Jul 31, 2021",$0.3873,$0.442,$0.3849,$0.4333,"$401,802","$447,621"
FMTA,"Jul 30, 2021",$0.3914,$0.397,$0.3633,$0.3871,"$367,257","$392,263"
FMTA,"Jul 29, 2021",$0.3858,$0.4067,$0.3717,$0.3911,"$360,766","$394,586"
FMTA,"Jul 28, 2021",$0.3917,$0.4027,$0.3727,$0.3862,"$141,847","$389,566"
FMTA,"Jul 27, 2021",$0.3771,$0.3915,$0.3597,$0.3915,"$60,703","$394,465"
FMTA,"Jul 26, 2021",$0.381,$0.4036,$0.3641,$0.3778,"$68,155","$380,318"
FMTA,"Jul 25, 2021",$0.403,$0.4098,$0.3592,$0.3812,"$54,090","$382,662"
FMTA,"Jul 24, 2021",$0.3721,$0.4038,$0.3659,$0.4027,"$57,095","$403,993"
FMTA,"Jul 23, 2021",$0.3246,$0.3801,$0.3202,$0.3721,"$50,025","$374,690"
FMTA,"Jul 22, 2021",$0.3608,$0.3795,$0.3192,$0.3246,"$41,076","$328,091"
FMTA,"Jul 21, 2021",$0.3351,$0.3655,$0.3142,$0.3605,"$50,826","$364,520"
FMTA,"Jul 20, 2021",$0.3031,$0.3361,$0.288,$0.3352,"$47,890","$338,997"
FMTA,"Jul 19, 2021",$0.3235,$0.3263,$0.2995,$0.3031,"$56,915","$316,847"
FMTA,"Jul 18, 2021",$0.2974,$0.3296,$0.2945,$0.3236,"$55,167","$335,963"
