symbol,date,open,high,low,close,volume,marketCap
FUSE,"Oct 22, 2021",$0.08427,$0.09302,$0.08427,$0.0903,"$339,975","$4,970,828"
FUSE,"Oct 21, 2021",$0.08329,$0.08474,$0.08133,$0.08435,"$273,330","$4,642,979"
FUSE,"Oct 20, 2021",$0.08116,$0.08331,$0.08029,$0.08327,"$107,079","$4,583,707"
FUSE,"Oct 19, 2021",$0.08085,$0.08225,$0.08046,$0.0812,"$208,965","$4,469,615"
FUSE,"Oct 18, 2021",$0.08057,$0.08139,$0.07795,$0.08084,"$193,294","$4,449,975"
FUSE,"Oct 17, 2021",$0.0798,$0.08245,$0.07948,$0.08057,"$136,752","$4,434,910"
FUSE,"Oct 16, 2021",$0.08048,$0.08318,$0.07946,$0.0798,"$127,638","$4,392,692"
FUSE,"Oct 15, 2021",$0.08118,$0.0816,$0.08001,$0.08047,"$103,561","$4,429,270"
FUSE,"Oct 14, 2021",$0.07917,$0.08111,$0.07908,$0.08108,"$136,729","$4,463,039"
FUSE,"Oct 13, 2021",$0.08036,$0.08051,$0.07797,$0.07917,"$127,941","$4,357,727"
FUSE,"Oct 12, 2021",$0.0813,$0.08169,$0.07972,$0.08035,"$221,433","$4,423,020"
FUSE,"Oct 11, 2021",$0.0836,$0.08464,$0.08081,$0.08129,"$293,127","$4,474,809"
FUSE,"Oct 10, 2021",$0.08586,$0.08642,$0.0836,$0.08361,"$121,417","$4,602,398"
FUSE,"Oct 09, 2021",$0.08584,$0.08688,$0.08533,$0.08587,"$143,816","$4,726,676"
FUSE,"Oct 08, 2021",$0.08466,$0.08635,$0.08427,$0.08583,"$93,115","$4,724,654"
FUSE,"Oct 07, 2021",$0.08556,$0.08866,$0.08418,$0.08467,"$155,866","$4,660,479"
FUSE,"Oct 06, 2021",$0.08575,$0.08828,$0.08348,$0.08558,"$185,250","$4,711,035"
FUSE,"Oct 05, 2021",$0.08263,$0.08584,$0.08221,$0.08576,"$158,073","$4,720,840"
FUSE,"Oct 04, 2021",$0.08553,$0.08568,$0.08175,$0.08263,"$134,462","$4,548,359"
FUSE,"Oct 03, 2021",$0.08344,$0.08771,$0.08276,$0.08552,"$113,531","$4,707,650"
FUSE,"Oct 02, 2021",$0.08426,$0.08497,$0.08293,$0.08346,"$157,231","$4,594,207"
FUSE,"Oct 01, 2021",$0.08028,$0.08522,$0.08004,$0.08426,"$202,845","$4,638,021"
FUSE,"Sep 30, 2021",$0.07764,$0.08125,$0.07754,$0.08029,"$152,288","$4,419,369"
FUSE,"Sep 29, 2021",$0.07651,$0.07967,$0.07646,$0.07763,"$143,876","$4,273,450"
FUSE,"Sep 28, 2021",$0.0779,$0.07837,$0.07571,$0.07651,"$141,092","$4,211,276"
FUSE,"Sep 27, 2021",$0.07933,$0.08083,$0.07712,$0.07799,"$136,267","$4,292,843"
FUSE,"Sep 26, 2021",$0.07922,$0.08031,$0.07691,$0.07934,"$111,000","$4,367,087"
FUSE,"Sep 25, 2021",$0.07851,$0.07992,$0.07657,$0.07922,"$157,265","$4,360,793"
FUSE,"Sep 24, 2021",$0.08085,$0.0809,$0.0771,$0.07851,"$131,241","$4,321,498"
FUSE,"Sep 23, 2021",$0.08242,$0.08279,$0.08005,$0.08086,"$88,571","$4,450,984"
FUSE,"Sep 22, 2021",$0.07928,$0.08253,$0.07919,$0.0824,"$99,001","$4,535,604"
FUSE,"Sep 21, 2021",$0.08298,$0.08326,$0.07852,$0.0792,"$143,658","$4,359,789"
FUSE,"Sep 20, 2021",$0.08737,$0.08757,$0.08217,$0.08302,"$189,776","$4,569,896"
FUSE,"Sep 19, 2021",$0.09286,$0.0933,$0.08537,$0.0874,"$271,938","$4,811,237"
FUSE,"Sep 18, 2021",$0.0948,$0.09515,$0.09283,$0.09287,"$127,741","$5,111,895"
FUSE,"Sep 17, 2021",$0.09736,$0.09831,$0.09437,$0.09479,"$218,020","$5,217,571"
FUSE,"Sep 16, 2021",$0.1013,$0.1047,$0.09696,$0.09736,"$218,435","$5,359,189"
FUSE,"Sep 15, 2021",$0.09719,$0.1023,$0.09578,$0.1013,"$262,255","$5,575,262"
FUSE,"Sep 14, 2021",$0.09852,$0.09996,$0.09623,$0.09719,"$109,862","$5,350,054"
FUSE,"Sep 13, 2021",$0.1002,$0.1003,$0.09497,$0.09853,"$210,381","$5,423,541"
FUSE,"Sep 12, 2021",$0.0921,$0.1028,$0.08789,$0.1002,"$442,540","$5,516,117"
FUSE,"Sep 11, 2021",$0.09613,$0.09641,$0.09016,$0.09211,"$216,001","$5,070,028"
FUSE,"Sep 10, 2021",$0.1014,$0.104,$0.09597,$0.09612,"$128,427","$5,290,967"
FUSE,"Sep 09, 2021",$0.09798,$0.1018,$0.09524,$0.1014,"$81,080","$5,579,465"
FUSE,"Sep 08, 2021",$0.09836,$0.1002,$0.09496,$0.09901,"$303,841","$5,450,210"
FUSE,"Sep 07, 2021",$0.1145,$0.1159,$0.09559,$0.09836,"$479,920","$5,414,172"
FUSE,"Sep 06, 2021",$0.1393,$0.1394,$0.1131,$0.1145,"$571,067","$6,303,655"
FUSE,"Sep 05, 2021",$0.1013,$0.1636,$0.1013,$0.1393,"$876,508","$7,668,326"
FUSE,"Sep 04, 2021",$0.08281,$0.1019,$0.08219,$0.1012,"$206,221","$5,570,599"
