,symbol,date,open,high,low,close,volume,marketCap
0,GAINS,"Oct 19, 2021",$0.3236,$0.4864,$0.3226,$0.4382,"$343,065",$0
1,GAINS,"Oct 18, 2021",$0.3377,$0.3506,$0.2984,$0.3236,"$87,978",$0
2,GAINS,"Oct 17, 2021",$0.3236,$0.3669,$0.3166,$0.3374,"$104,256",$0
3,GAINS,"Oct 16, 2021",$0.2646,$0.3279,$0.2624,$0.3236,"$55,710",$0
4,GAINS,"Oct 15, 2021",$0.2925,$0.3356,$0.2418,$0.2642,"$114,231",$0
5,GAINS,"Oct 14, 2021",$0.319,$0.3193,$0.2586,$0.2928,"$149,838",$0
6,GAINS,"Oct 13, 2021",$0.2787,$0.366,$0.2704,$0.3188,"$120,204",$0
7,GAINS,"Oct 12, 2021",$0.2851,$0.2893,$0.2615,$0.2786,"$58,783",$0
8,GAINS,"Oct 11, 2021",$0.2574,$0.2852,$0.2399,$0.2852,"$85,408",$0
9,GAINS,"Oct 10, 2021",$0.2781,$0.2943,$0.2574,$0.2576,"$91,212",$0
10,GAINS,"Oct 09, 2021",$0.2627,$0.2901,$0.2609,$0.2784,"$62,284",$0
11,GAINS,"Oct 08, 2021",$0.3228,$0.3282,$0.2622,$0.2628,"$55,491",$0
12,GAINS,"Oct 07, 2021",$0.342,$0.342,$0.3094,$0.3232,"$31,596",$0
13,GAINS,"Oct 06, 2021",$0.2929,$0.3491,$0.2641,$0.3418,"$115,020",$0
14,GAINS,"Oct 05, 2021",$0.2738,$0.3151,$0.264,$0.2934,"$97,731",$0
15,GAINS,"Oct 04, 2021",$0.2423,$0.2778,$0.2362,$0.2738,"$72,018",$0
16,GAINS,"Oct 03, 2021",$0.241,$0.2485,$0.2388,$0.2422,"$15,772",$0
17,GAINS,"Oct 02, 2021",$0.2303,$0.2542,$0.2288,$0.2414,"$42,024",$0
18,GAINS,"Oct 01, 2021",$0.206,$0.2317,$0.2046,$0.2303,"$9,834",$0
19,GAINS,"Sep 30, 2021",$0.2024,$0.2155,$0.196,$0.206,"$18,225",$0
20,GAINS,"Sep 29, 2021",$0.1979,$0.2074,$0.1923,$0.2026,"$9,622",$0
21,GAINS,"Sep 28, 2021",$0.2117,$0.2183,$0.1977,$0.1982,"$12,718",$0
