,symbol,date,open,high,low,close,volume,marketCap
0,GIC,"Oct 19, 2021",$0.003722,$0.007732,$0.00371,$0.007711,$8,"$146,366"
1,GIC,"Oct 18, 2021",$0.006147,$0.006245,$0.003601,$0.003722,$16,"$70,220"
2,GIC,"Oct 17, 2021",$0.007094,$0.007155,$0.005325,$0.006149,$0,"$115,544"
3,GIC,"Oct 16, 2021",$0.009239,$0.009341,$0.007056,$0.007093,$0,"$132,023"
4,GIC,"Oct 15, 2021",$0.006305,$0.009414,$0.005718,$0.009244,$0,"$171,705"
5,GIC,"Oct 14, 2021",$0.005252,$0.01041,$0.004009,$0.006307,$26,"$116,774"
6,GIC,"Oct 13, 2021",$0.005128,$0.005279,$0.004975,$0.005253,$0,"$96,014"
7,GIC,"Oct 12, 2021",$0.00526,$0.005273,$0.004985,$0.00513,$0,"$93,547"
8,GIC,"Oct 11, 2021",$0.004546,$0.005288,$0.004525,$0.005258,$0,"$95,351"
9,GIC,"Oct 10, 2021",$0.004947,$0.004947,$0.004504,$0.004549,$0,"$81,988"
10,GIC,"Oct 09, 2021",$0.005397,$0.00554,$0.004896,$0.004946,$0,"$89,030"
11,GIC,"Oct 08, 2021",$0.007264,$0.007346,$0.00538,$0.005395,$6,"$96,809"
12,GIC,"Oct 07, 2021",$0.01052,$0.01052,$0.007254,$0.007263,$0,"$128,935"
13,GIC,"Oct 06, 2021",$0.01545,$0.01552,$0.003534,$0.01053,$4,"$186,543"
14,GIC,"Oct 05, 2021",$0.003438,$0.01555,$0.00202,$0.01545,$138,"$273,429"
15,GIC,"Oct 04, 2021",$0.003374,$0.003462,$0.003293,$0.003438,$0,"$60,864"
16,GIC,"Oct 03, 2021",$0.002863,$0.003439,$0.002829,$0.003374,$0,"$59,472"
17,GIC,"Oct 02, 2021",$0.001925,$0.002897,$0.001906,$0.002864,$0,"$49,896"
18,GIC,"Oct 01, 2021",$0.003065,$0.003081,$0.001739,$0.001926,$0,"$33,246"
19,GIC,"Sep 30, 2021",$0.00291,$0.003086,$0.002901,$0.003064,$0,"$53,153"
20,GIC,"Sep 29, 2021",$0.003283,$0.003404,$0.002893,$0.002907,$0,"$49,991"
21,GIC,"Sep 28, 2021",$0.002957,$0.003327,$0.002881,$0.003278,$0,"$56,130"
22,GIC,"Sep 27, 2021",$0.003025,$0.003102,$0.002953,$0.002957,$0,"$49,978"
23,GIC,"Sep 26, 2021",$0.00299,$0.003074,$0.002859,$0.003026,$0,"$51,023"
24,GIC,"Sep 25, 2021",$0.002999,$0.00301,$0.002923,$0.00299,$0,"$49,992"
25,GIC,"Sep 24, 2021",$0.003143,$0.003156,$0.002866,$0.002999,$0,"$50,003"
26,GIC,"Sep 23, 2021",$0.00305,$0.003146,$0.003018,$0.003143,$0,"$51,077"
27,GIC,"Sep 22, 2021",$0.002849,$0.003079,$0.002844,$0.003051,$0,"$49,271"
28,GIC,"Sep 21, 2021",$0.002999,$0.003053,$0.002785,$0.002839,$0,"$45,679"
29,GIC,"Sep 20, 2021",$0.003308,$0.003313,$0.002982,$0.003001,$0,"$48,044"
30,GIC,"Sep 19, 2021",$0.003379,$0.003383,$0.003284,$0.003309,$0,"$52,213"
31,GIC,"Sep 18, 2021",$0.003309,$0.003415,$0.003296,$0.003377,$0,"$52,483"
32,GIC,"Sep 17, 2021",$0.003345,$0.003371,$0.003278,$0.003306,$0,"$51,190"
33,GIC,"Sep 16, 2021",$0.003372,$0.003394,$0.003296,$0.003344,$0,"$51,832"
34,GIC,"Sep 15, 2021",$0.003296,$0.003392,$0.003274,$0.003372,$0,"$51,890"
35,GIC,"Sep 14, 2021",$0.003597,$0.00372,$0.003235,$0.003295,$0,"$49,951"
36,GIC,"Sep 13, 2021",$0.003224,$0.003637,$0.003051,$0.003597,$0,"$52,957"
37,GIC,"Sep 12, 2021",$0.002712,$0.003246,$0.002688,$0.003227,$0,"$46,446"
38,GIC,"Sep 11, 2021",$0.001347,$0.002758,$0.001345,$0.002711,$0,"$38,478"
39,GIC,"Sep 10, 2021",$0.003711,$0.003731,$0.00133,$0.001346,$7,"$18,797"
40,GIC,"Sep 09, 2021",$0.003663,$0.005635,$0.003654,$0.00371,$0,"$49,815"
41,GIC,"Sep 08, 2021",$0.005688,$0.005751,$0.005414,$0.0056,$0,"$75,023"
42,GIC,"Sep 07, 2021",$0.009635,$0.009672,$0.005612,$0.005689,$0,"$75,660"
43,GIC,"Sep 06, 2021",$0.003105,$0.009644,$0.003094,$0.009635,$7,"$126,705"
44,GIC,"Sep 05, 2021",$0.008491,$0.008553,$0.003016,$0.003105,$0,"$40,735"
45,GIC,"Sep 04, 2021",$0.001501,$0.008549,$0.001489,$0.008491,$8,"$108,932"
46,GIC,"Sep 03, 2021",$0.003724,$0.003802,$0.001488,$0.001501,$11,"$18,992"
47,GIC,"Sep 02, 2021",$0.002453,$0.003757,$0.002443,$0.003725,$0,"$46,255"
48,GIC,"Sep 01, 2021",$0.003088,$0.004833,$0.002382,$0.002454,$0,"$30,002"
49,GIC,"Aug 31, 2021",$0.001419,$0.003156,$0.001408,$0.003092,$0,"$36,836"
50,GIC,"Aug 30, 2021",$0.008203,$0.008219,$0.001417,$0.001417,$0,"$16,762"
51,GIC,"Aug 29, 2021",$0.001467,$0.008299,$0.001438,$0.008203,$89,"$95,143"
52,GIC,"Aug 28, 2021",$0.003532,$0.003548,$0.001456,$0.001467,$2,"$16,905"
53,GIC,"Aug 27, 2021",$0.00338,$0.003536,$0.002691,$0.003529,$0,"$40,044"
54,GIC,"Aug 26, 2021",$0.001958,$0.003402,$0.001856,$0.00338,$0,"$36,346"
55,GIC,"Aug 25, 2021",$0.003435,$0.00354,$0.001958,$0.001958,$0,"$20,486"
56,GIC,"Aug 24, 2021",$0.0009909,$0.003483,$0.000977,$0.003438,$1,"$34,176"
57,GIC,"Aug 23, 2021",$0.002959,$0.003029,$0.0009815,$0.0009907,$48,"$9,571"
58,GIC,"Aug 22, 2021",$0.003423,$0.003916,$0.002931,$0.00296,$0,"$26,650"
59,GIC,"Aug 21, 2021",$0.003454,$0.00348,$0.003382,$0.003425,$0,"$28,944"
60,GIC,"Aug 20, 2021",$0.003621,$0.00367,$0.003272,$0.003454,$3,"$25,893"
61,GIC,"Aug 19, 2021",$0.003472,$0.00364,$0.00341,$0.00362,$0,"$24,702"
