symbol,date,open,high,low,close,volume,marketCap
GMEE,"Oct 29, 2021",$0.357,$0.4159,$0.3565,$0.4092,"$2,451,958","$23,068,987"
GMEE,"Oct 28, 2021",$0.297,$0.358,$0.2962,$0.3565,"$2,053,329","$20,097,949"
GMEE,"Oct 27, 2021",$0.3382,$0.3382,$0.2955,$0.2972,"$1,588,316","$16,752,631"
GMEE,"Oct 26, 2021",$0.3152,$0.3505,$0.3121,$0.3382,"$1,919,548","$19,067,041"
GMEE,"Oct 25, 2021",$0.314,$0.3288,$0.3074,$0.3151,"$1,832,171","$17,760,063"
GMEE,"Oct 24, 2021",$0.3751,$0.3767,$0.3002,$0.3146,"$4,608,209","$17,735,981"
GMEE,"Oct 23, 2021",$0.3937,$0.4031,$0.3749,$0.375,"$3,688,557","$21,137,787"
GMEE,"Oct 22, 2021",$0.3851,$0.3983,$0.3756,$0.3937,"$2,059,178","$22,192,129"
GMEE,"Oct 21, 2021",$0.3855,$0.401,$0.3754,$0.3852,"$2,475,138","$21,713,000"
GMEE,"Oct 20, 2021",$0.3251,$0.3855,$0.3231,$0.3851,"$2,227,749","$21,705,675"
GMEE,"Oct 19, 2021",$0.3168,$0.3334,$0.3159,$0.3255,"$1,710,181","$18,347,326"
GMEE,"Oct 18, 2021",$0.3132,$0.321,$0.3106,$0.3168,"$1,445,272","$17,858,573"
GMEE,"Oct 17, 2021",$0.3108,$0.3152,$0.2973,$0.3131,"$1,273,340","$17,650,761"
GMEE,"Oct 16, 2021",$0.3105,$0.3165,$0.2954,$0.3109,"$1,270,298","$17,522,773"
GMEE,"Oct 15, 2021",$0.2742,$0.3106,$0.2718,$0.3104,"$1,898,071","$17,495,242"
GMEE,"Oct 14, 2021",$0.2558,$0.2904,$0.2557,$0.2743,"$1,981,000","$15,464,559"
GMEE,"Oct 13, 2021",$0.2701,$0.2703,$0.2503,$0.2557,"$1,256,906","$14,415,996"
GMEE,"Oct 12, 2021",$0.2888,$0.2899,$0.2559,$0.27,"$2,175,062","$15,219,934"
GMEE,"Oct 11, 2021",$0.2651,$0.2897,$0.2636,$0.2889,"$1,393,545","$16,283,646"
GMEE,"Oct 10, 2021",$0.2676,$0.2728,$0.2627,$0.2652,"$1,369,443","$14,948,123"
GMEE,"Oct 09, 2021",$0.2636,$0.2699,$0.262,$0.2677,"$1,597,455","$15,088,003"
GMEE,"Oct 08, 2021",$0.2495,$0.2709,$0.2484,$0.2636,"$1,572,731","$14,860,840"
GMEE,"Oct 07, 2021",$0.2262,$0.2496,$0.225,$0.2496,"$1,371,125","$14,068,002"
GMEE,"Oct 06, 2021",$0.2542,$0.2567,$0.2262,$0.2262,"$1,300,968","$12,750,239"
GMEE,"Oct 05, 2021",$0.2597,$0.2721,$0.2459,$0.2544,"$2,030,103","$14,341,261"
GMEE,"Oct 04, 2021",$0.2191,$0.2709,$0.2191,$0.2596,"$2,851,457","$14,636,204"
GMEE,"Oct 03, 2021",$0.2079,$0.2285,$0.2017,$0.2191,"$1,742,326","$12,353,122"
GMEE,"Oct 02, 2021",$0.196,$0.2124,$0.1953,$0.2081,"$1,471,269","$11,732,168"
GMEE,"Oct 01, 2021",$0.1509,$0.1959,$0.1508,$0.1959,"$1,933,581","$11,045,074"
GMEE,"Sep 30, 2021",$0.1354,$0.1555,$0.1352,$0.1509,"$1,354,692","$8,506,818"
GMEE,"Sep 29, 2021",$0.1372,$0.1422,$0.1332,$0.1354,"$762,690","$7,634,902"
GMEE,"Sep 28, 2021",$0.1469,$0.1474,$0.136,$0.1372,"$523,674","$7,735,782"
GMEE,"Sep 27, 2021",$0.1537,$0.1638,$0.1466,$0.1469,"$522,403","$8,282,515"
GMEE,"Sep 26, 2021",$0.1514,$0.1537,$0.1455,$0.1537,"$811,986","$8,666,804"
GMEE,"Sep 25, 2021",$0.147,$0.1543,$0.1457,$0.1515,"$897,620","$8,537,315"
GMEE,"Sep 24, 2021",$0.1506,$0.1524,$0.1339,$0.1468,"$1,002,062","$8,276,872"
GMEE,"Sep 23, 2021",$0.1554,$0.1722,$0.1485,$0.1505,"$2,143,638","$8,485,303"
GMEE,"Sep 22, 2021",$0.1342,$0.1576,$0.1327,$0.1553,"$688,694","$8,754,474"
GMEE,"Sep 21, 2021",$0.1517,$0.1544,$0.1342,$0.1342,"$782,327","$7,567,656"
GMEE,"Sep 20, 2021",$0.1396,$0.1634,$0.1264,$0.1517,"$1,502,408","$8,553,501"
GMEE,"Sep 19, 2021",$0.1454,$0.1505,$0.1388,$0.1395,"$576,396","$7,861,495"
