symbol,date,open,high,low,close,volume,marketCap
GON+,"Oct 29, 2021",$0.01493,$0.01632,$0.01492,$0.01617,$0,$0
GON+,"Oct 28, 2021",$0.01372,$0.01499,$0.01369,$0.01494,$0,$0
GON+,"Oct 27, 2021",$0.01454,$0.01489,$0.01369,$0.01372,$0,$0
GON+,"Oct 26, 2021",$0.01384,$0.01489,$0.01384,$0.01455,$0,$0
GON+,"Oct 25, 2021",$0.01249,$0.01399,$0.01247,$0.01384,$0,$0
GON+,"Oct 24, 2021",$0.01377,$0.01388,$0.01231,$0.01249,$0,$0
GON+,"Oct 23, 2021",$0.01471,$0.01472,$0.01364,$0.01378,"$16,283",$0
GON+,"Oct 22, 2021",$0.01784,$0.01796,$0.01466,$0.01471,"$21,556",$0
GON+,"Oct 21, 2021",$0.02326,$0.02355,$0.01775,$0.01786,"$28,460",$0
GON+,"Oct 20, 2021",$0.02802,$0.02805,$0.02314,$0.02324,"$64,281",$0
GON+,"Oct 19, 2021",$0.04895,$0.04981,$0.02773,$0.02801,"$86,350",$0
GON+,"Oct 18, 2021",$0.04991,$0.05525,$0.04626,$0.04893,"$46,992",$0
GON+,"Oct 17, 2021",$0.04887,$0.04992,$0.04731,$0.04992,"$15,119",$0
GON+,"Oct 16, 2021",$0.04899,$0.05281,$0.04856,$0.04893,"$33,310",$0
GON+,"Oct 15, 2021",$0.05569,$0.05648,$0.0454,$0.04902,"$169,847",$0
GON+,"Oct 14, 2021",$0.07654,$0.08494,$0.04856,$0.0557,"$788,852",$0
GON+,"Oct 13, 2021",$0.1308,$0.1604,$0.04169,$0.0765,"$1,583,534",$0
GON+,"Oct 12, 2021",$0.2103,$0.2124,$0.1194,$0.1307,"$1,395,152",$0
