,symbol,date,open,high,low,close,volume,marketCap
0,GSMT,"Oct 20, 2021",$0.1498,$0.1499,$0.1449,$0.145,"$5,781",$0
1,GSMT,"Oct 19, 2021",$0.17,$0.17,$0.1498,$0.1498,"$6,326",$0
2,GSMT,"Oct 18, 2021",$0.2973,$0.298,$0.1699,$0.17,"$2,326",$0
3,GSMT,"Oct 17, 2021",$0.2968,$0.2974,$0.2956,$0.2973,$0,$0
4,GSMT,"Oct 16, 2021",$0.2971,$0.2976,$0.2962,$0.2968,$0,$0
5,GSMT,"Oct 15, 2021",$0.2941,$0.2979,$0.2937,$0.2971,$0,$0
6,GSMT,"Oct 14, 2021",$0.1661,$0.2946,$0.166,$0.2941,$0,$0
7,GSMT,"Oct 13, 2021",$0.1661,$0.1662,$0.166,$0.1661,$0,$0
8,GSMT,"Oct 12, 2021",$0.1161,$0.1663,$0.116,$0.1661,$0,$0
9,GSMT,"Oct 11, 2021",$0.1602,$0.1734,$0.00173,$0.1161,$393,$0
10,GSMT,"Oct 10, 2021",$0.1644,$0.1649,$0.159,$0.1601,$2,$0
11,GSMT,"Oct 09, 2021",$0.1619,$0.1656,$0.1611,$0.1643,$38,$0
12,GSMT,"Oct 08, 2021",$0.1722,$0.1791,$0.1614,$0.1619,"$154,243",$0
13,GSMT,"Oct 07, 2021",$0.181,$0.1931,$0.1683,$0.1722,"$988,045",$0
14,GSMT,"Oct 06, 2021",$0.1829,$0.1881,$0.167,$0.1811,"$383,901",$0
15,GSMT,"Oct 05, 2021",$0.1729,$0.184,$0.1707,$0.1828,"$146,799",$0
16,GSMT,"Oct 04, 2021",$0.175,$0.1771,$0.1645,$0.1729,"$132,308",$0
17,GSMT,"Oct 03, 2021",$0.1713,$0.183,$0.1676,$0.1749,"$173,819",$0
18,GSMT,"Oct 02, 2021",$0.178,$0.1842,$0.1691,$0.1714,"$270,103",$0
19,GSMT,"Oct 01, 2021",$0.1879,$0.191,$0.1693,$0.1781,"$341,711",$0
20,GSMT,"Sep 30, 2021",$0.1717,$0.1914,$0.1707,$0.1878,"$282,739",$0
21,GSMT,"Sep 29, 2021",$0.1658,$0.1838,$0.1658,$0.1715,"$127,020",$0
22,GSMT,"Sep 28, 2021",$0.1622,$0.1756,$0.1622,$0.1655,"$126,252",$0
23,GSMT,"Sep 27, 2021",$0.1707,$0.1816,$0.1618,$0.1622,"$256,545",$0
24,GSMT,"Sep 26, 2021",$0.1884,$0.1884,$0.1575,$0.1708,"$704,008",$0
25,GSMT,"Sep 25, 2021",$0.1705,$0.194,$0.1702,$0.1884,"$622,778",$0
26,GSMT,"Sep 24, 2021",$0.18,$0.1811,$0.1539,$0.1705,"$112,716",$0
27,GSMT,"Sep 23, 2021",$0.1813,$0.1837,$0.1752,$0.18,"$119,336",$0
28,GSMT,"Sep 22, 2021",$0.1616,$0.189,$0.1609,$0.1813,"$130,601",$0
29,GSMT,"Sep 21, 2021",$0.1637,$0.1785,$0.157,$0.161,"$108,870",$0
30,GSMT,"Sep 20, 2021",$0.1697,$0.1702,$0.1561,$0.1638,"$129,318",$0
31,GSMT,"Sep 19, 2021",$0.1767,$0.1863,$0.1675,$0.1697,"$229,594",$0
32,GSMT,"Sep 18, 2021",$0.173,$0.1863,$0.1695,$0.1767,"$201,147",$0
33,GSMT,"Sep 17, 2021",$0.1692,$0.1768,$0.1648,$0.1729,"$83,458",$0
34,GSMT,"Sep 16, 2021",$0.1778,$0.1793,$0.1653,$0.1691,"$109,680",$0
35,GSMT,"Sep 15, 2021",$0.1808,$0.1822,$0.1746,$0.1778,"$181,347",$0
