symbol,date,open,high,low,close,volume,marketCap
HANA,"Oct 22, 2021",$0.0006221,$0.0006372,$0.0006012,$0.0006069,$7,$0
HANA,"Oct 21, 2021",$0.00066,$0.000666,$0.0006222,$0.0006222,$22,$0
HANA,"Oct 20, 2021",$0.0006426,$0.0006693,$0.0006361,$0.00066,$23,$0
HANA,"Oct 19, 2021",$0.0006203,$0.0006443,$0.0006162,$0.0006425,$23,$0
HANA,"Oct 18, 2021",$0.0006155,$0.0006261,$0.0006001,$0.0006203,$22,$0
HANA,"Oct 17, 2021",$0.0006089,$0.0006165,$0.0005916,$0.0006157,$22,$0
HANA,"Oct 16, 2021",$0.0006159,$0.0006227,$0.0006021,$0.0006089,$22,$0
HANA,"Oct 15, 2021",$0.0005732,$0.0006276,$0.0005687,$0.0006163,$22,$0
HANA,"Oct 14, 2021",$0.000574,$0.0005848,$0.0005696,$0.0005733,$20,$0
HANA,"Oct 13, 2021",$0.0005604,$0.0005769,$0.0005437,$0.0005741,$20,$0
HANA,"Oct 12, 2021",$0.0005748,$0.0005763,$0.0005448,$0.0005606,$31,$0
HANA,"Oct 11, 2021",$0.0005477,$0.0005779,$0.0005452,$0.0005746,$32,$0
HANA,"Oct 10, 2021",$0.001099,$0.00112,$0.0005447,$0.0005481,$30,$0
HANA,"Oct 09, 2021",$0.0005397,$0.001108,$0.0005374,$0.001099,$57,$0
HANA,"Oct 08, 2021",$0.0005381,$0.0005592,$0.0005369,$0.0005395,$12,$0
HANA,"Oct 07, 2021",$0.0005536,$0.0005536,$0.0005353,$0.000538,$12,$0
HANA,"Oct 06, 2021",$0.0005151,$0.0005557,$0.0005049,$0.000554,$12,$0
HANA,"Oct 05, 2021",$0.0004911,$0.0005184,$0.0004907,$0.0005149,$12,$0
HANA,"Oct 04, 2021",$0.000482,$0.0004946,$0.0004705,$0.0004911,$11,$0
HANA,"Oct 03, 2021",$0.0004771,$0.0004913,$0.0004716,$0.0004819,$33,$0
HANA,"Oct 02, 2021",$0.0004812,$0.0004828,$0.0004747,$0.0004773,$51,$0
HANA,"Oct 01, 2021",$0.0004379,$0.0004844,$0.0004332,$0.0004814,$51,$0
HANA,"Sep 30, 2021",$0.0004156,$0.0004409,$0.0004144,$0.0004378,$47,$0
HANA,"Sep 29, 2021",$0.0004103,$0.0004255,$0.0004083,$0.0004153,$44,$0
HANA,"Sep 28, 2021",$0.000422,$0.0004278,$0.0004093,$0.0004098,$44,$0
HANA,"Sep 27, 2021",$0.0004323,$0.0004431,$0.0004219,$0.0004224,$45,$0
