,symbol,date,open,high,low,close,volume,marketCap
0,HEROES,"Oct 20, 2021",$1.67,$1.72,$1.62,$1.71,"$195,239",$0
1,HEROES,"Oct 19, 2021",$1.56,$1.69,$1.55,$1.67,"$226,052",$0
2,HEROES,"Oct 18, 2021",$1.57,$1.58,$1.47,$1.56,"$163,313",$0
3,HEROES,"Oct 17, 2021",$1.67,$1.67,$1.54,$1.57,"$175,484",$0
4,HEROES,"Oct 16, 2021",$1.60,$1.69,$1.58,$1.67,"$349,634",$0
5,HEROES,"Oct 15, 2021",$1.33,$1.61,$1.31,$1.60,"$280,441",$0
6,HEROES,"Oct 14, 2021",$1.28,$1.33,$1.26,$1.33,"$184,581",$0
7,HEROES,"Oct 13, 2021",$1.21,$1.34,$1.18,$1.28,"$178,445",$0
8,HEROES,"Oct 12, 2021",$1.28,$1.29,$1.21,$1.21,"$67,617",$0
9,HEROES,"Oct 11, 2021",$1.32,$1.34,$1.28,$1.28,"$100,362",$0
10,HEROES,"Oct 10, 2021",$1.24,$1.33,$1.23,$1.32,"$97,467",$0
11,HEROES,"Oct 09, 2021",$1.27,$1.28,$1.23,$1.24,"$93,587",$0
12,HEROES,"Oct 08, 2021",$1.30,$1.34,$1.25,$1.27,"$154,526",$0
13,HEROES,"Oct 07, 2021",$1.57,$1.57,$1.30,$1.30,"$125,503",$0
14,HEROES,"Oct 06, 2021",$1.65,$1.66,$1.57,$1.57,"$71,265",$0
15,HEROES,"Oct 05, 2021",$1.70,$1.71,$1.65,$1.65,"$68,251",$0
16,HEROES,"Oct 04, 2021",$1.76,$1.77,$1.68,$1.70,"$101,993",$0
17,HEROES,"Oct 03, 2021",$1.69,$1.77,$1.64,$1.76,"$120,589",$0
18,HEROES,"Oct 02, 2021",$1.79,$1.80,$1.68,$1.69,"$131,904",$0
19,HEROES,"Oct 01, 2021",$1.67,$1.81,$1.64,$1.79,"$150,248",$0
20,HEROES,"Sep 30, 2021",$1.89,$1.90,$1.67,$1.67,"$157,524",$0
21,HEROES,"Sep 29, 2021",$2.08,$2.08,$1.88,$1.89,"$134,199",$0
22,HEROES,"Sep 28, 2021",$2.15,$2.15,$2.06,$2.08,"$152,019",$0
23,HEROES,"Sep 27, 2021",$2.11,$2.18,$2.07,$2.15,"$258,480",$0
24,HEROES,"Sep 26, 2021",$2.12,$2.26,$2.08,$2.11,"$227,297",$0
25,HEROES,"Sep 25, 2021",$2.01,$2.15,$2.01,$2.12,"$182,122",$0
26,HEROES,"Sep 24, 2021",$2.01,$2.22,$2.01,$2.01,"$163,103",$0
27,HEROES,"Sep 23, 2021",$1.96,$2.04,$1.95,$2.01,"$124,648",$0
28,HEROES,"Sep 22, 2021",$2.11,$2.11,$1.94,$1.96,"$143,076",$0
29,HEROES,"Sep 21, 2021",$2.12,$2.14,$2.08,$2.11,"$152,535",$0
30,HEROES,"Sep 20, 2021",$2.26,$2.26,$2.09,$2.12,"$315,842",$0
31,HEROES,"Sep 19, 2021",$2.12,$2.41,$2.11,$2.26,"$281,224",$0
32,HEROES,"Sep 18, 2021",$2.07,$2.12,$2.05,$2.12,"$173,100",$0
33,HEROES,"Sep 17, 2021",$2.29,$2.31,$1.93,$2.07,"$195,759",$0
34,HEROES,"Sep 16, 2021",$2.31,$2.33,$2.26,$2.29,"$167,304",$0
35,HEROES,"Sep 15, 2021",$2.42,$2.44,$2.30,$2.31,"$144,105",$0
36,HEROES,"Sep 14, 2021",$2.41,$2.47,$2.37,$2.42,"$169,378",$0
37,HEROES,"Sep 13, 2021",$2.59,$2.59,$2.32,$2.41,"$255,548",$0
38,HEROES,"Sep 12, 2021",$2.61,$2.64,$2.52,$2.59,"$272,570",$0
39,HEROES,"Sep 11, 2021",$2.50,$2.70,$2.50,$2.60,"$256,445",$0
40,HEROES,"Sep 10, 2021",$2.37,$2.52,$2.35,$2.50,"$209,878",$0
41,HEROES,"Sep 09, 2021",$2.33,$2.38,$2.24,$2.37,"$197,850",$0
42,HEROES,"Sep 08, 2021",$2.29,$2.34,$2.25,$2.32,"$248,946",$0
43,HEROES,"Sep 07, 2021",$2.41,$2.54,$2.28,$2.29,"$351,844",$0
44,HEROES,"Sep 06, 2021",$2.36,$2.42,$2.23,$2.41,"$319,808",$0
45,HEROES,"Sep 05, 2021",$2.15,$2.38,$2.13,$2.36,"$166,102",$0
46,HEROES,"Sep 04, 2021",$2.11,$2.17,$2.06,$2.15,"$264,381",$0
47,HEROES,"Sep 03, 2021",$2.26,$2.43,$2.09,$2.10,"$371,917",$0
48,HEROES,"Sep 02, 2021",$2.28,$2.33,$2.04,$2.26,"$408,613",$0
49,HEROES,"Sep 01, 2021",$1.93,$2.31,$1.92,$2.28,"$413,358",$0
50,HEROES,"Aug 31, 2021",$2.03,$2.21,$1.88,$1.93,"$427,831",$0
51,HEROES,"Aug 30, 2021",$2.16,$2.25,$2.00,$2.03,"$376,191",$0
