symbol,date,open,high,low,close,volume,marketCap
HO,"Oct 29, 2021",$2.83,$2.97,$2.63,$2.74,$0,$0
HO,"Oct 28, 2021",$2.87,$3.27,$2.78,$2.83,$0,$0
HO,"Oct 27, 2021",$2.97,$3.18,$2.83,$2.87,$0,$0
HO,"Oct 26, 2021",$2.94,$3.00,$2.81,$2.97,$0,$0
HO,"Oct 25, 2021",$3.20,$3.23,$2.85,$2.94,$0,$0
HO,"Oct 24, 2021",$3.34,$3.40,$2.30,$3.20,$0,$0
HO,"Oct 23, 2021",$3.52,$3.60,$3.24,$3.34,$0,$0
HO,"Oct 22, 2021",$3.60,$3.66,$3.17,$3.52,$0,$0
HO,"Oct 21, 2021",$3.74,$3.78,$3.59,$3.60,$0,$0
HO,"Oct 20, 2021",$4.00,$4.00,$3.64,$3.74,$0,$0
HO,"Oct 19, 2021",$4.21,$4.60,$3.82,$4.00,$0,$0
HO,"Oct 18, 2021",$4.21,$4.40,$3.81,$4.21,$0,$0
HO,"Oct 17, 2021",$4.72,$4.90,$4.13,$4.21,$0,$0
HO,"Oct 16, 2021",$4.95,$4.99,$4.62,$4.72,$0,$0
HO,"Oct 15, 2021",$4.55,$4.99,$4.50,$4.95,$0,$0
HO,"Oct 14, 2021",$4.52,$4.90,$4.12,$4.55,$0,$0
HO,"Oct 13, 2021",$4.45,$4.62,$4.20,$4.52,$0,$0
HO,"Oct 12, 2021",$4.89,$4.97,$4.31,$4.45,$0,$0
HO,"Oct 11, 2021",$4.94,$5.03,$4.70,$4.89,$0,$0
HO,"Oct 10, 2021",$5.17,$5.36,$4.94,$4.94,$0,$0
HO,"Oct 09, 2021",$4.87,$5.99,$4.64,$5.17,$0,$0
HO,"Oct 08, 2021",$5.70,$5.70,$4.84,$4.87,$0,$0
HO,"Oct 07, 2021",$5.93,$5.99,$5.40,$5.70,$0,$0
HO,"Oct 06, 2021",$6.17,$6.25,$5.70,$5.93,$0,$0
HO,"Oct 05, 2021",$6.37,$6.43,$6.00,$6.17,$0,$0
HO,"Oct 04, 2021",$6.38,$6.41,$5.68,$6.37,$0,$0
HO,"Oct 03, 2021",$6.49,$6.56,$6.24,$6.38,$0,$0
HO,"Oct 02, 2021",$6.64,$6.67,$6.24,$6.49,$0,$0
HO,"Oct 01, 2021",$6.73,$6.74,$6.39,$6.64,$0,$0
HO,"Sep 30, 2021",$6.60,$6.88,$6.55,$6.73,$0,$0
HO,"Sep 29, 2021",$5.78,$6.87,$5.76,$6.60,$0,$0
HO,"Sep 28, 2021",$6.07,$6.13,$5.51,$5.79,$0,$0
HO,"Sep 27, 2021",$4.97,$9.00,$4.90,$6.07,$0,$0
HO,"Sep 26, 2021",$6.71,$6.91,$3.96,$4.97,$0,$0
HO,"Sep 25, 2021",$7.50,$7.66,$6.33,$6.71,$0,$0
HO,"Sep 24, 2021",$7.70,$7.78,$6.60,$7.50,$0,$0
HO,"Sep 23, 2021",$7.89,$7.89,$7.54,$7.70,$0,$0
HO,"Sep 22, 2021",$7.78,$8.16,$7.21,$7.89,$0,$0
HO,"Sep 21, 2021",$7.70,$7.95,$7.60,$7.78,$0,$0
HO,"Sep 20, 2021",$7.94,$8.00,$7.54,$7.70,$0,$0
HO,"Sep 19, 2021",$8.17,$8.24,$7.68,$7.94,$0,$0
HO,"Sep 18, 2021",$7.90,$8.48,$7.73,$8.17,$0,$0
HO,"Sep 17, 2021",$7.16,$7.98,$6.94,$7.90,$0,$0
HO,"Sep 16, 2021",$6.96,$7.34,$6.89,$7.16,$0,$0
